epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
96,-552.2,-552.2,-552.2,-459.1,-459.1,-459.1
97,-505.3,-505.3,-505.3,-456,-456,-456
98,-504,-504,-504,-496.2,-496.2,-496.2
99,-453.6,-453.6,-453.6,-416.2,-416.2,-416.2
100,-472.5,-472.5,-472.5,-520.7,-520.7,-520.7
101,-587.2,-587.2,-587.2,-411.8,-411.8,-411.8
102,-469.3,-469.3,-469.3,-394.5,-394.5,-394.5
103,-482.8,-482.8,-482.8,-450.9,-450.9,-450.9
104,-525.5,-525.5,-525.5,-452.1,-452.1,-452.1
105,-479.4,-479.4,-479.4,-463,-463,-463
106,-529.1,-529.1,-529.1,-453.6,-453.6,-453.6
107,-503.4,-503.4,-503.4,-413,-413,-413
108,-468.9,-468.9,-468.9,-428.5,-428.5,-428.5
109,-497.5,-497.5,-497.5,-401.8,-401.8,-401.8
110,-462.2,-462.2,-462.2,-430.8,-430.8,-430.8
111,-495.3,-495.3,-495.3,-436.4,-436.4,-436.4
112,-481.6,-481.6,-481.6,-406,-406,-406
113,-487.8,-487.8,-487.8,-446.6,-446.6,-446.6
114,-510.9,-510.9,-510.9,-407,-407,-407
115,-496.8,-496.8,-496.8,-441.9,-441.9,-441.9
116,-502.4,-502.4,-502.4,-409.6,-409.6,-409.6
117,-566.7,-566.7,-566.7,-456.7,-456.7,-456.7
118,-465,-465,-465,-468.5,-468.5,-468.5
119,-461.7,-461.7,-461.7,-433.4,-433.4,-433.4
120,-554.2,-554.2,-554.2,-394.2,-394.2,-394.2
121,-503.5,-503.5,-503.5,-450.8,-450.8,-450.8
122,-515.4,-515.4,-515.4,-443.5,-443.5,-443.5
123,-512.1,-512.1,-512.1,-433.5,-433.5,-433.5
124,-401.4,-401.4,-401.4,-477.3,-477.3,-477.3
125,-554.1,-554.1,-554.1,-449.6,-449.6,-449.6
126,-562.5,-562.5,-562.5,-472.8,-472.8,-472.8
127,-443.4,-443.4,-443.4,-390,-390,-390
128,-407.8,-407.8,-407.8,-433,-433,-433
