"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MAX"
"42","-442","-442","-442","-349.4","-349.4","-349.4","-415.2","-415.2","-415.2","-401.4","-401.4","-401.4"
"43","-423.4","-423.4","-423.4","-449.5","-449.5","-449.5","-358","-358","-358","-378.7","-378.7","-378.7"
"44","-409","-409","-409","-370.4","-370.4","-370.4","-390.3","-390.3","-390.3","-414.3","-414.3","-414.3"
"45","-421.2","-421.2","-421.2","-363.5","-363.5","-363.5","-419","-419","-419","-436.1","-436.1","-436.1"
"46","-402.8","-402.8","-402.8","-345.2","-345.2","-345.2","-432.5","-432.5","-432.5","-401.3","-401.3","-401.3"
"47","-477.4","-477.4","-477.4","-387.1","-387.1","-387.1","-423.5","-423.5","-423.5","-446.2","-446.2","-446.2"
"48","-339.3","-339.3","-339.3","-394.7","-394.7","-394.7","-446.5","-446.5","-446.5","-435.3","-435.3","-435.3"
"49","-419.2","-419.2","-419.2","-401.9","-401.9","-401.9","-443.7","-443.7","-443.7","-379.8","-379.8","-379.8"
"50","-448","-448","-448","-358.5","-358.5","-358.5","-410.7","-410.7","-410.7","-388.4","-388.4","-388.4"
"51","-360.4","-360.4","-360.4","-423.1","-423.1","-423.1","-446.5","-446.5","-446.5","-374.2","-374.2","-374.2"
"52","-388.8","-388.8","-388.8","-412","-412","-412","-395.6","-395.6","-395.6","-361.9","-361.9","-361.9"
"53","-391","-391","-391","-405.2","-405.2","-405.2","-436.9","-436.9","-436.9","-395.9","-395.9","-395.9"
"54","-400.3","-400.3","-400.3","-409.8","-409.8","-409.8","-462.6","-462.6","-462.6","-428.9","-428.9","-428.9"
"55","-407.2","-407.2","-407.2","-416.8","-416.8","-416.8","-390.4","-390.4","-390.4","-436.4","-436.4","-436.4"
"56","-400.8","-400.8","-400.8","-439.9","-439.9","-439.9","-498","-498","-498","-350.6","-350.6","-350.6"
"57","-380.5","-380.5","-380.5","-368.5","-368.5","-368.5","-454.8","-454.8","-454.8","-400.7","-400.7","-400.7"
"58","-367","-367","-367","-405.7","-405.7","-405.7","-396.4","-396.4","-396.4","-417.3","-417.3","-417.3"
"59","-398.2","-398.2","-398.2","-412","-412","-412","-377.8","-377.8","-377.8","-404","-404","-404"
"60","-430.1","-430.1","-430.1","-434.7","-434.7","-434.7","-461.7","-461.7","-461.7","-435.3","-435.3","-435.3"
"61","-369.9","-369.9","-369.9","-397","-397","-397","-366.6","-366.6","-366.6","-391.4","-391.4","-391.4"
"62","-422.5","-422.5","-422.5","-335.5","-335.5","-335.5","-405.6","-405.6","-405.6","-420.8","-420.8","-420.8"
"63","-378.9","-378.9","-378.9","-414.6","-414.6","-414.6","-366.3","-366.3","-366.3","-407.5","-407.5","-407.5"
"64","-458.6","-458.6","-458.6","-417.9","-417.9","-417.9","-407.8","-407.8","-407.8","-434.8","-434.8","-434.8"
"65","-384.3","-384.3","-384.3","-393.5","-393.5","-393.5","-387.8","-387.8","-387.8","-455.8","-455.8","-455.8"
"66","-413.2","-413.2","-413.2","-395.1","-395.1","-395.1","-428.4","-428.4","-428.4","-426.7","-426.7","-426.7"
"67","-400.4","-400.4","-400.4","-428.4","-428.4","-428.4","-430.5","-430.5","-430.5","-441","-441","-441"
"68","-401.1","-401.1","-401.1","-376.8","-376.8","-376.8","-367.5","-367.5","-367.5","-377.3","-377.3","-377.3"
