"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"89","-665.2","-665.2","-665.2","-700.8","-700.8","-700.8"
"90","-680.9","-680.9","-680.9","-757.8","-757.8","-757.8"
"91","-756.1","-756.1","-756.1","-685.8","-685.8","-685.8"
"92","-737","-737","-737","-662.5","-662.5","-662.5"
"93","-703.9","-703.9","-703.9","-715.1","-715.1","-715.1"
"94","-679","-679","-679","-710.6","-710.6","-710.6"
"95","-704.6","-704.6","-704.6","-771","-771","-771"
"96","-708.6","-708.6","-708.6","-678.7","-678.7","-678.7"
"97","-561.8","-561.8","-561.8","-672.7","-672.7","-672.7"
"98","-631.1","-631.1","-631.1","-658.6","-658.6","-658.6"
"99","-660","-660","-660","-744.1","-744.1","-744.1"
"100","-693.4","-693.4","-693.4","-747.1","-747.1","-747.1"
"101","-768.8","-768.8","-768.8","-604.6","-604.6","-604.6"
"102","-717.3","-717.3","-717.3","-586.3","-586.3","-586.3"
"103","-626.6","-626.6","-626.6","-810.1","-810.1","-810.1"
"104","-753.9","-753.9","-753.9","-675.1","-675.1","-675.1"
"105","-719.8","-719.8","-719.8","-603","-603","-603"
"106","-638.5","-638.5","-638.5","-701.1","-701.1","-701.1"
"107","-708","-708","-708","-699.6","-699.6","-699.6"
"108","-726.2","-726.2","-726.2","-726.6","-726.6","-726.6"
"109","-705.9","-705.9","-705.9","-741.1","-741.1","-741.1"
"110","-802.1","-802.1","-802.1","-708.2","-708.2","-708.2"
"111","-660","-660","-660","-752.4","-752.4","-752.4"
"112","-662.8","-662.8","-662.8","-780.3","-780.3","-780.3"
"113","-704.4","-704.4","-704.4","-706.5","-706.5","-706.5"
"114","-775.2","-775.2","-775.2","-707.4","-707.4","-707.4"
"115","-724","-724","-724","-676.5","-676.5","-676.5"
"116","-706.4","-706.4","-706.4","-732","-732","-732"
"117","-727.3","-727.3","-727.3","-692.1","-692.1","-692.1"
