"epoch","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX"
"11","20","20","20","9.538461538461538","9.538461538461538","9.538461538461538","20","20","20","7.384615384615385","7.384615384615385","7.384615384615385","20","20","20","8.76923076923077","8.76923076923077","8.76923076923077","20","20","20","6.923076923076923","6.923076923076923","6.923076923076923","30","30","30","8","8","8","40","40","40","7.846153846153846","7.846153846153846","7.846153846153846"
"12","22","22","22","6.769230769230769","6.769230769230769","6.769230769230769","22","22","22","6.769230769230769","6.769230769230769","6.769230769230769","22","22","22","7.538461538461538","7.538461538461538","7.538461538461538","22","22","22","4.923076923076923","4.923076923076923","4.923076923076923","33","33","33","8.307692307692308","8.307692307692308","8.307692307692308","44","44","44","8.76923076923077","8.76923076923077","8.76923076923077"
"13","24","24","24","9.538461538461538","9.538461538461538","9.538461538461538","24","24","24","8.76923076923077","8.76923076923077","8.76923076923077","24","24","24","8.307692307692308","8.307692307692308","8.307692307692308","24","24","24","6.615384615384615","6.615384615384615","6.615384615384615","36","36","36","9.384615384615385","9.384615384615385","9.384615384615385","48","48","48","10.307692307692308","10.307692307692308","10.307692307692308"
"14","26","26","26","9.076923076923077","9.076923076923077","9.076923076923077","26","26","26","6.3076923076923075","6.3076923076923075","6.3076923076923075","26","26","26","5.846153846153846","5.846153846153846","5.846153846153846","26","26","26","5.538461538461538","5.538461538461538","5.538461538461538","39","39","39","7.6923076923076925","7.6923076923076925","7.6923076923076925","52","52","52","7.384615384615385","7.384615384615385","7.384615384615385"
"15","28","28","28","8.615384615384615","8.615384615384615","8.615384615384615","28","28","28","7.6923076923076925","7.6923076923076925","7.6923076923076925","28","28","28","7.076923076923077","7.076923076923077","7.076923076923077","28","28","28","8","8","8","42","42","42","10.153846153846153","10.153846153846153","10.153846153846153","56","56","56","7.384615384615385","7.384615384615385","7.384615384615385"
"16","30","30","30","9.076923076923077","9.076923076923077","9.076923076923077","30","30","30","8.307692307692308","8.307692307692308","8.307692307692308","30","30","30","7.076923076923077","7.076923076923077","7.076923076923077","30","30","30","7.6923076923076925","7.6923076923076925","7.6923076923076925","45","45","45","10","10","10","60","60","60","8.76923076923077","8.76923076923077","8.76923076923077"
"17","32","32","32","8.615384615384615","8.615384615384615","8.615384615384615","32","32","32","6.153846153846154","6.153846153846154","6.153846153846154","32","32","32","7.230769230769231","7.230769230769231","7.230769230769231","32","32","32","7.538461538461538","7.538461538461538","7.538461538461538","48","48","48","7.230769230769231","7.230769230769231","7.230769230769231","64","64","64","7.076923076923077","7.076923076923077","7.076923076923077"
"18","34","34","34","8.307692307692308","8.307692307692308","8.307692307692308","34","34","34","5.846153846153846","5.846153846153846","5.846153846153846","34","34","34","7.538461538461538","7.538461538461538","7.538461538461538","34","34","34","7.846153846153846","7.846153846153846","7.846153846153846","51","51","51","8.307692307692308","8.307692307692308","8.307692307692308","68","68","68","5.230769230769231","5.230769230769231","5.230769230769231"
"19","36","36","36","7.230769230769231","7.230769230769231","7.230769230769231","36","36","36","9.384615384615385","9.384615384615385","9.384615384615385","36","36","36","8.153846153846153","8.153846153846153","8.153846153846153","36","36","36","8.153846153846153","8.153846153846153","8.153846153846153","54","54","54","6.461538461538462","6.461538461538462","6.461538461538462","72","72","72","8.461538461538462","8.461538461538462","8.461538461538462"
"20","38","38","38","6.769230769230769","6.769230769230769","6.769230769230769","38","38","38","7.384615384615385","7.384615384615385","7.384615384615385","38","38","38","5.846153846153846","5.846153846153846","5.846153846153846","38","38","38","8.307692307692308","8.307692307692308","8.307692307692308","57","57","57","10.76923076923077","10.76923076923077","10.76923076923077","76","76","76","7.6923076923076925","7.6923076923076925","7.6923076923076925"
"21","40","40","40","8.153846153846153","8.153846153846153","8.153846153846153","40","40","40","7.846153846153846","7.846153846153846","7.846153846153846","40","40","40","7.538461538461538","7.538461538461538","7.538461538461538","40","40","40","7.538461538461538","7.538461538461538","7.538461538461538","60","60","60","10.76923076923077","10.76923076923077","10.76923076923077","80","80","80","8.615384615384615","8.615384615384615","8.615384615384615"
"22","42","42","42","7.538461538461538","7.538461538461538","7.538461538461538","42","42","42","8","8","8","42","42","42","7.076923076923077","7.076923076923077","7.076923076923077","42","42","42","9.846153846153847","9.846153846153847","9.846153846153847","63","63","63","10.153846153846153","10.153846153846153","10.153846153846153","84","84","84","6.3076923076923075","6.3076923076923075","6.3076923076923075"
"23","44","44","44","8","8","8","44","44","44","7.538461538461538","7.538461538461538","7.538461538461538","44","44","44","8.153846153846153","8.153846153846153","8.153846153846153","44","44","44","8.923076923076923","8.923076923076923","8.923076923076923","66","66","66","9.692307692307692","9.692307692307692","9.692307692307692","88","88","88","6.615384615384615","6.615384615384615","6.615384615384615"
"24","46","46","46","8.615384615384615","8.615384615384615","8.615384615384615","46","46","46","7.538461538461538","7.538461538461538","7.538461538461538","46","46","46","8.307692307692308","8.307692307692308","8.307692307692308","46","46","46","8.461538461538462","8.461538461538462","8.461538461538462","69","69","69","7.538461538461538","7.538461538461538","7.538461538461538","92","92","92","9.692307692307692","9.692307692307692","9.692307692307692"
"25","48","48","48","9.23076923076923","9.23076923076923","9.23076923076923","48","48","48","8.307692307692308","8.307692307692308","8.307692307692308","48","48","48","7.230769230769231","7.230769230769231","7.230769230769231","48","48","48","8.307692307692308","8.307692307692308","8.307692307692308","72","72","72","10.615384615384615","10.615384615384615","10.615384615384615","96","96","96","10.153846153846153","10.153846153846153","10.153846153846153"
"26","50","50","50","9.692307692307692","9.692307692307692","9.692307692307692","50","50","50","8.615384615384615","8.615384615384615","8.615384615384615","50","50","50","11.076923076923077","11.076923076923077","11.076923076923077","50","50","50","9.23076923076923","9.23076923076923","9.23076923076923","75","75","75","10.615384615384615","10.615384615384615","10.615384615384615","100","100","100","9.692307692307692","9.692307692307692","9.692307692307692"
"27","52","52","52","6.769230769230769","6.769230769230769","6.769230769230769","52","52","52","7.384615384615385","7.384615384615385","7.384615384615385","52","52","52","7.538461538461538","7.538461538461538","7.538461538461538","52","52","52","8.923076923076923","8.923076923076923","8.923076923076923","78","78","78","9.384615384615385","9.384615384615385","9.384615384615385","104","104","104","9.692307692307692","9.692307692307692","9.692307692307692"
"28","54","54","54","8.307692307692308","8.307692307692308","8.307692307692308","54","54","54","8.153846153846153","8.153846153846153","8.153846153846153","54","54","54","4.615384615384615","4.615384615384615","4.615384615384615","54","54","54","6.769230769230769","6.769230769230769","6.769230769230769","81","81","81","8.923076923076923","8.923076923076923","8.923076923076923","108","108","108","6.3076923076923075","6.3076923076923075","6.3076923076923075"
"29","56","56","56","11.692307692307692","11.692307692307692","11.692307692307692","56","56","56","9.846153846153847","9.846153846153847","9.846153846153847","56","56","56","7.846153846153846","7.846153846153846","7.846153846153846","56","56","56","7.230769230769231","7.230769230769231","7.230769230769231","84","84","84","10.76923076923077","10.76923076923077","10.76923076923077","112","112","112","8","8","8"
"30","58","58","58","10.76923076923077","10.76923076923077","10.76923076923077","58","58","58","8.76923076923077","8.76923076923077","8.76923076923077","58","58","58","8.923076923076923","8.923076923076923","8.923076923076923","58","58","58","8.307692307692308","8.307692307692308","8.307692307692308","87","87","87","10.461538461538462","10.461538461538462","10.461538461538462","116","116","116","9.076923076923077","9.076923076923077","9.076923076923077"
"31","60","60","60","9.076923076923077","9.076923076923077","9.076923076923077","60","60","60","8","8","8","60","60","60","8.76923076923077","8.76923076923077","8.76923076923077","60","60","60","7.6923076923076925","7.6923076923076925","7.6923076923076925","90","90","90","10.615384615384615","10.615384615384615","10.615384615384615","120","120","120","5.076923076923077","5.076923076923077","5.076923076923077"
"32","62","62","62","7.6923076923076925","7.6923076923076925","7.6923076923076925","62","62","62","7.230769230769231","7.230769230769231","7.230769230769231","62","62","62","7.846153846153846","7.846153846153846","7.846153846153846","62","62","62","8.307692307692308","8.307692307692308","8.307692307692308","93","93","93","11.23076923076923","11.23076923076923","11.23076923076923","124","124","124","8.615384615384615","8.615384615384615","8.615384615384615"
"33","64","64","64","8.307692307692308","8.307692307692308","8.307692307692308","64","64","64","9.23076923076923","9.23076923076923","9.23076923076923","64","64","64","9.076923076923077","9.076923076923077","9.076923076923077","64","64","64","7.6923076923076925","7.6923076923076925","7.6923076923076925","96","96","96","11.23076923076923","11.23076923076923","11.23076923076923","128","128","128","8.307692307692308","8.307692307692308","8.307692307692308"
"34","66","66","66","12.615384615384615","12.615384615384615","12.615384615384615","66","66","66","10.307692307692308","10.307692307692308","10.307692307692308","66","66","66","7.6923076923076925","7.6923076923076925","7.6923076923076925","66","66","66","7.230769230769231","7.230769230769231","7.230769230769231","99","99","99","10.461538461538462","10.461538461538462","10.461538461538462","132","132","132","7.538461538461538","7.538461538461538","7.538461538461538"
"35","68","68","68","9.538461538461538","9.538461538461538","9.538461538461538","68","68","68","7.6923076923076925","7.6923076923076925","7.6923076923076925","68","68","68","7.076923076923077","7.076923076923077","7.076923076923077","68","68","68","7.384615384615385","7.384615384615385","7.384615384615385","102","102","102","11.384615384615385","11.384615384615385","11.384615384615385","136","136","136","7.538461538461538","7.538461538461538","7.538461538461538"
"36","70","70","70","9.076923076923077","9.076923076923077","9.076923076923077","70","70","70","7.384615384615385","7.384615384615385","7.384615384615385","70","70","70","7.076923076923077","7.076923076923077","7.076923076923077","70","70","70","9.076923076923077","9.076923076923077","9.076923076923077","105","105","105","14","14","14","140","140","140","8","8","8"
"37","72","72","72","10.615384615384615","10.615384615384615","10.615384615384615","72","72","72","7.384615384615385","7.384615384615385","7.384615384615385","72","72","72","7.230769230769231","7.230769230769231","7.230769230769231","72","72","72","6.3076923076923075","6.3076923076923075","6.3076923076923075","108","108","108","10.76923076923077","10.76923076923077","10.76923076923077","144","144","144","6.153846153846154","6.153846153846154","6.153846153846154"
"38","74","74","74","10.923076923076923","10.923076923076923","10.923076923076923","74","74","74","8","8","8","74","74","74","8.76923076923077","8.76923076923077","8.76923076923077","74","74","74","7.538461538461538","7.538461538461538","7.538461538461538","111","111","111","12.615384615384615","12.615384615384615","12.615384615384615","148","148","148","8.923076923076923","8.923076923076923","8.923076923076923"
"39","76","76","76","9.23076923076923","9.23076923076923","9.23076923076923","76","76","76","9.23076923076923","9.23076923076923","9.23076923076923","76","76","76","7.076923076923077","7.076923076923077","7.076923076923077","76","76","76","7.384615384615385","7.384615384615385","7.384615384615385","114","114","114","12.615384615384615","12.615384615384615","12.615384615384615","152","152","152","9.076923076923077","9.076923076923077","9.076923076923077"
"40","78","78","78","7.384615384615385","7.384615384615385","7.384615384615385","78","78","78","6.153846153846154","6.153846153846154","6.153846153846154","78","78","78","4","4","4","78","78","78","8.461538461538462","8.461538461538462","8.461538461538462","117","117","117","11.846153846153847","11.846153846153847","11.846153846153847","156","156","156","8.461538461538462","8.461538461538462","8.461538461538462"
"41","80","80","80","10.615384615384615","10.615384615384615","10.615384615384615","80","80","80","6.769230769230769","6.769230769230769","6.769230769230769","80","80","80","6.769230769230769","6.769230769230769","6.769230769230769","80","80","80","8.307692307692308","8.307692307692308","8.307692307692308","120","120","120","11.384615384615385","11.384615384615385","11.384615384615385","160","160","160","9.23076923076923","9.23076923076923","9.23076923076923"
"42","82","82","82","10.153846153846153","10.153846153846153","10.153846153846153","82","82","82","8.461538461538462","8.461538461538462","8.461538461538462","82","82","82","5.384615384615385","5.384615384615385","5.384615384615385","82","82","82","5.846153846153846","5.846153846153846","5.846153846153846","123","123","123","14.307692307692308","14.307692307692308","14.307692307692308","164","164","164","8.153846153846153","8.153846153846153","8.153846153846153"
"43","84","84","84","8.923076923076923","8.923076923076923","8.923076923076923","84","84","84","6.615384615384615","6.615384615384615","6.615384615384615","84","84","84","8","8","8","84","84","84","8.461538461538462","8.461538461538462","8.461538461538462","126","126","126","10.461538461538462","10.461538461538462","10.461538461538462","168","168","168","9.692307692307692","9.692307692307692","9.692307692307692"
"44","86","86","86","9.846153846153847","9.846153846153847","9.846153846153847","86","86","86","9.538461538461538","9.538461538461538","9.538461538461538","86","86","86","7.230769230769231","7.230769230769231","7.230769230769231","86","86","86","8","8","8","129","129","129","13.384615384615385","13.384615384615385","13.384615384615385","172","172","172","10.307692307692308","10.307692307692308","10.307692307692308"
"45","88","88","88","11.384615384615385","11.384615384615385","11.384615384615385","88","88","88","6.769230769230769","6.769230769230769","6.769230769230769","88","88","88","4.461538461538462","4.461538461538462","4.461538461538462","88","88","88","7.076923076923077","7.076923076923077","7.076923076923077","132","132","132","10.461538461538462","10.461538461538462","10.461538461538462","176","176","176","8.76923076923077","8.76923076923077","8.76923076923077"
"46","90","90","90","9.23076923076923","9.23076923076923","9.23076923076923","90","90","90","8.76923076923077","8.76923076923077","8.76923076923077","90","90","90","5.076923076923077","5.076923076923077","5.076923076923077","90","90","90","8.923076923076923","8.923076923076923","8.923076923076923","135","135","135","12.923076923076923","12.923076923076923","12.923076923076923","180","180","180","9.846153846153847","9.846153846153847","9.846153846153847"
"47","92","92","92","7.076923076923077","7.076923076923077","7.076923076923077","92","92","92","8.615384615384615","8.615384615384615","8.615384615384615","92","92","92","7.230769230769231","7.230769230769231","7.230769230769231","92","92","92","7.846153846153846","7.846153846153846","7.846153846153846","138","138","138","11.076923076923077","11.076923076923077","11.076923076923077","184","184","184","10.307692307692308","10.307692307692308","10.307692307692308"
"48","94","94","94","8.153846153846153","8.153846153846153","8.153846153846153","94","94","94","7.6923076923076925","7.6923076923076925","7.6923076923076925","94","94","94","5.6923076923076925","5.6923076923076925","5.6923076923076925","94","94","94","10.307692307692308","10.307692307692308","10.307692307692308","141","141","141","12.923076923076923","12.923076923076923","12.923076923076923","188","188","188","11.23076923076923","11.23076923076923","11.23076923076923"
"49","96","96","96","11.846153846153847","11.846153846153847","11.846153846153847","96","96","96","8.461538461538462","8.461538461538462","8.461538461538462","96","96","96","6.461538461538462","6.461538461538462","6.461538461538462","96","96","96","6.923076923076923","6.923076923076923","6.923076923076923","144","144","144","13.692307692307692","13.692307692307692","13.692307692307692","192","192","192","8.461538461538462","8.461538461538462","8.461538461538462"
"50","98","98","98","11.076923076923077","11.076923076923077","11.076923076923077","98","98","98","10","10","10","98","98","98","7.230769230769231","7.230769230769231","7.230769230769231","98","98","98","8.461538461538462","8.461538461538462","8.461538461538462","147","147","147","12.923076923076923","12.923076923076923","12.923076923076923","196","196","196","11.692307692307692","11.692307692307692","11.692307692307692"
"51","100","100","100","10.307692307692308","10.307692307692308","10.307692307692308","100","100","100","11.692307692307692","11.692307692307692","11.692307692307692","100","100","100","7.846153846153846","7.846153846153846","7.846153846153846","100","100","100","8.615384615384615","8.615384615384615","8.615384615384615","150","150","150","13.23076923076923","13.23076923076923","13.23076923076923","200","200","200","9.538461538461538","9.538461538461538","9.538461538461538"
"52","102","102","102","11.076923076923077","11.076923076923077","11.076923076923077","102","102","102","8.923076923076923","8.923076923076923","8.923076923076923","102","102","102","7.846153846153846","7.846153846153846","7.846153846153846","102","102","102","9.23076923076923","9.23076923076923","9.23076923076923","153","153","153","12.615384615384615","12.615384615384615","12.615384615384615","204","204","204","11.384615384615385","11.384615384615385","11.384615384615385"
"53","104","104","104","11.076923076923077","11.076923076923077","11.076923076923077","104","104","104","7.846153846153846","7.846153846153846","7.846153846153846","104","104","104","7.384615384615385","7.384615384615385","7.384615384615385","104","104","104","5.538461538461538","5.538461538461538","5.538461538461538","156","156","156","11.076923076923077","11.076923076923077","11.076923076923077","208","208","208","9.076923076923077","9.076923076923077","9.076923076923077"
"54","106","106","106","9.538461538461538","9.538461538461538","9.538461538461538","106","106","106","7.846153846153846","7.846153846153846","7.846153846153846","106","106","106","5.846153846153846","5.846153846153846","5.846153846153846","106","106","106","9.846153846153847","9.846153846153847","9.846153846153847","159","159","159","10.923076923076923","10.923076923076923","10.923076923076923","212","212","212","10.76923076923077","10.76923076923077","10.76923076923077"
"55","108","108","108","10.615384615384615","10.615384615384615","10.615384615384615","108","108","108","6.769230769230769","6.769230769230769","6.769230769230769","108","108","108","5.230769230769231","5.230769230769231","5.230769230769231","108","108","108","8.615384615384615","8.615384615384615","8.615384615384615","162","162","162","10.76923076923077","10.76923076923077","10.76923076923077","216","216","216","7.384615384615385","7.384615384615385","7.384615384615385"
"56","110","110","110","10","10","10","110","110","110","8.153846153846153","8.153846153846153","8.153846153846153","110","110","110","5.846153846153846","5.846153846153846","5.846153846153846","110","110","110","7.6923076923076925","7.6923076923076925","7.6923076923076925","165","165","165","12.615384615384615","12.615384615384615","12.615384615384615","220","220","220","8","8","8"
"57","112","112","112","12.76923076923077","12.76923076923077","12.76923076923077","112","112","112","8.76923076923077","8.76923076923077","8.76923076923077","112","112","112","7.384615384615385","7.384615384615385","7.384615384615385","112","112","112","8.307692307692308","8.307692307692308","8.307692307692308","168","168","168","13.384615384615385","13.384615384615385","13.384615384615385","224","224","224","8.76923076923077","8.76923076923077","8.76923076923077"
"58","114","114","114","12.615384615384615","12.615384615384615","12.615384615384615","114","114","114","9.384615384615385","9.384615384615385","9.384615384615385","114","114","114","7.538461538461538","7.538461538461538","7.538461538461538","114","114","114","8.76923076923077","8.76923076923077","8.76923076923077","171","171","171","10.923076923076923","10.923076923076923","10.923076923076923","228","228","228","12.461538461538462","12.461538461538462","12.461538461538462"
"59","116","116","116","12.76923076923077","12.76923076923077","12.76923076923077","116","116","116","7.538461538461538","7.538461538461538","7.538461538461538","116","116","116","9.384615384615385","9.384615384615385","9.384615384615385","116","116","116","7.538461538461538","7.538461538461538","7.538461538461538","174","174","174","11.692307692307692","11.692307692307692","11.692307692307692","232","232","232","10.153846153846153","10.153846153846153","10.153846153846153"
"60","118","118","118","12.76923076923077","12.76923076923077","12.76923076923077","118","118","118","7.230769230769231","7.230769230769231","7.230769230769231","118","118","118","6.923076923076923","6.923076923076923","6.923076923076923","118","118","118","8","8","8","177","177","177","9.692307692307692","9.692307692307692","9.692307692307692","236","236","236","10.615384615384615","10.615384615384615","10.615384615384615"
"61","120","120","120","12.615384615384615","12.615384615384615","12.615384615384615","120","120","120","9.692307692307692","9.692307692307692","9.692307692307692","120","120","120","8.615384615384615","8.615384615384615","8.615384615384615","120","120","120","9.692307692307692","9.692307692307692","9.692307692307692","180","180","180","12.76923076923077","12.76923076923077","12.76923076923077","240","240","240","11.846153846153847","11.846153846153847","11.846153846153847"
"62","122","122","122","11.846153846153847","11.846153846153847","11.846153846153847","122","122","122","8.153846153846153","8.153846153846153","8.153846153846153","122","122","122","6.923076923076923","6.923076923076923","6.923076923076923","122","122","122","8.923076923076923","8.923076923076923","8.923076923076923","183","183","183","13.076923076923077","13.076923076923077","13.076923076923077","244","244","244","10.461538461538462","10.461538461538462","10.461538461538462"
"63","124","124","124","12.307692307692308","12.307692307692308","12.307692307692308","124","124","124","7.846153846153846","7.846153846153846","7.846153846153846","124","124","124","7.6923076923076925","7.6923076923076925","7.6923076923076925","124","124","124","8.307692307692308","8.307692307692308","8.307692307692308","186","186","186","14.307692307692308","14.307692307692308","14.307692307692308","248","248","248","9.076923076923077","9.076923076923077","9.076923076923077"
