"epoch","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX"
"239","476","476","476","18.46153846153846","18.46153846153846","18.46153846153846","476","476","476","16.76923076923077","16.76923076923077","16.76923076923077","476","476","476","14.923076923076923","14.923076923076923","14.923076923076923","476","476","476","16.923076923076923","16.923076923076923","16.923076923076923","714","714","714","20","20","20","952","952","952","16","16","16"
"240","478","478","478","18.307692307692307","18.307692307692307","18.307692307692307","478","478","478","17.384615384615383","17.384615384615383","17.384615384615383","478","478","478","14.923076923076923","14.923076923076923","14.923076923076923","478","478","478","17.23076923076923","17.23076923076923","17.23076923076923","717","717","717","19.384615384615383","19.384615384615383","19.384615384615383","956","956","956","18","18","18"
"241","480","480","480","17.384615384615383","17.384615384615383","17.384615384615383","480","480","480","17.076923076923077","17.076923076923077","17.076923076923077","480","480","480","17.692307692307693","17.692307692307693","17.692307692307693","480","480","480","16.923076923076923","16.923076923076923","16.923076923076923","720","720","720","17.53846153846154","17.53846153846154","17.53846153846154","960","960","960","16.615384615384617","16.615384615384617","16.615384615384617"
"242","482","482","482","18.923076923076923","18.923076923076923","18.923076923076923","482","482","482","18","18","18","482","482","482","15.23076923076923","15.23076923076923","15.23076923076923","482","482","482","18.307692307692307","18.307692307692307","18.307692307692307","723","723","723","17.384615384615383","17.384615384615383","17.384615384615383","964","964","964","15.538461538461538","15.538461538461538","15.538461538461538"
"243","484","484","484","17.384615384615383","17.384615384615383","17.384615384615383","484","484","484","18.615384615384617","18.615384615384617","18.615384615384617","484","484","484","17.53846153846154","17.53846153846154","17.53846153846154","484","484","484","15.23076923076923","15.23076923076923","15.23076923076923","726","726","726","19.692307692307693","19.692307692307693","19.692307692307693","968","968","968","15.538461538461538","15.538461538461538","15.538461538461538"
"244","486","486","486","17.846153846153847","17.846153846153847","17.846153846153847","486","486","486","16.923076923076923","16.923076923076923","16.923076923076923","486","486","486","15.538461538461538","15.538461538461538","15.538461538461538","486","486","486","18.153846153846153","18.153846153846153","18.153846153846153","729","729","729","19.53846153846154","19.53846153846154","19.53846153846154","972","972","972","15.076923076923077","15.076923076923077","15.076923076923077"
"245","488","488","488","18.307692307692307","18.307692307692307","18.307692307692307","488","488","488","17.53846153846154","17.53846153846154","17.53846153846154","488","488","488","15.384615384615385","15.384615384615385","15.384615384615385","488","488","488","16.615384615384617","16.615384615384617","16.615384615384617","732","732","732","18","18","18","976","976","976","15.076923076923077","15.076923076923077","15.076923076923077"
"246","490","490","490","18.307692307692307","18.307692307692307","18.307692307692307","490","490","490","16.307692307692307","16.307692307692307","16.307692307692307","490","490","490","14.153846153846153","14.153846153846153","14.153846153846153","490","490","490","14.461538461538462","14.461538461538462","14.461538461538462","735","735","735","18.153846153846153","18.153846153846153","18.153846153846153","980","980","980","13.692307692307692","13.692307692307692","13.692307692307692"
"247","492","492","492","17.23076923076923","17.23076923076923","17.23076923076923","492","492","492","14.615384615384615","14.615384615384615","14.615384615384615","492","492","492","15.538461538461538","15.538461538461538","15.538461538461538","492","492","492","17.53846153846154","17.53846153846154","17.53846153846154","738","738","738","17.23076923076923","17.23076923076923","17.23076923076923","984","984","984","16.76923076923077","16.76923076923077","16.76923076923077"
"248","494","494","494","19.23076923076923","19.23076923076923","19.23076923076923","494","494","494","9.846153846153847","9.846153846153847","9.846153846153847","494","494","494","15.846153846153847","15.846153846153847","15.846153846153847","494","494","494","17.692307692307693","17.692307692307693","17.692307692307693","741","741","741","18.46153846153846","18.46153846153846","18.46153846153846","988","988","988","16.46153846153846","16.46153846153846","16.46153846153846"
"249","496","496","496","18.76923076923077","18.76923076923077","18.76923076923077","496","496","496","12.76923076923077","12.76923076923077","12.76923076923077","496","496","496","16.46153846153846","16.46153846153846","16.46153846153846","496","496","496","17.23076923076923","17.23076923076923","17.23076923076923","744","744","744","19.384615384615383","19.384615384615383","19.384615384615383","992","992","992","16.46153846153846","16.46153846153846","16.46153846153846"
"250","498","498","498","16","16","16","498","498","498","11.384615384615385","11.384615384615385","11.384615384615385","498","498","498","16.923076923076923","16.923076923076923","16.923076923076923","498","498","498","17.53846153846154","17.53846153846154","17.53846153846154","747","747","747","19.076923076923077","19.076923076923077","19.076923076923077","996","996","996","15.538461538461538","15.538461538461538","15.538461538461538"
"251","500","500","500","19.692307692307693","19.692307692307693","19.692307692307693","500","500","500","17.384615384615383","17.384615384615383","17.384615384615383","500","500","500","17.384615384615383","17.384615384615383","17.384615384615383","500","500","500","14.307692307692308","14.307692307692308","14.307692307692308","750","750","750","20.153846153846153","20.153846153846153","20.153846153846153","1000","1000","1000","17.384615384615383","17.384615384615383","17.384615384615383"
"252","502","502","502","17.846153846153847","17.846153846153847","17.846153846153847","502","502","502","13.538461538461538","13.538461538461538","13.538461538461538","502","502","502","17.384615384615383","17.384615384615383","17.384615384615383","502","502","502","16.307692307692307","16.307692307692307","16.307692307692307","753","753","753","18.46153846153846","18.46153846153846","18.46153846153846","1004","1004","1004","17.076923076923077","17.076923076923077","17.076923076923077"
"253","504","504","504","18.615384615384617","18.615384615384617","18.615384615384617","504","504","504","17.846153846153847","17.846153846153847","17.846153846153847","504","504","504","15.846153846153847","15.846153846153847","15.846153846153847","504","504","504","15.846153846153847","15.846153846153847","15.846153846153847","756","756","756","18","18","18","1008","1008","1008","16.76923076923077","16.76923076923077","16.76923076923077"
"254","506","506","506","17.53846153846154","17.53846153846154","17.53846153846154","506","506","506","13.692307692307692","13.692307692307692","13.692307692307692","506","506","506","16.923076923076923","16.923076923076923","16.923076923076923","506","506","506","14.615384615384615","14.615384615384615","14.615384615384615","759","759","759","20","20","20","1012","1012","1012","14.615384615384615","14.615384615384615","14.615384615384615"
"255","508","508","508","18","18","18","508","508","508","17.23076923076923","17.23076923076923","17.23076923076923","508","508","508","18.923076923076923","18.923076923076923","18.923076923076923","508","508","508","17.692307692307693","17.692307692307693","17.692307692307693","762","762","762","20.153846153846153","20.153846153846153","20.153846153846153","1016","1016","1016","14.923076923076923","14.923076923076923","14.923076923076923"
"256","510","510","510","16.923076923076923","16.923076923076923","16.923076923076923","510","510","510","18.307692307692307","18.307692307692307","18.307692307692307","510","510","510","14.76923076923077","14.76923076923077","14.76923076923077","510","510","510","17.384615384615383","17.384615384615383","17.384615384615383","765","765","765","18.46153846153846","18.46153846153846","18.46153846153846","1020","1020","1020","19.23076923076923","19.23076923076923","19.23076923076923"
"257","512","512","512","16.76923076923077","16.76923076923077","16.76923076923077","512","512","512","16.615384615384617","16.615384615384617","16.615384615384617","512","512","512","16.153846153846153","16.153846153846153","16.153846153846153","512","512","512","16.76923076923077","16.76923076923077","16.76923076923077","768","768","768","19.384615384615383","19.384615384615383","19.384615384615383","1024","1024","1024","16.46153846153846","16.46153846153846","16.46153846153846"
"258","514","514","514","17.384615384615383","17.384615384615383","17.384615384615383","514","514","514","19.53846153846154","19.53846153846154","19.53846153846154","514","514","514","16.307692307692307","16.307692307692307","16.307692307692307","514","514","514","16.76923076923077","16.76923076923077","16.76923076923077","771","771","771","19.23076923076923","19.23076923076923","19.23076923076923","1028","1028","1028","15.692307692307692","15.692307692307692","15.692307692307692"
"259","516","516","516","18.307692307692307","18.307692307692307","18.307692307692307","516","516","516","16.923076923076923","16.923076923076923","16.923076923076923","516","516","516","18","18","18","516","516","516","16.76923076923077","16.76923076923077","16.76923076923077","774","774","774","19.23076923076923","19.23076923076923","19.23076923076923","1032","1032","1032","16.307692307692307","16.307692307692307","16.307692307692307"
"260","518","518","518","19.846153846153847","19.846153846153847","19.846153846153847","518","518","518","17.23076923076923","17.23076923076923","17.23076923076923","518","518","518","17.384615384615383","17.384615384615383","17.384615384615383","518","518","518","17.846153846153847","17.846153846153847","17.846153846153847","777","777","777","18.46153846153846","18.46153846153846","18.46153846153846","1036","1036","1036","16.46153846153846","16.46153846153846","16.46153846153846"
"261","520","520","520","19.384615384615383","19.384615384615383","19.384615384615383","520","520","520","18.615384615384617","18.615384615384617","18.615384615384617","520","520","520","16.76923076923077","16.76923076923077","16.76923076923077","520","520","520","16.153846153846153","16.153846153846153","16.153846153846153","780","780","780","18","18","18","1040","1040","1040","15.692307692307692","15.692307692307692","15.692307692307692"
"262","522","522","522","18.307692307692307","18.307692307692307","18.307692307692307","522","522","522","17.692307692307693","17.692307692307693","17.692307692307693","522","522","522","16.307692307692307","16.307692307692307","16.307692307692307","522","522","522","17.076923076923077","17.076923076923077","17.076923076923077","783","783","783","18.923076923076923","18.923076923076923","18.923076923076923","1044","1044","1044","17.53846153846154","17.53846153846154","17.53846153846154"
"263","524","524","524","17.846153846153847","17.846153846153847","17.846153846153847","524","524","524","17.076923076923077","17.076923076923077","17.076923076923077","524","524","524","17.692307692307693","17.692307692307693","17.692307692307693","524","524","524","16","16","16","786","786","786","19.23076923076923","19.23076923076923","19.23076923076923","1048","1048","1048","15.846153846153847","15.846153846153847","15.846153846153847"
"264","526","526","526","18","18","18","526","526","526","18.307692307692307","18.307692307692307","18.307692307692307","526","526","526","15.538461538461538","15.538461538461538","15.538461538461538","526","526","526","16.46153846153846","16.46153846153846","16.46153846153846","789","789","789","18.307692307692307","18.307692307692307","18.307692307692307","1052","1052","1052","15.23076923076923","15.23076923076923","15.23076923076923"
"265","528","528","528","18.153846153846153","18.153846153846153","18.153846153846153","528","528","528","19.692307692307693","19.692307692307693","19.692307692307693","528","528","528","17.23076923076923","17.23076923076923","17.23076923076923","528","528","528","16.153846153846153","16.153846153846153","16.153846153846153","792","792","792","19.076923076923077","19.076923076923077","19.076923076923077","1056","1056","1056","16.46153846153846","16.46153846153846","16.46153846153846"
"266","530","530","530","18.76923076923077","18.76923076923077","18.76923076923077","530","530","530","17.23076923076923","17.23076923076923","17.23076923076923","530","530","530","17.846153846153847","17.846153846153847","17.846153846153847","530","530","530","16","16","16","795","795","795","18.76923076923077","18.76923076923077","18.76923076923077","1060","1060","1060","18.615384615384617","18.615384615384617","18.615384615384617"
"267","532","532","532","17.692307692307693","17.692307692307693","17.692307692307693","532","532","532","17.23076923076923","17.23076923076923","17.23076923076923","532","532","532","14.76923076923077","14.76923076923077","14.76923076923077","532","532","532","17.076923076923077","17.076923076923077","17.076923076923077","798","798","798","18.923076923076923","18.923076923076923","18.923076923076923","1064","1064","1064","15.23076923076923","15.23076923076923","15.23076923076923"
"268","534","534","534","17.384615384615383","17.384615384615383","17.384615384615383","534","534","534","17.692307692307693","17.692307692307693","17.692307692307693","534","534","534","15.692307692307692","15.692307692307692","15.692307692307692","534","534","534","14.461538461538462","14.461538461538462","14.461538461538462","801","801","801","18.76923076923077","18.76923076923077","18.76923076923077","1068","1068","1068","17.23076923076923","17.23076923076923","17.23076923076923"
"269","536","536","536","17.692307692307693","17.692307692307693","17.692307692307693","536","536","536","16.76923076923077","16.76923076923077","16.76923076923077","536","536","536","15.692307692307692","15.692307692307692","15.692307692307692","536","536","536","15.23076923076923","15.23076923076923","15.23076923076923","804","804","804","18.76923076923077","18.76923076923077","18.76923076923077","1072","1072","1072","17.53846153846154","17.53846153846154","17.53846153846154"
"270","538","538","538","16.615384615384617","16.615384615384617","16.615384615384617","538","538","538","17.384615384615383","17.384615384615383","17.384615384615383","538","538","538","17.846153846153847","17.846153846153847","17.846153846153847","538","538","538","14.76923076923077","14.76923076923077","14.76923076923077","807","807","807","18.615384615384617","18.615384615384617","18.615384615384617","1076","1076","1076","16.923076923076923","16.923076923076923","16.923076923076923"
"271","540","540","540","17.53846153846154","17.53846153846154","17.53846153846154","540","540","540","18.923076923076923","18.923076923076923","18.923076923076923","540","540","540","16","16","16","540","540","540","14.461538461538462","14.461538461538462","14.461538461538462","810","810","810","19.23076923076923","19.23076923076923","19.23076923076923","1080","1080","1080","17.076923076923077","17.076923076923077","17.076923076923077"
"272","542","542","542","15.846153846153847","15.846153846153847","15.846153846153847","542","542","542","16.76923076923077","16.76923076923077","16.76923076923077","542","542","542","18.76923076923077","18.76923076923077","18.76923076923077","542","542","542","16.615384615384617","16.615384615384617","16.615384615384617","813","813","813","17.384615384615383","17.384615384615383","17.384615384615383","1084","1084","1084","19.076923076923077","19.076923076923077","19.076923076923077"
"273","544","544","544","18.76923076923077","18.76923076923077","18.76923076923077","544","544","544","18.46153846153846","18.46153846153846","18.46153846153846","544","544","544","16","16","16","544","544","544","15.384615384615385","15.384615384615385","15.384615384615385","816","816","816","18.46153846153846","18.46153846153846","18.46153846153846","1088","1088","1088","18","18","18"
"274","546","546","546","19.692307692307693","19.692307692307693","19.692307692307693","546","546","546","17.076923076923077","17.076923076923077","17.076923076923077","546","546","546","17.846153846153847","17.846153846153847","17.846153846153847","546","546","546","15.076923076923077","15.076923076923077","15.076923076923077","819","819","819","19.076923076923077","19.076923076923077","19.076923076923077","1092","1092","1092","17.384615384615383","17.384615384615383","17.384615384615383"
"275","548","548","548","16.46153846153846","16.46153846153846","16.46153846153846","548","548","548","18","18","18","548","548","548","16.153846153846153","16.153846153846153","16.153846153846153","548","548","548","16.923076923076923","16.923076923076923","16.923076923076923","822","822","822","18","18","18","1096","1096","1096","16.307692307692307","16.307692307692307","16.307692307692307"
"276","550","550","550","17.23076923076923","17.23076923076923","17.23076923076923","550","550","550","15.846153846153847","15.846153846153847","15.846153846153847","550","550","550","17.076923076923077","17.076923076923077","17.076923076923077","550","550","550","16.307692307692307","16.307692307692307","16.307692307692307","825","825","825","16.153846153846153","16.153846153846153","16.153846153846153","1100","1100","1100","17.23076923076923","17.23076923076923","17.23076923076923"
"277","552","552","552","18.76923076923077","18.76923076923077","18.76923076923077","552","552","552","18.153846153846153","18.153846153846153","18.153846153846153","552","552","552","14.923076923076923","14.923076923076923","14.923076923076923","552","552","552","19.076923076923077","19.076923076923077","19.076923076923077","828","828","828","19.53846153846154","19.53846153846154","19.53846153846154","1104","1104","1104","17.53846153846154","17.53846153846154","17.53846153846154"
"278","554","554","554","18.615384615384617","18.615384615384617","18.615384615384617","554","554","554","19.076923076923077","19.076923076923077","19.076923076923077","554","554","554","17.692307692307693","17.692307692307693","17.692307692307693","554","554","554","16.307692307692307","16.307692307692307","16.307692307692307","831","831","831","19.076923076923077","19.076923076923077","19.076923076923077","1108","1108","1108","17.076923076923077","17.076923076923077","17.076923076923077"
"279","556","556","556","18.76923076923077","18.76923076923077","18.76923076923077","556","556","556","18.46153846153846","18.46153846153846","18.46153846153846","556","556","556","17.23076923076923","17.23076923076923","17.23076923076923","556","556","556","19.53846153846154","19.53846153846154","19.53846153846154","834","834","834","18.76923076923077","18.76923076923077","18.76923076923077","1112","1112","1112","16.153846153846153","16.153846153846153","16.153846153846153"
"280","558","558","558","19.53846153846154","19.53846153846154","19.53846153846154","558","558","558","18.76923076923077","18.76923076923077","18.76923076923077","558","558","558","16.46153846153846","16.46153846153846","16.46153846153846","558","558","558","16.923076923076923","16.923076923076923","16.923076923076923","837","837","837","18.923076923076923","18.923076923076923","18.923076923076923","1116","1116","1116","16.923076923076923","16.923076923076923","16.923076923076923"
"281","560","560","560","18.76923076923077","18.76923076923077","18.76923076923077","560","560","560","17.384615384615383","17.384615384615383","17.384615384615383","560","560","560","17.692307692307693","17.692307692307693","17.692307692307693","560","560","560","17.076923076923077","17.076923076923077","17.076923076923077","840","840","840","19.23076923076923","19.23076923076923","19.23076923076923","1120","1120","1120","16.153846153846153","16.153846153846153","16.153846153846153"
"282","562","562","562","19.53846153846154","19.53846153846154","19.53846153846154","562","562","562","16.76923076923077","16.76923076923077","16.76923076923077","562","562","562","14.615384615384615","14.615384615384615","14.615384615384615","562","562","562","16.307692307692307","16.307692307692307","16.307692307692307","843","843","843","18.46153846153846","18.46153846153846","18.46153846153846","1124","1124","1124","15.076923076923077","15.076923076923077","15.076923076923077"
"283","564","564","564","17.076923076923077","17.076923076923077","17.076923076923077","564","564","564","18.153846153846153","18.153846153846153","18.153846153846153","564","564","564","16.76923076923077","16.76923076923077","16.76923076923077","564","564","564","18.76923076923077","18.76923076923077","18.76923076923077","846","846","846","19.53846153846154","19.53846153846154","19.53846153846154","1128","1128","1128","16.307692307692307","16.307692307692307","16.307692307692307"
"284","566","566","566","18","18","18","566","566","566","17.23076923076923","17.23076923076923","17.23076923076923","566","566","566","16","16","16","566","566","566","20","20","20","849","849","849","19.692307692307693","19.692307692307693","19.692307692307693","1132","1132","1132","16.615384615384617","16.615384615384617","16.615384615384617"
"285","568","568","568","18.307692307692307","18.307692307692307","18.307692307692307","568","568","568","18","18","18","568","568","568","17.846153846153847","17.846153846153847","17.846153846153847","568","568","568","16.153846153846153","16.153846153846153","16.153846153846153","852","852","852","18.923076923076923","18.923076923076923","18.923076923076923","1136","1136","1136","17.53846153846154","17.53846153846154","17.53846153846154"
"286","570","570","570","18.307692307692307","18.307692307692307","18.307692307692307","570","570","570","17.846153846153847","17.846153846153847","17.846153846153847","570","570","570","16.307692307692307","16.307692307692307","16.307692307692307","570","570","570","15.384615384615385","15.384615384615385","15.384615384615385","855","855","855","18.615384615384617","18.615384615384617","18.615384615384617","1140","1140","1140","16.923076923076923","16.923076923076923","16.923076923076923"
"287","572","572","572","18.615384615384617","18.615384615384617","18.615384615384617","572","572","572","18.923076923076923","18.923076923076923","18.923076923076923","572","572","572","16.615384615384617","16.615384615384617","16.615384615384617","572","572","572","16.615384615384617","16.615384615384617","16.615384615384617","858","858","858","18.923076923076923","18.923076923076923","18.923076923076923","1144","1144","1144","15.846153846153847","15.846153846153847","15.846153846153847"
"288","574","574","574","18.307692307692307","18.307692307692307","18.307692307692307","574","574","574","17.846153846153847","17.846153846153847","17.846153846153847","574","574","574","18.46153846153846","18.46153846153846","18.46153846153846","574","574","574","15.538461538461538","15.538461538461538","15.538461538461538","861","861","861","18.615384615384617","18.615384615384617","18.615384615384617","1148","1148","1148","17.53846153846154","17.53846153846154","17.53846153846154"
"289","576","576","576","18","18","18","576","576","576","18","18","18","576","576","576","15.076923076923077","15.076923076923077","15.076923076923077","576","576","576","18.615384615384617","18.615384615384617","18.615384615384617","864","864","864","18","18","18","1152","1152","1152","16","16","16"
"290","578","578","578","17.23076923076923","17.23076923076923","17.23076923076923","578","578","578","17.384615384615383","17.384615384615383","17.384615384615383","578","578","578","18.46153846153846","18.46153846153846","18.46153846153846","578","578","578","17.23076923076923","17.23076923076923","17.23076923076923","867","867","867","18.923076923076923","18.923076923076923","18.923076923076923","1156","1156","1156","16.46153846153846","16.46153846153846","16.46153846153846"
"291","580","580","580","18.76923076923077","18.76923076923077","18.76923076923077","580","580","580","18.615384615384617","18.615384615384617","18.615384615384617","580","580","580","17.076923076923077","17.076923076923077","17.076923076923077","580","580","580","18.307692307692307","18.307692307692307","18.307692307692307","870","870","870","19.076923076923077","19.076923076923077","19.076923076923077","1160","1160","1160","17.53846153846154","17.53846153846154","17.53846153846154"
"292","582","582","582","20.615384615384617","20.615384615384617","20.615384615384617","582","582","582","17.692307692307693","17.692307692307693","17.692307692307693","582","582","582","16.923076923076923","16.923076923076923","16.923076923076923","582","582","582","18.46153846153846","18.46153846153846","18.46153846153846","873","873","873","17.846153846153847","17.846153846153847","17.846153846153847","1164","1164","1164","16.46153846153846","16.46153846153846","16.46153846153846"
"293","584","584","584","19.076923076923077","19.076923076923077","19.076923076923077","584","584","584","17.846153846153847","17.846153846153847","17.846153846153847","584","584","584","17.692307692307693","17.692307692307693","17.692307692307693","584","584","584","15.538461538461538","15.538461538461538","15.538461538461538","876","876","876","19.076923076923077","19.076923076923077","19.076923076923077","1168","1168","1168","17.23076923076923","17.23076923076923","17.23076923076923"
"294","586","586","586","19.53846153846154","19.53846153846154","19.53846153846154","586","586","586","17.23076923076923","17.23076923076923","17.23076923076923","586","586","586","17.23076923076923","17.23076923076923","17.23076923076923","586","586","586","14.923076923076923","14.923076923076923","14.923076923076923","879","879","879","17.692307692307693","17.692307692307693","17.692307692307693","1172","1172","1172","15.846153846153847","15.846153846153847","15.846153846153847"
"295","588","588","588","19.384615384615383","19.384615384615383","19.384615384615383","588","588","588","17.846153846153847","17.846153846153847","17.846153846153847","588","588","588","17.692307692307693","17.692307692307693","17.692307692307693","588","588","588","18.615384615384617","18.615384615384617","18.615384615384617","882","882","882","18","18","18","1176","1176","1176","17.384615384615383","17.384615384615383","17.384615384615383"
"296","590","590","590","18.923076923076923","18.923076923076923","18.923076923076923","590","590","590","18.307692307692307","18.307692307692307","18.307692307692307","590","590","590","18","18","18","590","590","590","16.76923076923077","16.76923076923077","16.76923076923077","885","885","885","18.76923076923077","18.76923076923077","18.76923076923077","1180","1180","1180","16.615384615384617","16.615384615384617","16.615384615384617"
"297","592","592","592","18.923076923076923","18.923076923076923","18.923076923076923","592","592","592","16.923076923076923","16.923076923076923","16.923076923076923","592","592","592","18.615384615384617","18.615384615384617","18.615384615384617","592","592","592","14.307692307692308","14.307692307692308","14.307692307692308","888","888","888","17.846153846153847","17.846153846153847","17.846153846153847","1184","1184","1184","17.53846153846154","17.53846153846154","17.53846153846154"
"298","594","594","594","18","18","18","594","594","594","18.923076923076923","18.923076923076923","18.923076923076923","594","594","594","18.615384615384617","18.615384615384617","18.615384615384617","594","594","594","16.923076923076923","16.923076923076923","16.923076923076923","891","891","891","19.384615384615383","19.384615384615383","19.384615384615383","1188","1188","1188","17.384615384615383","17.384615384615383","17.384615384615383"
"299","596","596","596","17.692307692307693","17.692307692307693","17.692307692307693","596","596","596","18.76923076923077","18.76923076923077","18.76923076923077","596","596","596","17.692307692307693","17.692307692307693","17.692307692307693","596","596","596","17.53846153846154","17.53846153846154","17.53846153846154","894","894","894","17.846153846153847","17.846153846153847","17.846153846153847","1192","1192","1192","17.846153846153847","17.846153846153847","17.846153846153847"
"300","598","598","598","18.923076923076923","18.923076923076923","18.923076923076923","598","598","598","17.53846153846154","17.53846153846154","17.53846153846154","598","598","598","17.384615384615383","17.384615384615383","17.384615384615383","598","598","598","17.53846153846154","17.53846153846154","17.53846153846154","897","897","897","17.53846153846154","17.53846153846154","17.53846153846154","1196","1196","1196","17.23076923076923","17.23076923076923","17.23076923076923"
"301","600","600","600","18.615384615384617","18.615384615384617","18.615384615384617","600","600","600","19.076923076923077","19.076923076923077","19.076923076923077","600","600","600","16.76923076923077","16.76923076923077","16.76923076923077","600","600","600","16.615384615384617","16.615384615384617","16.615384615384617","900","900","900","18.46153846153846","18.46153846153846","18.46153846153846","1200","1200","1200","17.53846153846154","17.53846153846154","17.53846153846154"
"302","602","602","602","18.923076923076923","18.923076923076923","18.923076923076923","602","602","602","18.76923076923077","18.76923076923077","18.76923076923077","602","602","602","17.846153846153847","17.846153846153847","17.846153846153847","602","602","602","17.076923076923077","17.076923076923077","17.076923076923077","903","903","903","17.692307692307693","17.692307692307693","17.692307692307693","1204","1204","1204","15.384615384615385","15.384615384615385","15.384615384615385"
"303","604","604","604","19.076923076923077","19.076923076923077","19.076923076923077","604","604","604","18.153846153846153","18.153846153846153","18.153846153846153","604","604","604","16.76923076923077","16.76923076923077","16.76923076923077","604","604","604","15.538461538461538","15.538461538461538","15.538461538461538","906","906","906","18.923076923076923","18.923076923076923","18.923076923076923","1208","1208","1208","16.615384615384617","16.615384615384617","16.615384615384617"
"304","606","606","606","18.76923076923077","18.76923076923077","18.76923076923077","606","606","606","18.923076923076923","18.923076923076923","18.923076923076923","606","606","606","14.461538461538462","14.461538461538462","14.461538461538462","606","606","606","17.846153846153847","17.846153846153847","17.846153846153847","909","909","909","18.153846153846153","18.153846153846153","18.153846153846153","1212","1212","1212","18.46153846153846","18.46153846153846","18.46153846153846"
"305","608","608","608","18.615384615384617","18.615384615384617","18.615384615384617","608","608","608","18.307692307692307","18.307692307692307","18.307692307692307","608","608","608","15.692307692307692","15.692307692307692","15.692307692307692","608","608","608","17.846153846153847","17.846153846153847","17.846153846153847","912","912","912","19.692307692307693","19.692307692307693","19.692307692307693","1216","1216","1216","16","16","16"
"306","610","610","610","16.76923076923077","16.76923076923077","16.76923076923077","610","610","610","18","18","18","610","610","610","18.153846153846153","18.153846153846153","18.153846153846153","610","610","610","15.692307692307692","15.692307692307692","15.692307692307692","915","915","915","18.615384615384617","18.615384615384617","18.615384615384617","1220","1220","1220","18.615384615384617","18.615384615384617","18.615384615384617"
"307","612","612","612","18.615384615384617","18.615384615384617","18.615384615384617","612","612","612","18.76923076923077","18.76923076923077","18.76923076923077","612","612","612","17.076923076923077","17.076923076923077","17.076923076923077","612","612","612","17.846153846153847","17.846153846153847","17.846153846153847","918","918","918","17.53846153846154","17.53846153846154","17.53846153846154","1224","1224","1224","17.53846153846154","17.53846153846154","17.53846153846154"
"308","614","614","614","18.46153846153846","18.46153846153846","18.46153846153846","614","614","614","16.615384615384617","16.615384615384617","16.615384615384617","614","614","614","17.692307692307693","17.692307692307693","17.692307692307693","614","614","614","17.846153846153847","17.846153846153847","17.846153846153847","921","921","921","19.692307692307693","19.692307692307693","19.692307692307693","1228","1228","1228","19.076923076923077","19.076923076923077","19.076923076923077"
