epoch,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MAX
126,-723.4,-723.4,-723.4,-921.6,-921.6,-921.6,-1004.1,-1004.1,-1004.1,-719.1,-719.1,-719.1,-956.2,-956.2,-956.2,-671.4,-671.4,-671.4
127,-741.2,-741.2,-741.2,-777.7,-777.7,-777.7,-877,-877,-877,-698.3,-698.3,-698.3,-912.6,-912.6,-912.6,-803.8,-803.8,-803.8
128,-793.7,-793.7,-793.7,-984.8,-984.8,-984.8,-927.4,-927.4,-927.4,-780.1,-780.1,-780.1,-856,-856,-856,-774.9,-774.9,-774.9
129,-730.4,-730.4,-730.4,-901,-901,-901,-797.2,-797.2,-797.2,-698.5,-698.5,-698.5,-956.1,-956.1,-956.1,-703,-703,-703
130,-775.9,-775.9,-775.9,-925.1,-925.1,-925.1,-896.6,-896.6,-896.6,-657.1,-657.1,-657.1,-834.1,-834.1,-834.1,-661,-661,-661
131,-761.5,-761.5,-761.5,-807.5,-807.5,-807.5,-805.9,-805.9,-805.9,-784.5,-784.5,-784.5,-1017.2,-1017.2,-1017.2,-734.1,-734.1,-734.1
132,-749.6,-749.6,-749.6,-952.4,-952.4,-952.4,-850.1,-850.1,-850.1,-705.7,-705.7,-705.7,-749.9,-749.9,-749.9,-723.3,-723.3,-723.3
133,-745.1,-745.1,-745.1,-916.4,-916.4,-916.4,-950.8,-950.8,-950.8,-710.7,-710.7,-710.7,-907,-907,-907,-649,-649,-649
134,-764,-764,-764,-894.6,-894.6,-894.6,-950.9,-950.9,-950.9,-635,-635,-635,-873.1,-873.1,-873.1,-700.7,-700.7,-700.7
135,-892,-892,-892,-944.3,-944.3,-944.3,-868.5,-868.5,-868.5,-715.2,-715.2,-715.2,-660.7,-660.7,-660.7,-751.3,-751.3,-751.3
136,-714.5,-714.5,-714.5,-989,-989,-989,-851.8,-851.8,-851.8,-727.2,-727.2,-727.2,-885.9,-885.9,-885.9,-618.8,-618.8,-618.8
137,-791.6,-791.6,-791.6,-884.4,-884.4,-884.4,-957.9,-957.9,-957.9,-709.2,-709.2,-709.2,-834.1,-834.1,-834.1,-685.4,-685.4,-685.4
138,-872,-872,-872,-837.7,-837.7,-837.7,-901.2,-901.2,-901.2,-704.9,-704.9,-704.9,-1004.9,-1004.9,-1004.9,-707.1,-707.1,-707.1
139,-730.8,-730.8,-730.8,-839.1,-839.1,-839.1,-950.7,-950.7,-950.7,-792,-792,-792,-856.9,-856.9,-856.9,-738.5,-738.5,-738.5
140,-820.6,-820.6,-820.6,-933.2,-933.2,-933.2,-864,-864,-864,-760.1,-760.1,-760.1,-888.9,-888.9,-888.9,-731.1,-731.1,-731.1
141,-775.7,-775.7,-775.7,-840.5,-840.5,-840.5,-843.5,-843.5,-843.5,-758.2,-758.2,-758.2,-816.4,-816.4,-816.4,-640.8,-640.8,-640.8
142,-745.2,-745.2,-745.2,-824.6,-824.6,-824.6,-806.4,-806.4,-806.4,-801,-801,-801,-791.4,-791.4,-791.4,-707.9,-707.9,-707.9
143,-783.2,-783.2,-783.2,-908,-908,-908,-974.8,-974.8,-974.8,-700.6,-700.6,-700.6,-967.3,-967.3,-967.3,-714.6,-714.6,-714.6
144,-760.7,-760.7,-760.7,-891,-891,-891,-838.4,-838.4,-838.4,-723.3,-723.3,-723.3,-875.2,-875.2,-875.2,-685.2,-685.2,-685.2
145,-867.3,-867.3,-867.3,-816.6,-816.6,-816.6,-855.6,-855.6,-855.6,-774.6,-774.6,-774.6,-793.6,-793.6,-793.6,-648.1,-648.1,-648.1
146,-778.2,-778.2,-778.2,-901.9,-901.9,-901.9,-951.3,-951.3,-951.3,-711.3,-711.3,-711.3,-1002.9,-1002.9,-1002.9,-692.9,-692.9,-692.9
147,-810.9,-810.9,-810.9,-911.1,-911.1,-911.1,-883.8,-883.8,-883.8,-746.4,-746.4,-746.4,-820.1,-820.1,-820.1,-623.6,-623.6,-623.6
148,-776,-776,-776,-846,-846,-846,-812.5,-812.5,-812.5,-719.2,-719.2,-719.2,-983.3,-983.3,-983.3,-651.3,-651.3,-651.3
149,-711.7,-711.7,-711.7,-935.8,-935.8,-935.8,-882.1,-882.1,-882.1,-722.7,-722.7,-722.7,-912.5,-912.5,-912.5,-722.5,-722.5,-722.5
150,-741.7,-741.7,-741.7,-931.7,-931.7,-931.7,-917.6,-917.6,-917.6,-610.4,-610.4,-610.4,-873.9,-873.9,-873.9,-758.2,-758.2,-758.2
151,-680.7,-680.7,-680.7,-907.8,-907.8,-907.8,-935.4,-935.4,-935.4,-714.5,-714.5,-714.5,-950.1,-950.1,-950.1,-612.6,-612.6,-612.6
152,-781.2,-781.2,-781.2,-894.4,-894.4,-894.4,-903.5,-903.5,-903.5,-689,-689,-689,-954.9,-954.9,-954.9,-662.1,-662.1,-662.1
153,-697.7,-697.7,-697.7,-946.5,-946.5,-946.5,-971.5,-971.5,-971.5,-638.8,-638.8,-638.8,-903.7,-903.7,-903.7,-654.3,-654.3,-654.3
154,-742.4,-742.4,-742.4,-821.4,-821.4,-821.4,-909,-909,-909,-684.5,-684.5,-684.5,-858.1,-858.1,-858.1,-704.1,-704.1,-704.1
155,-677.3,-677.3,-677.3,-953.9,-953.9,-953.9,-836.8,-836.8,-836.8,-719.7,-719.7,-719.7,-858.4,-858.4,-858.4,-799.3,-799.3,-799.3
156,-776.4,-776.4,-776.4,-870.8,-870.8,-870.8,-827.2,-827.2,-827.2,-685.1,-685.1,-685.1,-920.3,-920.3,-920.3,-695.5,-695.5,-695.5
157,-787.5,-787.5,-787.5,-915,-915,-915,-954.6,-954.6,-954.6,-736.5,-736.5,-736.5,-897.2,-897.2,-897.2,-635.7,-635.7,-635.7
158,-747.4,-747.4,-747.4,-840.7,-840.7,-840.7,-975.7,-975.7,-975.7,-656,-656,-656,-810.1,-810.1,-810.1,-693.6,-693.6,-693.6
159,-804.3,-804.3,-804.3,-911.9,-911.9,-911.9,-937.5,-937.5,-937.5,-736.4,-736.4,-736.4,-934,-934,-934,-675.8,-675.8,-675.8
160,-772.5,-772.5,-772.5,-905.4,-905.4,-905.4,-901.7,-901.7,-901.7,-739.7,-739.7,-739.7,-944.3,-944.3,-944.3,-758.2,-758.2,-758.2
161,-804.4,-804.4,-804.4,-913.4,-913.4,-913.4,-880.4,-880.4,-880.4,-738.5,-738.5,-738.5,-981.7,-981.7,-981.7,-645.8,-645.8,-645.8
162,-781.1,-781.1,-781.1,-979.1,-979.1,-979.1,-928.4,-928.4,-928.4,-744.3,-744.3,-744.3,-886.1,-886.1,-886.1,-701.1,-701.1,-701.1
163,-820.8,-820.8,-820.8,-824.4,-824.4,-824.4,-988.1,-988.1,-988.1,-628.2,-628.2,-628.2,-804.9,-804.9,-804.9,-638.8,-638.8,-638.8
164,-797.7,-797.7,-797.7,-829.3,-829.3,-829.3,-775.2,-775.2,-775.2,-773.5,-773.5,-773.5,-755.7,-755.7,-755.7,-669.3,-669.3,-669.3
165,-867.6,-867.6,-867.6,-892.7,-892.7,-892.7,-899.9,-899.9,-899.9,-618.9,-618.9,-618.9,-858.2,-858.2,-858.2,-662.6,-662.6,-662.6
166,-727.3,-727.3,-727.3,-880.5,-880.5,-880.5,-972.4,-972.4,-972.4,-672.3,-672.3,-672.3,-791.9,-791.9,-791.9,-650.2,-650.2,-650.2
167,-736.8,-736.8,-736.8,-919.5,-919.5,-919.5,-1018.5,-1018.5,-1018.5,-731.4,-731.4,-731.4,-942.7,-942.7,-942.7,-700.1,-700.1,-700.1
168,-780.5,-780.5,-780.5,-915.6,-915.6,-915.6,-838.4,-838.4,-838.4,-823.2,-823.2,-823.2,-861.5,-861.5,-861.5,-672.2,-672.2,-672.2
169,-734.8,-734.8,-734.8,-860,-860,-860,-878,-878,-878,-716,-716,-716,-823.7,-823.7,-823.7,-662.5,-662.5,-662.5
170,-790.1,-790.1,-790.1,-896.4,-896.4,-896.4,-901.3,-901.3,-901.3,-673.5,-673.5,-673.5,-977.4,-977.4,-977.4,-599.7,-599.7,-599.7
171,-689.6,-689.6,-689.6,-886.6,-886.6,-886.6,-806.3,-806.3,-806.3,-805.7,-805.7,-805.7,-959.8,-959.8,-959.8,-648.8,-648.8,-648.8
172,-787.7,-787.7,-787.7,-972.5,-972.5,-972.5,-851.6,-851.6,-851.6,-758.7,-758.7,-758.7,-889.8,-889.8,-889.8,-752.5,-752.5,-752.5
173,-679.6,-679.6,-679.6,-939.7,-939.7,-939.7,-837.3,-837.3,-837.3,-787.9,-787.9,-787.9,-717.4,-717.4,-717.4,-696.6,-696.6,-696.6
174,-794.3,-794.3,-794.3,-939.6,-939.6,-939.6,-793.7,-793.7,-793.7,-777.5,-777.5,-777.5,-842.2,-842.2,-842.2,-764,-764,-764
175,-720.5,-720.5,-720.5,-943.2,-943.2,-943.2,-956.5,-956.5,-956.5,-777.3,-777.3,-777.3,-921.5,-921.5,-921.5,-668.5,-668.5,-668.5
176,-797.2,-797.2,-797.2,-885.7,-885.7,-885.7,-861.1,-861.1,-861.1,-707.2,-707.2,-707.2,-846.6,-846.6,-846.6,-630.7,-630.7,-630.7
177,-736.5,-736.5,-736.5,-902.1,-902.1,-902.1,-847.6,-847.6,-847.6,-667.3,-667.3,-667.3,-952.3,-952.3,-952.3,-662.1,-662.1,-662.1
178,-857.5,-857.5,-857.5,-873.7,-873.7,-873.7,-820.7,-820.7,-820.7,-695.7,-695.7,-695.7,-906.3,-906.3,-906.3,-730,-730,-730
179,-833.4,-833.4,-833.4,-835.9,-835.9,-835.9,-874.4,-874.4,-874.4,-606.9,-606.9,-606.9,-894.1,-894.1,-894.1,-747.7,-747.7,-747.7
180,-738.4,-738.4,-738.4,-843.7,-843.7,-843.7,-871.7,-871.7,-871.7,-812.3,-812.3,-812.3,-956.5,-956.5,-956.5,-631.4,-631.4,-631.4
181,-746.3,-746.3,-746.3,-863,-863,-863,-971.4,-971.4,-971.4,-668.8,-668.8,-668.8,-890.8,-890.8,-890.8,-648.1,-648.1,-648.1
182,-783.4,-783.4,-783.4,-898.8,-898.8,-898.8,-915.7,-915.7,-915.7,-736.6,-736.6,-736.6,-884,-884,-884,-664.3,-664.3,-664.3
183,-755.2,-755.2,-755.2,-877.4,-877.4,-877.4,-804.9,-804.9,-804.9,-703.4,-703.4,-703.4,-846.6,-846.6,-846.6,-632.7,-632.7,-632.7
184,-739.6,-739.6,-739.6,-882.8,-882.8,-882.8,-876,-876,-876,-708,-708,-708,-798.8,-798.8,-798.8,-642.2,-642.2,-642.2
185,-804.6,-804.6,-804.6,-776,-776,-776,-743.9,-743.9,-743.9,-623.1,-623.1,-623.1,-868.1,-868.1,-868.1,-689,-689,-689
186,-793.5,-793.5,-793.5,-823.4,-823.4,-823.4,-795.3,-795.3,-795.3,-741.9,-741.9,-741.9,-929.9,-929.9,-929.9,-595.5,-595.5,-595.5
187,-778.3,-778.3,-778.3,-877.5,-877.5,-877.5,-964.8,-964.8,-964.8,-711.7,-711.7,-711.7,-913.3,-913.3,-913.3,-687.1,-687.1,-687.1
188,-794.3,-794.3,-794.3,-994.9,-994.9,-994.9,-747.2,-747.2,-747.2,-673.5,-673.5,-673.5,-800.4,-800.4,-800.4,-639.5,-639.5,-639.5
189,-798,-798,-798,-922.9,-922.9,-922.9,-967.5,-967.5,-967.5,-716.3,-716.3,-716.3,-935.9,-935.9,-935.9,-582.3,-582.3,-582.3
190,-715.8,-715.8,-715.8,-943.5,-943.5,-943.5,-777.7,-777.7,-777.7,-668,-668,-668,-930.9,-930.9,-930.9,-664.6,-664.6,-664.6
191,-790.9,-790.9,-790.9,-931.4,-931.4,-931.4,-880.1,-880.1,-880.1,-655.9,-655.9,-655.9,-945.3,-945.3,-945.3,-630.8,-630.8,-630.8
192,-860.6,-860.6,-860.6,-922.9,-922.9,-922.9,-937.9,-937.9,-937.9,-679.3,-679.3,-679.3,-872.7,-872.7,-872.7,-577.3,-577.3,-577.3
193,-699.2,-699.2,-699.2,-893.2,-893.2,-893.2,-788.2,-788.2,-788.2,-819.6,-819.6,-819.6,-894,-894,-894,-634,-634,-634
194,-773.4,-773.4,-773.4,-896.5,-896.5,-896.5,-950.9,-950.9,-950.9,-647.2,-647.2,-647.2,-962.8,-962.8,-962.8,-789.7,-789.7,-789.7
195,-811.1,-811.1,-811.1,-867.6,-867.6,-867.6,-851.9,-851.9,-851.9,-726.4,-726.4,-726.4,-1035,-1035,-1035,-715.8,-715.8,-715.8
196,-756.1,-756.1,-756.1,-887.5,-887.5,-887.5,-870.2,-870.2,-870.2,-674.7,-674.7,-674.7,-998.6,-998.6,-998.6,-663.5,-663.5,-663.5
197,-860.3,-860.3,-860.3,-876.8,-876.8,-876.8,-820.8,-820.8,-820.8,-699.1,-699.1,-699.1,-844.8,-844.8,-844.8,-595.9,-595.9,-595.9
198,-804.5,-804.5,-804.5,-997.8,-997.8,-997.8,-874.2,-874.2,-874.2,-613,-613,-613,-829.3,-829.3,-829.3,-561.8,-561.8,-561.8
199,-740,-740,-740,-822.5,-822.5,-822.5,-856,-856,-856,-691.8,-691.8,-691.8,-777.3,-777.3,-777.3,-652.2,-652.2,-652.2
200,-750.6,-750.6,-750.6,-844.7,-844.7,-844.7,-979.5,-979.5,-979.5,-678.3,-678.3,-678.3,-903.6,-903.6,-903.6,-529.3,-529.3,-529.3
201,-737.1,-737.1,-737.1,-837.8,-837.8,-837.8,-794.4,-794.4,-794.4,-796.3,-796.3,-796.3,-831.7,-831.7,-831.7,-621.6,-621.6,-621.6
202,-806.4,-806.4,-806.4,-971.2,-971.2,-971.2,-844.5,-844.5,-844.5,-591.4,-591.4,-591.4,-922.7,-922.7,-922.7,-559.1,-559.1,-559.1
203,-766.8,-766.8,-766.8,-891.4,-891.4,-891.4,-966.9,-966.9,-966.9,-796.7,-796.7,-796.7,-826.6,-826.6,-826.6,-657.9,-657.9,-657.9
204,-809.7,-809.7,-809.7,-860.5,-860.5,-860.5,-954.8,-954.8,-954.8,-715.3,-715.3,-715.3,-787.4,-787.4,-787.4,-575.9,-575.9,-575.9
205,-677.8,-677.8,-677.8,-924.1,-924.1,-924.1,-911.2,-911.2,-911.2,-751.6,-751.6,-751.6,-924.7,-924.7,-924.7,-603.2,-603.2,-603.2
206,-796.2,-796.2,-796.2,-923.4,-923.4,-923.4,-942.4,-942.4,-942.4,-667.4,-667.4,-667.4,-911.7,-911.7,-911.7,-650.1,-650.1,-650.1
207,-717.5,-717.5,-717.5,-997,-997,-997,-958.3,-958.3,-958.3,-719.8,-719.8,-719.8,-942.7,-942.7,-942.7,-684.2,-684.2,-684.2
208,-767.5,-767.5,-767.5,-905.3,-905.3,-905.3,-887.7,-887.7,-887.7,-717.6,-717.6,-717.6,-802,-802,-802,-593.8,-593.8,-593.8
209,-660.8,-660.8,-660.8,-936.7,-936.7,-936.7,-836.6,-836.6,-836.6,-676.3,-676.3,-676.3,-922.8,-922.8,-922.8,-683.7,-683.7,-683.7
210,-720.5,-720.5,-720.5,-846.5,-846.5,-846.5,-895.3,-895.3,-895.3,-635.9,-635.9,-635.9,-866,-866,-866,-602.1,-602.1,-602.1
211,-795,-795,-795,-856.2,-856.2,-856.2,-835.5,-835.5,-835.5,-815,-815,-815,-818.9,-818.9,-818.9,-625.3,-625.3,-625.3
212,-797.1,-797.1,-797.1,-937.1,-937.1,-937.1,-874.3,-874.3,-874.3,-765.8,-765.8,-765.8,-820.2,-820.2,-820.2,-608.5,-608.5,-608.5
213,-908.1,-908.1,-908.1,-710.9,-710.9,-710.9,-841.1,-841.1,-841.1,-650.6,-650.6,-650.6,-1010,-1010,-1010,-706.1,-706.1,-706.1
214,-750.1,-750.1,-750.1,-805.9,-805.9,-805.9,-832.1,-832.1,-832.1,-618.8,-618.8,-618.8,-855.4,-855.4,-855.4,-562.8,-562.8,-562.8
215,-628.9,-628.9,-628.9,-849.3,-849.3,-849.3,-831.6,-831.6,-831.6,-677.6,-677.6,-677.6,-841.7,-841.7,-841.7,-553.2,-553.2,-553.2
216,-612.5,-612.5,-612.5,-842.1,-842.1,-842.1,-911.3,-911.3,-911.3,-669.6,-669.6,-669.6,-750,-750,-750,-658,-658,-658
217,-787.7,-787.7,-787.7,-882.9,-882.9,-882.9,-860.1,-860.1,-860.1,-616.5,-616.5,-616.5,-893.3,-893.3,-893.3,-671.9,-671.9,-671.9
218,-725.5,-725.5,-725.5,-868.7,-868.7,-868.7,-902.1,-902.1,-902.1,-686.4,-686.4,-686.4,-931.8,-931.8,-931.8,-637.3,-637.3,-637.3
219,-704.2,-704.2,-704.2,-860.4,-860.4,-860.4,-878.8,-878.8,-878.8,-710.1,-710.1,-710.1,-807.2,-807.2,-807.2,-683.6,-683.6,-683.6
220,-593.3,-593.3,-593.3,-915.1,-915.1,-915.1,-860.1,-860.1,-860.1,-703.7,-703.7,-703.7,-804.5,-804.5,-804.5,-655,-655,-655
221,-844.7,-844.7,-844.7,-798.8,-798.8,-798.8,-803.7,-803.7,-803.7,-683.4,-683.4,-683.4,-1006.6,-1006.6,-1006.6,-689.7,-689.7,-689.7
222,-725.7,-725.7,-725.7,-911.1,-911.1,-911.1,-934.3,-934.3,-934.3,-687.9,-687.9,-687.9,-853,-853,-853,-625.9,-625.9,-625.9
223,-737,-737,-737,-842.2,-842.2,-842.2,-884.6,-884.6,-884.6,-747.3,-747.3,-747.3,-783.1,-783.1,-783.1,-674.9,-674.9,-674.9
224,-837.1,-837.1,-837.1,-811.2,-811.2,-811.2,-932.8,-932.8,-932.8,-638.4,-638.4,-638.4,-889.6,-889.6,-889.6,-623.8,-623.8,-623.8
225,-774.3,-774.3,-774.3,-730.4,-730.4,-730.4,-846.4,-846.4,-846.4,-643.6,-643.6,-643.6,-971.8,-971.8,-971.8,-622.2,-622.2,-622.2
226,-717.3,-717.3,-717.3,-872.8,-872.8,-872.8,-913.4,-913.4,-913.4,-678.5,-678.5,-678.5,-860.4,-860.4,-860.4,-677.2,-677.2,-677.2
227,-756.7,-756.7,-756.7,-833.4,-833.4,-833.4,-855.5,-855.5,-855.5,-674.5,-674.5,-674.5,-785.4,-785.4,-785.4,-631,-631,-631
228,-835.9,-835.9,-835.9,-957.1,-957.1,-957.1,-975.7,-975.7,-975.7,-679.8,-679.8,-679.8,-916.6,-916.6,-916.6,-597.8,-597.8,-597.8
229,-682,-682,-682,-840,-840,-840,-854,-854,-854,-699,-699,-699,-913.2,-913.2,-913.2,-619,-619,-619
230,-826.5,-826.5,-826.5,-930.4,-930.4,-930.4,-937.4,-937.4,-937.4,-628.7,-628.7,-628.7,-772.1,-772.1,-772.1,-717.1,-717.1,-717.1
231,-721.9,-721.9,-721.9,-894.6,-894.6,-894.6,-872.6,-872.6,-872.6,-705.1,-705.1,-705.1,-903.2,-903.2,-903.2,-595.8,-595.8,-595.8
232,-695.8,-695.8,-695.8,-907.7,-907.7,-907.7,-906,-906,-906,-749.1,-749.1,-749.1,-748.9,-748.9,-748.9,-599.9,-599.9,-599.9
233,-672.9,-672.9,-672.9,-908.7,-908.7,-908.7,-925.1,-925.1,-925.1,-741.7,-741.7,-741.7,-810.9,-810.9,-810.9,-625.7,-625.7,-625.7
234,-635.1,-635.1,-635.1,-977.4,-977.4,-977.4,-828.1,-828.1,-828.1,-704.3,-704.3,-704.3,-915.5,-915.5,-915.5,-598.5,-598.5,-598.5
235,-739.3,-739.3,-739.3,-897,-897,-897,-789.3,-789.3,-789.3,-641.7,-641.7,-641.7,-859.1,-859.1,-859.1,-590.2,-590.2,-590.2
236,-654.7,-654.7,-654.7,-791.6,-791.6,-791.6,-921.8,-921.8,-921.8,-623.9,-623.9,-623.9,-859.1,-859.1,-859.1,-631.8,-631.8,-631.8
237,-764.7,-764.7,-764.7,-832.4,-832.4,-832.4,-757.4,-757.4,-757.4,-632,-632,-632,-821.4,-821.4,-821.4,-621.3,-621.3,-621.3
238,-706.2,-706.2,-706.2,-889.5,-889.5,-889.5,-892.6,-892.6,-892.6,-705.3,-705.3,-705.3,-894.9,-894.9,-894.9,-634.7,-634.7,-634.7
239,-662.8,-662.8,-662.8,-919.4,-919.4,-919.4,-899.7,-899.7,-899.7,-703.2,-703.2,-703.2,-922.6,-922.6,-922.6,-641.7,-641.7,-641.7
240,-739.3,-739.3,-739.3,-869,-869,-869,-880.7,-880.7,-880.7,-829.9,-829.9,-829.9,-769,-769,-769,-601.3,-601.3,-601.3
241,-720.4,-720.4,-720.4,-826.8,-826.8,-826.8,-837.6,-837.6,-837.6,-763.6,-763.6,-763.6,-858.1,-858.1,-858.1,-635.4,-635.4,-635.4
242,-722.4,-722.4,-722.4,-933.2,-933.2,-933.2,-855.4,-855.4,-855.4,-795.8,-795.8,-795.8,-920.7,-920.7,-920.7,-627.2,-627.2,-627.2
243,-782,-782,-782,-913.3,-913.3,-913.3,-845.4,-845.4,-845.4,-594.6,-594.6,-594.6,-900.5,-900.5,-900.5,-648,-648,-648
244,-818.9,-818.9,-818.9,-922.2,-922.2,-922.2,-936.9,-936.9,-936.9,-642.9,-642.9,-642.9,-881,-881,-881,-606.3,-606.3,-606.3
245,-737.1,-737.1,-737.1,-775.7,-775.7,-775.7,-945.1,-945.1,-945.1,-724.1,-724.1,-724.1,-890.9,-890.9,-890.9,-595.1,-595.1,-595.1
246,-682.9,-682.9,-682.9,-882.1,-882.1,-882.1,-794.2,-794.2,-794.2,-668.8,-668.8,-668.8,-880.4,-880.4,-880.4,-697.8,-697.8,-697.8
247,-719.3,-719.3,-719.3,-900.2,-900.2,-900.2,-836.5,-836.5,-836.5,-675.8,-675.8,-675.8,-835,-835,-835,-617.2,-617.2,-617.2
248,-720.9,-720.9,-720.9,-946.8,-946.8,-946.8,-988.2,-988.2,-988.2,-707.7,-707.7,-707.7,-901.3,-901.3,-901.3,-589.5,-589.5,-589.5
249,-848.4,-848.4,-848.4,-934.4,-934.4,-934.4,-801.2,-801.2,-801.2,-673.1,-673.1,-673.1,-886.9,-886.9,-886.9,-543.2,-543.2,-543.2
250,-715.5,-715.5,-715.5,-941.3,-941.3,-941.3,-806.2,-806.2,-806.2,-673.4,-673.4,-673.4,-965,-965,-965,-611.2,-611.2,-611.2
251,-732.6,-732.6,-732.6,-833.5,-833.5,-833.5,-858.2,-858.2,-858.2,-659,-659,-659,-903.2,-903.2,-903.2,-574.8,-574.8,-574.8
252,-830.1,-830.1,-830.1,-900.5,-900.5,-900.5,-791.3,-791.3,-791.3,-737.1,-737.1,-737.1,-833.7,-833.7,-833.7,-501.7,-501.7,-501.7
253,-816.5,-816.5,-816.5,-847.9,-847.9,-847.9,-887.9,-887.9,-887.9,-805.3,-805.3,-805.3,-833.7,-833.7,-833.7,-610.4,-610.4,-610.4
254,-765.2,-765.2,-765.2,-897.8,-897.8,-897.8,-841.4,-841.4,-841.4,-678,-678,-678,-907.7,-907.7,-907.7,-596.2,-596.2,-596.2
255,-729.8,-729.8,-729.8,-910.7,-910.7,-910.7,-820,-820,-820,-609.5,-609.5,-609.5,-859.9,-859.9,-859.9,-627.5,-627.5,-627.5
256,-861.4,-861.4,-861.4,-942.1,-942.1,-942.1,-750.6,-750.6,-750.6,-765.8,-765.8,-765.8,-878.2,-878.2,-878.2,-584,-584,-584
257,-629.3,-629.3,-629.3,-927.5,-927.5,-927.5,-827.8,-827.8,-827.8,-640.8,-640.8,-640.8,-857,-857,-857,-580.1,-580.1,-580.1
258,-649.1,-649.1,-649.1,-816.4,-816.4,-816.4,-796.6,-796.6,-796.6,-761,-761,-761,-725.2,-725.2,-725.2,-631.6,-631.6,-631.6
259,-668.5,-668.5,-668.5,-957.2,-957.2,-957.2,-886,-886,-886,-572.8,-572.8,-572.8,-916.7,-916.7,-916.7,-576.8,-576.8,-576.8
260,-737.6,-737.6,-737.6,-810.5,-810.5,-810.5,-905.6,-905.6,-905.6,-673.6,-673.6,-673.6,-866.9,-866.9,-866.9,-567.3,-567.3,-567.3
261,-702.4,-702.4,-702.4,-797.6,-797.6,-797.6,-865.2,-865.2,-865.2,-696.3,-696.3,-696.3,-830.9,-830.9,-830.9,-607.4,-607.4,-607.4
262,-706,-706,-706,-807.6,-807.6,-807.6,-869.6,-869.6,-869.6,-651.6,-651.6,-651.6,-909,-909,-909,-645,-645,-645
263,-738.6,-738.6,-738.6,-922.4,-922.4,-922.4,-934,-934,-934,-696.3,-696.3,-696.3,-823.9,-823.9,-823.9,-686.3,-686.3,-686.3
264,-766.2,-766.2,-766.2,-885.2,-885.2,-885.2,-831,-831,-831,-685.8,-685.8,-685.8,-892.3,-892.3,-892.3,-572.4,-572.4,-572.4
265,-741.3,-741.3,-741.3,-946.3,-946.3,-946.3,-866.3,-866.3,-866.3,-675.2,-675.2,-675.2,-903.4,-903.4,-903.4,-584.7,-584.7,-584.7
266,-641.3,-641.3,-641.3,-818.1,-818.1,-818.1,-848.3,-848.3,-848.3,-769.7,-769.7,-769.7,-954.3,-954.3,-954.3,-549.6,-549.6,-549.6
267,-779.4,-779.4,-779.4,-795.3,-795.3,-795.3,-827.5,-827.5,-827.5,-717.6,-717.6,-717.6,-856.3,-856.3,-856.3,-589.1,-589.1,-589.1
268,-802.9,-802.9,-802.9,-969.9,-969.9,-969.9,-802.4,-802.4,-802.4,-679.2,-679.2,-679.2,-960.7,-960.7,-960.7,-601.7,-601.7,-601.7
269,-741.5,-741.5,-741.5,-832.8,-832.8,-832.8,-930.5,-930.5,-930.5,-705.6,-705.6,-705.6,-780,-780,-780,-621.2,-621.2,-621.2
270,-825.8,-825.8,-825.8,-738.4,-738.4,-738.4,-835.3,-835.3,-835.3,-663.5,-663.5,-663.5,-878.4,-878.4,-878.4,-638.7,-638.7,-638.7
271,-734,-734,-734,-876.4,-876.4,-876.4,-836.5,-836.5,-836.5,-764.2,-764.2,-764.2,-839.5,-839.5,-839.5,-632.5,-632.5,-632.5
272,-683.9,-683.9,-683.9,-847.4,-847.4,-847.4,-774.3,-774.3,-774.3,-752.4,-752.4,-752.4,-866.7,-866.7,-866.7,-647.5,-647.5,-647.5
273,-706.4,-706.4,-706.4,-892.2,-892.2,-892.2,-872.6,-872.6,-872.6,-646.8,-646.8,-646.8,-843.6,-843.6,-843.6,-633.9,-633.9,-633.9
274,-830.6,-830.6,-830.6,-946.2,-946.2,-946.2,-923.2,-923.2,-923.2,-707.3,-707.3,-707.3,-905,-905,-905,-581.9,-581.9,-581.9
