epoch,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MAX
119,-734.7,-734.7,-734.7,-724.8,-724.8,-724.8,-532.2,-532.2,-532.2,-748.5,-748.5,-748.5,-657,-657,-657,-708.7,-708.7,-708.7
120,-719.4,-719.4,-719.4,-737.3,-737.3,-737.3,-629.5,-629.5,-629.5,-706.9,-706.9,-706.9,-595.9,-595.9,-595.9,-745,-745,-745
121,-744,-744,-744,-637.7,-637.7,-637.7,-598.3,-598.3,-598.3,-773.3,-773.3,-773.3,-514.6,-514.6,-514.6,-695,-695,-695
122,-761.4,-761.4,-761.4,-739.1,-739.1,-739.1,-630.8,-630.8,-630.8,-713.7,-713.7,-713.7,-596.7,-596.7,-596.7,-665,-665,-665
123,-716,-716,-716,-759.7,-759.7,-759.7,-591.2,-591.2,-591.2,-629.7,-629.7,-629.7,-572.2,-572.2,-572.2,-787,-787,-787
124,-758.6,-758.6,-758.6,-697.6,-697.6,-697.6,-632.7,-632.7,-632.7,-785.5,-785.5,-785.5,-646.7,-646.7,-646.7,-629.9,-629.9,-629.9
125,-663.5,-663.5,-663.5,-675.8,-675.8,-675.8,-613.9,-613.9,-613.9,-676.1,-676.1,-676.1,-571.5,-571.5,-571.5,-735,-735,-735
126,-665.3,-665.3,-665.3,-692.1,-692.1,-692.1,-527.3,-527.3,-527.3,-787.6,-787.6,-787.6,-577.2,-577.2,-577.2,-630.2,-630.2,-630.2
127,-658.9,-658.9,-658.9,-734.3,-734.3,-734.3,-556.7,-556.7,-556.7,-717.9,-717.9,-717.9,-499.8,-499.8,-499.8,-730,-730,-730
128,-681.4,-681.4,-681.4,-679.4,-679.4,-679.4,-571.2,-571.2,-571.2,-614.7,-614.7,-614.7,-575.3,-575.3,-575.3,-620,-620,-620
129,-749.1,-749.1,-749.1,-662.5,-662.5,-662.5,-550.5,-550.5,-550.5,-760.8,-760.8,-760.8,-501.8,-501.8,-501.8,-623.9,-623.9,-623.9
130,-669.6,-669.6,-669.6,-798.4,-798.4,-798.4,-600.6,-600.6,-600.6,-688.5,-688.5,-688.5,-607.5,-607.5,-607.5,-720,-720,-720
131,-640.7,-640.7,-640.7,-672.7,-672.7,-672.7,-572.3,-572.3,-572.3,-605.1,-605.1,-605.1,-627.8,-627.8,-627.8,-778.3,-778.3,-778.3
132,-695.2,-695.2,-695.2,-617.1,-617.1,-617.1,-609,-609,-609,-670.8,-670.8,-670.8,-597.5,-597.5,-597.5,-725,-725,-725
133,-763,-763,-763,-712.2,-712.2,-712.2,-631,-631,-631,-655.4,-655.4,-655.4,-557.5,-557.5,-557.5,-815,-815,-815
134,-688.5,-688.5,-688.5,-657.3,-657.3,-657.3,-571.2,-571.2,-571.2,-654,-654,-654,-596.1,-596.1,-596.1,-723.5,-723.5,-723.5
135,-666.9,-666.9,-666.9,-701.9,-701.9,-701.9,-597.2,-597.2,-597.2,-768.5,-768.5,-768.5,-601.9,-601.9,-601.9,-645,-645,-645
136,-687.1,-687.1,-687.1,-718.5,-718.5,-718.5,-549.9,-549.9,-549.9,-719.8,-719.8,-719.8,-604.6,-604.6,-604.6,-810,-810,-810
137,-787.3,-787.3,-787.3,-840,-840,-840,-624.3,-624.3,-624.3,-739.6,-739.6,-739.6,-630.5,-630.5,-630.5,-655,-655,-655
138,-768.8,-768.8,-768.8,-719.7,-719.7,-719.7,-607.3,-607.3,-607.3,-644.7,-644.7,-644.7,-608.2,-608.2,-608.2,-697.7,-697.7,-697.7
139,-663,-663,-663,-679.2,-679.2,-679.2,-547.5,-547.5,-547.5,-587.7,-587.7,-587.7,-526.6,-526.6,-526.6,-694.9,-694.9,-694.9
140,-748.9,-748.9,-748.9,-679.4,-679.4,-679.4,-685.6,-685.6,-685.6,-744.8,-744.8,-744.8,-533.3,-533.3,-533.3,-731.7,-731.7,-731.7
141,-735,-735,-735,-767.5,-767.5,-767.5,-547.2,-547.2,-547.2,-752.2,-752.2,-752.2,-558.2,-558.2,-558.2,-720,-720,-720
142,-763.6,-763.6,-763.6,-708.9,-708.9,-708.9,-479.8,-479.8,-479.8,-767.1,-767.1,-767.1,-592.2,-592.2,-592.2,-709.4,-709.4,-709.4
143,-664.5,-664.5,-664.5,-555,-555,-555,-536,-536,-536,-688.7,-688.7,-688.7,-501.1,-501.1,-501.1,-670,-670,-670
144,-727.6,-727.6,-727.6,-773.5,-773.5,-773.5,-581.5,-581.5,-581.5,-657.9,-657.9,-657.9,-540.4,-540.4,-540.4,-595,-595,-595
145,-722.7,-722.7,-722.7,-740.6,-740.6,-740.6,-550.8,-550.8,-550.8,-729.6,-729.6,-729.6,-493.6,-493.6,-493.6,-689.9,-689.9,-689.9
146,-713.4,-713.4,-713.4,-741.4,-741.4,-741.4,-604.6,-604.6,-604.6,-737.1,-737.1,-737.1,-609.6,-609.6,-609.6,-624.7,-624.7,-624.7
147,-694.5,-694.5,-694.5,-721.1,-721.1,-721.1,-643,-643,-643,-726.9,-726.9,-726.9,-596,-596,-596,-692.8,-692.8,-692.8
148,-724.4,-724.4,-724.4,-721.7,-721.7,-721.7,-636.9,-636.9,-636.9,-707.2,-707.2,-707.2,-558.8,-558.8,-558.8,-627.3,-627.3,-627.3
149,-778.4,-778.4,-778.4,-689.9,-689.9,-689.9,-497.5,-497.5,-497.5,-768.3,-768.3,-768.3,-558.9,-558.9,-558.9,-630.7,-630.7,-630.7
150,-735.9,-735.9,-735.9,-729.6,-729.6,-729.6,-662.6,-662.6,-662.6,-718.4,-718.4,-718.4,-501.2,-501.2,-501.2,-724,-724,-724
151,-731.8,-731.8,-731.8,-710.2,-710.2,-710.2,-577.9,-577.9,-577.9,-740.2,-740.2,-740.2,-591,-591,-591,-670.8,-670.8,-670.8
152,-721.4,-721.4,-721.4,-696.8,-696.8,-696.8,-586.7,-586.7,-586.7,-692.1,-692.1,-692.1,-471.5,-471.5,-471.5,-664.5,-664.5,-664.5
153,-674.5,-674.5,-674.5,-694.1,-694.1,-694.1,-652.8,-652.8,-652.8,-661.8,-661.8,-661.8,-571.2,-571.2,-571.2,-655,-655,-655
154,-662,-662,-662,-805.5,-805.5,-805.5,-677.3,-677.3,-677.3,-626.6,-626.6,-626.6,-575.1,-575.1,-575.1,-702.3,-702.3,-702.3
155,-698.3,-698.3,-698.3,-739.3,-739.3,-739.3,-610,-610,-610,-709.4,-709.4,-709.4,-496.5,-496.5,-496.5,-670,-670,-670
156,-726.3,-726.3,-726.3,-576.9,-576.9,-576.9,-631.8,-631.8,-631.8,-689.8,-689.8,-689.8,-660.3,-660.3,-660.3,-742.3,-742.3,-742.3
157,-741.8,-741.8,-741.8,-689.8,-689.8,-689.8,-590.9,-590.9,-590.9,-704.2,-704.2,-704.2,-536.3,-536.3,-536.3,-675,-675,-675
158,-779.6,-779.6,-779.6,-674.6,-674.6,-674.6,-607.5,-607.5,-607.5,-676.9,-676.9,-676.9,-520.3,-520.3,-520.3,-694.4,-694.4,-694.4
159,-749.4,-749.4,-749.4,-684.7,-684.7,-684.7,-549.6,-549.6,-549.6,-719.3,-719.3,-719.3,-478.6,-478.6,-478.6,-705.5,-705.5,-705.5
160,-675.2,-675.2,-675.2,-742.5,-742.5,-742.5,-506.4,-506.4,-506.4,-739.1,-739.1,-739.1,-497,-497,-497,-750,-750,-750
161,-666,-666,-666,-687.8,-687.8,-687.8,-632.4,-632.4,-632.4,-689.3,-689.3,-689.3,-619.6,-619.6,-619.6,-635,-635,-635
162,-773.6,-773.6,-773.6,-784.3,-784.3,-784.3,-552.8,-552.8,-552.8,-665.9,-665.9,-665.9,-551.8,-551.8,-551.8,-783.9,-783.9,-783.9
163,-618.7,-618.7,-618.7,-662.8,-662.8,-662.8,-526.9,-526.9,-526.9,-618.6,-618.6,-618.6,-617.9,-617.9,-617.9,-735.8,-735.8,-735.8
164,-687,-687,-687,-728,-728,-728,-597.6,-597.6,-597.6,-682.7,-682.7,-682.7,-608.4,-608.4,-608.4,-759.3,-759.3,-759.3
165,-782.7,-782.7,-782.7,-718.2,-718.2,-718.2,-512.8,-512.8,-512.8,-646.5,-646.5,-646.5,-511.7,-511.7,-511.7,-645,-645,-645
166,-758.7,-758.7,-758.7,-737.5,-737.5,-737.5,-631.4,-631.4,-631.4,-662.7,-662.7,-662.7,-611.2,-611.2,-611.2,-715,-715,-715
167,-680.3,-680.3,-680.3,-703.7,-703.7,-703.7,-565.3,-565.3,-565.3,-719.8,-719.8,-719.8,-589.8,-589.8,-589.8,-621.1,-621.1,-621.1
168,-698.2,-698.2,-698.2,-669,-669,-669,-508.5,-508.5,-508.5,-632.4,-632.4,-632.4,-579.7,-579.7,-579.7,-740.3,-740.3,-740.3
169,-768.2,-768.2,-768.2,-766.7,-766.7,-766.7,-560.3,-560.3,-560.3,-658.5,-658.5,-658.5,-553.6,-553.6,-553.6,-738.1,-738.1,-738.1
170,-735.7,-735.7,-735.7,-730.8,-730.8,-730.8,-463.5,-463.5,-463.5,-773.9,-773.9,-773.9,-543.3,-543.3,-543.3,-720,-720,-720
171,-726.5,-726.5,-726.5,-736.9,-736.9,-736.9,-573.6,-573.6,-573.6,-743.5,-743.5,-743.5,-532.7,-532.7,-532.7,-640,-640,-640
172,-736.3,-736.3,-736.3,-631.1,-631.1,-631.1,-586.9,-586.9,-586.9,-629.8,-629.8,-629.8,-526.6,-526.6,-526.6,-649.2,-649.2,-649.2
173,-687.8,-687.8,-687.8,-587.5,-587.5,-587.5,-642,-642,-642,-753.7,-753.7,-753.7,-532.3,-532.3,-532.3,-709.2,-709.2,-709.2
174,-774.7,-774.7,-774.7,-741.6,-741.6,-741.6,-627.4,-627.4,-627.4,-794.6,-794.6,-794.6,-554.5,-554.5,-554.5,-577.2,-577.2,-577.2
175,-756.9,-756.9,-756.9,-687.4,-687.4,-687.4,-552.7,-552.7,-552.7,-696.2,-696.2,-696.2,-546.8,-546.8,-546.8,-772.3,-772.3,-772.3
176,-713.5,-713.5,-713.5,-649.8,-649.8,-649.8,-565.9,-565.9,-565.9,-685.4,-685.4,-685.4,-531.5,-531.5,-531.5,-667.4,-667.4,-667.4
177,-764.5,-764.5,-764.5,-619.8,-619.8,-619.8,-577.4,-577.4,-577.4,-744,-744,-744,-544.7,-544.7,-544.7,-764.2,-764.2,-764.2
178,-783.5,-783.5,-783.5,-742.7,-742.7,-742.7,-560,-560,-560,-643.2,-643.2,-643.2,-522.2,-522.2,-522.2,-644.2,-644.2,-644.2
179,-691.8,-691.8,-691.8,-704.5,-704.5,-704.5,-564.7,-564.7,-564.7,-660.2,-660.2,-660.2,-575.4,-575.4,-575.4,-688.3,-688.3,-688.3
180,-643.4,-643.4,-643.4,-675.9,-675.9,-675.9,-615.2,-615.2,-615.2,-603.3,-603.3,-603.3,-526.1,-526.1,-526.1,-677.9,-677.9,-677.9
181,-711.3,-711.3,-711.3,-674.7,-674.7,-674.7,-555.7,-555.7,-555.7,-689.8,-689.8,-689.8,-587.8,-587.8,-587.8,-675.4,-675.4,-675.4
182,-709.2,-709.2,-709.2,-729.9,-729.9,-729.9,-579.1,-579.1,-579.1,-741.3,-741.3,-741.3,-576.2,-576.2,-576.2,-730.2,-730.2,-730.2
183,-697.3,-697.3,-697.3,-636.1,-636.1,-636.1,-576.8,-576.8,-576.8,-732.8,-732.8,-732.8,-551.3,-551.3,-551.3,-745.9,-745.9,-745.9
184,-703.4,-703.4,-703.4,-694.5,-694.5,-694.5,-579.7,-579.7,-579.7,-669.3,-669.3,-669.3,-512,-512,-512,-687.4,-687.4,-687.4
185,-703.5,-703.5,-703.5,-693.7,-693.7,-693.7,-628.4,-628.4,-628.4,-697.4,-697.4,-697.4,-547.2,-547.2,-547.2,-733.6,-733.6,-733.6
186,-760.5,-760.5,-760.5,-671.7,-671.7,-671.7,-654.1,-654.1,-654.1,-671.2,-671.2,-671.2,-544.5,-544.5,-544.5,-702.8,-702.8,-702.8
187,-733.1,-733.1,-733.1,-725.4,-725.4,-725.4,-567.1,-567.1,-567.1,-821.5,-821.5,-821.5,-554.8,-554.8,-554.8,-701.2,-701.2,-701.2
188,-713.1,-713.1,-713.1,-717.8,-717.8,-717.8,-549.8,-549.8,-549.8,-636.5,-636.5,-636.5,-578.7,-578.7,-578.7,-786.6,-786.6,-786.6
189,-717.8,-717.8,-717.8,-773.5,-773.5,-773.5,-717.5,-717.5,-717.5,-730.3,-730.3,-730.3,-486.3,-486.3,-486.3,-698.4,-698.4,-698.4
190,-736.1,-736.1,-736.1,-745.7,-745.7,-745.7,-502.7,-502.7,-502.7,-728.6,-728.6,-728.6,-520.2,-520.2,-520.2,-616.5,-616.5,-616.5
191,-698,-698,-698,-714.2,-714.2,-714.2,-516.8,-516.8,-516.8,-773,-773,-773,-524.4,-524.4,-524.4,-653.4,-653.4,-653.4
192,-752.2,-752.2,-752.2,-722.7,-722.7,-722.7,-602.6,-602.6,-602.6,-723.1,-723.1,-723.1,-493,-493,-493,-784.4,-784.4,-784.4
193,-766.5,-766.5,-766.5,-664.2,-664.2,-664.2,-472.5,-472.5,-472.5,-696.2,-696.2,-696.2,-487.7,-487.7,-487.7,-670,-670,-670
194,-617.2,-617.2,-617.2,-659,-659,-659,-603.5,-603.5,-603.5,-758.2,-758.2,-758.2,-467.4,-467.4,-467.4,-745,-745,-745
195,-744.9,-744.9,-744.9,-773.7,-773.7,-773.7,-505.2,-505.2,-505.2,-661.7,-661.7,-661.7,-454.7,-454.7,-454.7,-670,-670,-670
196,-708.6,-708.6,-708.6,-678.8,-678.8,-678.8,-586.8,-586.8,-586.8,-759.5,-759.5,-759.5,-537.9,-537.9,-537.9,-695.7,-695.7,-695.7
197,-821.3,-821.3,-821.3,-735.3,-735.3,-735.3,-494.1,-494.1,-494.1,-682.8,-682.8,-682.8,-473.8,-473.8,-473.8,-690,-690,-690
198,-717.5,-717.5,-717.5,-616.9,-616.9,-616.9,-543.4,-543.4,-543.4,-699.3,-699.3,-699.3,-536,-536,-536,-705.7,-705.7,-705.7
199,-647.5,-647.5,-647.5,-631,-631,-631,-500.8,-500.8,-500.8,-581.1,-581.1,-581.1,-490.2,-490.2,-490.2,-664.6,-664.6,-664.6
200,-719.8,-719.8,-719.8,-692.4,-692.4,-692.4,-526.6,-526.6,-526.6,-682,-682,-682,-496,-496,-496,-675,-675,-675
201,-678.7,-678.7,-678.7,-755.1,-755.1,-755.1,-491.1,-491.1,-491.1,-726.7,-726.7,-726.7,-550.6,-550.6,-550.6,-700,-700,-700
202,-659.9,-659.9,-659.9,-713.9,-713.9,-713.9,-567.7,-567.7,-567.7,-718.2,-718.2,-718.2,-455.2,-455.2,-455.2,-620.5,-620.5,-620.5
203,-650.6,-650.6,-650.6,-663.6,-663.6,-663.6,-590.3,-590.3,-590.3,-705.1,-705.1,-705.1,-484.2,-484.2,-484.2,-650,-650,-650
204,-714.2,-714.2,-714.2,-767.1,-767.1,-767.1,-543.3,-543.3,-543.3,-740.8,-740.8,-740.8,-543.9,-543.9,-543.9,-665,-665,-665
205,-745.2,-745.2,-745.2,-756.5,-756.5,-756.5,-500.7,-500.7,-500.7,-707.2,-707.2,-707.2,-534,-534,-534,-708.5,-708.5,-708.5
206,-714.1,-714.1,-714.1,-700.8,-700.8,-700.8,-552.4,-552.4,-552.4,-790.7,-790.7,-790.7,-523.4,-523.4,-523.4,-691,-691,-691
207,-687.9,-687.9,-687.9,-664.7,-664.7,-664.7,-522.7,-522.7,-522.7,-662.9,-662.9,-662.9,-463.9,-463.9,-463.9,-715,-715,-715
208,-651.4,-651.4,-651.4,-781.3,-781.3,-781.3,-559,-559,-559,-746.9,-746.9,-746.9,-458,-458,-458,-654.2,-654.2,-654.2
209,-641.9,-641.9,-641.9,-780,-780,-780,-448.8,-448.8,-448.8,-695.6,-695.6,-695.6,-545.3,-545.3,-545.3,-730,-730,-730
210,-654,-654,-654,-801.7,-801.7,-801.7,-566.7,-566.7,-566.7,-630.5,-630.5,-630.5,-488.8,-488.8,-488.8,-610,-610,-610
211,-699.5,-699.5,-699.5,-610.2,-610.2,-610.2,-529.1,-529.1,-529.1,-776,-776,-776,-491.2,-491.2,-491.2,-755,-755,-755
212,-712.9,-712.9,-712.9,-736.9,-736.9,-736.9,-612,-612,-612,-712.5,-712.5,-712.5,-482.3,-482.3,-482.3,-678.3,-678.3,-678.3
213,-737.8,-737.8,-737.8,-736.7,-736.7,-736.7,-562.2,-562.2,-562.2,-721.9,-721.9,-721.9,-548.6,-548.6,-548.6,-720.1,-720.1,-720.1
214,-658.9,-658.9,-658.9,-746.6,-746.6,-746.6,-470.3,-470.3,-470.3,-700.7,-700.7,-700.7,-658.6,-658.6,-658.6,-637.9,-637.9,-637.9
215,-674.8,-674.8,-674.8,-736.7,-736.7,-736.7,-516.7,-516.7,-516.7,-697.2,-697.2,-697.2,-513.5,-513.5,-513.5,-684.6,-684.6,-684.6
216,-745.4,-745.4,-745.4,-726.7,-726.7,-726.7,-507.3,-507.3,-507.3,-687.7,-687.7,-687.7,-574.3,-574.3,-574.3,-677.9,-677.9,-677.9
217,-736.7,-736.7,-736.7,-701.2,-701.2,-701.2,-673,-673,-673,-619.9,-619.9,-619.9,-539.3,-539.3,-539.3,-695,-695,-695
218,-674.5,-674.5,-674.5,-705.9,-705.9,-705.9,-463.5,-463.5,-463.5,-736.2,-736.2,-736.2,-541.4,-541.4,-541.4,-630,-630,-630
219,-729.1,-729.1,-729.1,-654,-654,-654,-630.8,-630.8,-630.8,-679.7,-679.7,-679.7,-513.5,-513.5,-513.5,-735,-735,-735
220,-679.1,-679.1,-679.1,-696.3,-696.3,-696.3,-516.3,-516.3,-516.3,-749.1,-749.1,-749.1,-542.2,-542.2,-542.2,-640,-640,-640
221,-627.8,-627.8,-627.8,-719.4,-719.4,-719.4,-542.5,-542.5,-542.5,-663.1,-663.1,-663.1,-533.9,-533.9,-533.9,-689.8,-689.8,-689.8
222,-709.7,-709.7,-709.7,-677,-677,-677,-464.8,-464.8,-464.8,-791.6,-791.6,-791.6,-499.9,-499.9,-499.9,-662.8,-662.8,-662.8
223,-700.1,-700.1,-700.1,-662,-662,-662,-558.7,-558.7,-558.7,-691.8,-691.8,-691.8,-507.3,-507.3,-507.3,-810,-810,-810
224,-717.5,-717.5,-717.5,-741.4,-741.4,-741.4,-482.5,-482.5,-482.5,-652.3,-652.3,-652.3,-471.4,-471.4,-471.4,-780,-780,-780
225,-736.7,-736.7,-736.7,-736.5,-736.5,-736.5,-590.9,-590.9,-590.9,-747.3,-747.3,-747.3,-507.8,-507.8,-507.8,-750,-750,-750
226,-650.7,-650.7,-650.7,-655.4,-655.4,-655.4,-536.7,-536.7,-536.7,-720.4,-720.4,-720.4,-568.7,-568.7,-568.7,-700,-700,-700
227,-753.8,-753.8,-753.8,-667.1,-667.1,-667.1,-464,-464,-464,-732.3,-732.3,-732.3,-460.1,-460.1,-460.1,-740,-740,-740
228,-716,-716,-716,-652.8,-652.8,-652.8,-583.5,-583.5,-583.5,-699.6,-699.6,-699.6,-560.9,-560.9,-560.9,-640,-640,-640
229,-653.1,-653.1,-653.1,-720.1,-720.1,-720.1,-608.1,-608.1,-608.1,-677.4,-677.4,-677.4,-543.9,-543.9,-543.9,-712.7,-712.7,-712.7
230,-664.1,-664.1,-664.1,-660.3,-660.3,-660.3,-639.2,-639.2,-639.2,-692.2,-692.2,-692.2,-507.5,-507.5,-507.5,-695,-695,-695
231,-676.9,-676.9,-676.9,-739.8,-739.8,-739.8,-565.9,-565.9,-565.9,-665.3,-665.3,-665.3,-496.4,-496.4,-496.4,-695,-695,-695
232,-760.7,-760.7,-760.7,-616.6,-616.6,-616.6,-461.4,-461.4,-461.4,-806.6,-806.6,-806.6,-457.6,-457.6,-457.6,-660,-660,-660
233,-679.1,-679.1,-679.1,-674.4,-674.4,-674.4,-468.3,-468.3,-468.3,-690.9,-690.9,-690.9,-480.6,-480.6,-480.6,-675,-675,-675
234,-677.7,-677.7,-677.7,-634.2,-634.2,-634.2,-560,-560,-560,-794.1,-794.1,-794.1,-490.5,-490.5,-490.5,-670.5,-670.5,-670.5
235,-734.2,-734.2,-734.2,-670.6,-670.6,-670.6,-512.1,-512.1,-512.1,-698.6,-698.6,-698.6,-482.7,-482.7,-482.7,-693.3,-693.3,-693.3
236,-662.5,-662.5,-662.5,-643,-643,-643,-523.8,-523.8,-523.8,-697.5,-697.5,-697.5,-475.8,-475.8,-475.8,-695,-695,-695
237,-629.2,-629.2,-629.2,-678.8,-678.8,-678.8,-591.9,-591.9,-591.9,-667.2,-667.2,-667.2,-500.3,-500.3,-500.3,-625,-625,-625
238,-768.3,-768.3,-768.3,-643.1,-643.1,-643.1,-635.5,-635.5,-635.5,-701.7,-701.7,-701.7,-504.2,-504.2,-504.2,-685,-685,-685
239,-727.5,-727.5,-727.5,-686.6,-686.6,-686.6,-632.5,-632.5,-632.5,-665.8,-665.8,-665.8,-500.3,-500.3,-500.3,-640,-640,-640
240,-751.9,-751.9,-751.9,-762.5,-762.5,-762.5,-510.9,-510.9,-510.9,-617.2,-617.2,-617.2,-478.4,-478.4,-478.4,-650,-650,-650
241,-750.6,-750.6,-750.6,-688.3,-688.3,-688.3,-477.9,-477.9,-477.9,-699.2,-699.2,-699.2,-506.1,-506.1,-506.1,-695,-695,-695
242,-802,-802,-802,-672.5,-672.5,-672.5,-533.9,-533.9,-533.9,-765.2,-765.2,-765.2,-449.3,-449.3,-449.3,-645,-645,-645
243,-677.7,-677.7,-677.7,-622,-622,-622,-545.4,-545.4,-545.4,-810.9,-810.9,-810.9,-514,-514,-514,-645,-645,-645
244,-775.6,-775.6,-775.6,-701.8,-701.8,-701.8,-487.2,-487.2,-487.2,-782.3,-782.3,-782.3,-504.2,-504.2,-504.2,-665,-665,-665
245,-727.8,-727.8,-727.8,-716.3,-716.3,-716.3,-528.6,-528.6,-528.6,-673.4,-673.4,-673.4,-496.9,-496.9,-496.9,-700,-700,-700
246,-640.4,-640.4,-640.4,-573.2,-573.2,-573.2,-543.5,-543.5,-543.5,-596,-596,-596,-428.5,-428.5,-428.5,-680,-680,-680
247,-703.2,-703.2,-703.2,-659.6,-659.6,-659.6,-523.3,-523.3,-523.3,-748.5,-748.5,-748.5,-494.9,-494.9,-494.9,-685,-685,-685
248,-680.3,-680.3,-680.3,-735.5,-735.5,-735.5,-501.1,-501.1,-501.1,-629.6,-629.6,-629.6,-495.8,-495.8,-495.8,-655,-655,-655
249,-742.5,-742.5,-742.5,-686.1,-686.1,-686.1,-517.1,-517.1,-517.1,-726.8,-726.8,-726.8,-485.5,-485.5,-485.5,-675,-675,-675
250,-616.4,-616.4,-616.4,-667.7,-667.7,-667.7,-557.3,-557.3,-557.3,-688.3,-688.3,-688.3,-544,-544,-544,-680,-680,-680
251,-769.8,-769.8,-769.8,-804.3,-804.3,-804.3,-503.8,-503.8,-503.8,-674.5,-674.5,-674.5,-521,-521,-521,-705,-705,-705
252,-733.5,-733.5,-733.5,-716.8,-716.8,-716.8,-521.3,-521.3,-521.3,-683.7,-683.7,-683.7,-525.1,-525.1,-525.1,-675,-675,-675
253,-765.9,-765.9,-765.9,-666.5,-666.5,-666.5,-482.6,-482.6,-482.6,-693.3,-693.3,-693.3,-467,-467,-467,-670,-670,-670
254,-756.9,-756.9,-756.9,-787.2,-787.2,-787.2,-450.5,-450.5,-450.5,-787.6,-787.6,-787.6,-491.7,-491.7,-491.7,-585,-585,-585
255,-666.4,-666.4,-666.4,-684.1,-684.1,-684.1,-596.7,-596.7,-596.7,-690,-690,-690,-564.5,-564.5,-564.5,-695,-695,-695
256,-669,-669,-669,-758.6,-758.6,-758.6,-493.9,-493.9,-493.9,-704.5,-704.5,-704.5,-465.2,-465.2,-465.2,-690,-690,-690
257,-687.2,-687.2,-687.2,-740.4,-740.4,-740.4,-566.9,-566.9,-566.9,-738,-738,-738,-491.6,-491.6,-491.6,-700,-700,-700
258,-679.5,-679.5,-679.5,-769.4,-769.4,-769.4,-488.5,-488.5,-488.5,-611.8,-611.8,-611.8,-478.2,-478.2,-478.2,-720,-720,-720
259,-688.6,-688.6,-688.6,-640.2,-640.2,-640.2,-463,-463,-463,-653.5,-653.5,-653.5,-517.7,-517.7,-517.7,-625,-625,-625
260,-710.4,-710.4,-710.4,-678.5,-678.5,-678.5,-563.1,-563.1,-563.1,-734.9,-734.9,-734.9,-470.2,-470.2,-470.2,-710,-710,-710
261,-734.9,-734.9,-734.9,-739,-739,-739,-594.5,-594.5,-594.5,-753.7,-753.7,-753.7,-465.4,-465.4,-465.4,-670,-670,-670
262,-718,-718,-718,-733.6,-733.6,-733.6,-520.7,-520.7,-520.7,-674.3,-674.3,-674.3,-447.5,-447.5,-447.5,-610.5,-610.5,-610.5
263,-795.1,-795.1,-795.1,-705.5,-705.5,-705.5,-502.2,-502.2,-502.2,-681.9,-681.9,-681.9,-495.6,-495.6,-495.6,-655,-655,-655
264,-785.7,-785.7,-785.7,-639,-639,-639,-494.2,-494.2,-494.2,-703.5,-703.5,-703.5,-516.1,-516.1,-516.1,-675,-675,-675
265,-702.8,-702.8,-702.8,-701.9,-701.9,-701.9,-448.9,-448.9,-448.9,-743.1,-743.1,-743.1,-587.7,-587.7,-587.7,-705,-705,-705
266,-619.7,-619.7,-619.7,-682.2,-682.2,-682.2,-545.3,-545.3,-545.3,-713.2,-713.2,-713.2,-470.8,-470.8,-470.8,-775,-775,-775
267,-707.9,-707.9,-707.9,-707.3,-707.3,-707.3,-537.9,-537.9,-537.9,-679.7,-679.7,-679.7,-526.6,-526.6,-526.6,-710,-710,-710
268,-722.4,-722.4,-722.4,-638.7,-638.7,-638.7,-575.4,-575.4,-575.4,-662.9,-662.9,-662.9,-481.5,-481.5,-481.5,-700,-700,-700
269,-656,-656,-656,-760.5,-760.5,-760.5,-551.4,-551.4,-551.4,-668.8,-668.8,-668.8,-440.7,-440.7,-440.7,-675,-675,-675
270,-711.6,-711.6,-711.6,-725.3,-725.3,-725.3,-493.8,-493.8,-493.8,-671.7,-671.7,-671.7,-462.7,-462.7,-462.7,-640,-640,-640
271,-651.4,-651.4,-651.4,-698.6,-698.6,-698.6,-551.5,-551.5,-551.5,-732.2,-732.2,-732.2,-501.3,-501.3,-501.3,-690,-690,-690
272,-735.2,-735.2,-735.2,-736.9,-736.9,-736.9,-514.6,-514.6,-514.6,-756.8,-756.8,-756.8,-494,-494,-494,-610,-610,-610
