epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
116,-598,-598,-598,-481,-481,-481
117,-616,-616,-616,-525.5,-525.5,-525.5
118,-550.5,-550.5,-550.5,-577,-577,-577
119,-496.5,-496.5,-496.5,-563,-563,-563
120,-492,-492,-492,-579,-579,-579
121,-500.5,-500.5,-500.5,-556.5,-556.5,-556.5
122,-567.5,-567.5,-567.5,-368.5,-368.5,-368.5
123,-486.5,-486.5,-486.5,-435,-435,-435
124,-655.5,-655.5,-655.5,-406,-406,-406
125,-585,-585,-585,-523.5,-523.5,-523.5
126,-492.5,-492.5,-492.5,-435,-435,-435
127,-456.5,-456.5,-456.5,-487.5,-487.5,-487.5
128,-444.5,-444.5,-444.5,-580.5,-580.5,-580.5
129,-471,-471,-471,-454,-454,-454
130,-688,-688,-688,-396.5,-396.5,-396.5
131,-421.5,-421.5,-421.5,-519,-519,-519
132,-602,-602,-602,-687,-687,-687
133,-557.5,-557.5,-557.5,-531.5,-531.5,-531.5
134,-437.5,-437.5,-437.5,-601,-601,-601
135,-492.5,-492.5,-492.5,-505.5,-505.5,-505.5
136,-482,-482,-482,-575.5,-575.5,-575.5
137,-379.5,-379.5,-379.5,-529.5,-529.5,-529.5
138,-648,-648,-648,-414,-414,-414
139,-415.5,-415.5,-415.5,-451.5,-451.5,-451.5
140,-483,-483,-483,-476,-476,-476
141,-619.5,-619.5,-619.5,-338.5,-338.5,-338.5
142,-428.5,-428.5,-428.5,-460,-460,-460
143,-469,-469,-469,-453.5,-453.5,-453.5
144,-445,-445,-445,-486,-486,-486
145,-622.5,-622.5,-622.5,-585,-585,-585
146,-543,-543,-543,-544.5,-544.5,-544.5
147,-490.5,-490.5,-490.5,-517,-517,-517
148,-431.5,-431.5,-431.5,-554.5,-554.5,-554.5
149,-506,-506,-506,-639,-639,-639
150,-600.5,-600.5,-600.5,-436.5,-436.5,-436.5
151,-528,-528,-528,-577.5,-577.5,-577.5
152,-505,-505,-505,-441,-441,-441
153,-632,-632,-632,-494,-494,-494
154,-485.5,-485.5,-485.5,-459.5,-459.5,-459.5
155,-391,-391,-391,-513,-513,-513
156,-556.5,-556.5,-556.5,-499.5,-499.5,-499.5
157,-485.5,-485.5,-485.5,-395.5,-395.5,-395.5
158,-525,-525,-525,-599,-599,-599
