epoch,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return__MAX
429,-505.4,-505.4,-505.4,-423.4,-423.4,-423.4
430,-413.7,-413.7,-413.7,-475.5,-475.5,-475.5
431,-481.8,-481.8,-481.8,-422.9,-422.9,-422.9
432,-508.1,-508.1,-508.1,-429.7,-429.7,-429.7
433,-471.9,-471.9,-471.9,-430,-430,-430
434,-459.7,-459.7,-459.7,-420.9,-420.9,-420.9
435,-530.8,-530.8,-530.8,-478.9,-478.9,-478.9
436,-421,-421,-421,-447.5,-447.5,-447.5
437,-419.5,-419.5,-419.5,-430.8,-430.8,-430.8
438,-508.9,-508.9,-508.9,-459.9,-459.9,-459.9
439,-512.2,-512.2,-512.2,-421.3,-421.3,-421.3
440,-477.6,-477.6,-477.6,-469.8,-469.8,-469.8
441,-449.3,-449.3,-449.3,-405.7,-405.7,-405.7
442,-549.5,-549.5,-549.5,-444.9,-444.9,-444.9
443,-486,-486,-486,-463.7,-463.7,-463.7
444,-483.4,-483.4,-483.4,-460.2,-460.2,-460.2
445,-426.1,-426.1,-426.1,-436.4,-436.4,-436.4
446,-379.9,-379.9,-379.9,-454,-454,-454
447,-455.9,-455.9,-455.9,-404.3,-404.3,-404.3
448,-519.3,-519.3,-519.3,-410.9,-410.9,-410.9
449,-450.5,-450.5,-450.5,-403.1,-403.1,-403.1
450,-494.2,-494.2,-494.2,-434.1,-434.1,-434.1
451,-516,-516,-516,-439.7,-439.7,-439.7
452,-595.2,-595.2,-595.2,-419.8,-419.8,-419.8
453,-524.4,-524.4,-524.4,-404.1,-404.1,-404.1
454,-462.1,-462.1,-462.1,-433.6,-433.6,-433.6
455,-434.5,-434.5,-434.5,-389.5,-389.5,-389.5
456,-480,-480,-480,-450.8,-450.8,-450.8
457,-519.3,-519.3,-519.3,-471.1,-471.1,-471.1
458,-409.8,-409.8,-409.8,-486.7,-486.7,-486.7
459,-477.4,-477.4,-477.4,-438.5,-438.5,-438.5
460,-450.2,-450.2,-450.2,-390.7,-390.7,-390.7
461,-492.2,-492.2,-492.2,-419.3,-419.3,-419.3
462,-426.5,-426.5,-426.5,-438.8,-438.8,-438.8
463,-428.7,-428.7,-428.7,-464,-464,-464
464,-428.4,-428.4,-428.4,-465.5,-465.5,-465.5
465,-469.5,-469.5,-469.5,-430,-430,-430
466,-422.9,-422.9,-422.9,-440.9,-440.9,-440.9
467,-464.7,-464.7,-464.7,-420.5,-420.5,-420.5
468,-461.1,-461.1,-461.1,-429.6,-429.6,-429.6
469,-483.6,-483.6,-483.6,-390.8,-390.8,-390.8
470,-428.7,-428.7,-428.7,-397.6,-397.6,-397.6
471,-393.1,-393.1,-393.1,-423.5,-423.5,-423.5
472,-454.4,-454.4,-454.4,-472.2,-472.2,-472.2
473,-423.3,-423.3,-423.3,-450.3,-450.3,-450.3
474,-452.7,-452.7,-452.7,-450.7,-450.7,-450.7
475,-492.3,-492.3,-492.3,-487.7,-487.7,-487.7
476,-451.9,-451.9,-451.9,-438.9,-438.9,-438.9
477,-522.8,-522.8,-522.8,-395.9,-395.9,-395.9
478,-462.3,-462.3,-462.3,-413.7,-413.7,-413.7
479,-468.4,-468.4,-468.4,-431.8,-431.8,-431.8
480,-542.2,-542.2,-542.2,-411.1,-411.1,-411.1
481,-499.4,-499.4,-499.4,-440.1,-440.1,-440.1
482,-481.3,-481.3,-481.3,-403.7,-403.7,-403.7
483,-443.2,-443.2,-443.2,-427.9,-427.9,-427.9
484,-484,-484,-484,-488.1,-488.1,-488.1
485,-502.2,-502.2,-502.2,-403.4,-403.4,-403.4
486,-476.3,-476.3,-476.3,-407,-407,-407
487,-490.7,-490.7,-490.7,-423.9,-423.9,-423.9
488,-469.3,-469.3,-469.3,-402.8,-402.8,-402.8
489,-440.6,-440.6,-440.6,-385.2,-385.2,-385.2
490,-467.9,-467.9,-467.9,-467.7,-467.7,-467.7
491,-447.6,-447.6,-447.6,-393.7,-393.7,-393.7
492,-414.7,-414.7,-414.7,-445.9,-445.9,-445.9
493,-419.8,-419.8,-419.8,-394.5,-394.5,-394.5
494,-459.1,-459.1,-459.1,-432.9,-432.9,-432.9
495,-472.8,-472.8,-472.8,-459,-459,-459
496,-456.7,-456.7,-456.7,-445,-445,-445
497,-452.8,-452.8,-452.8,-441,-441,-441
498,-464.6,-464.6,-464.6,-464.5,-464.5,-464.5
499,-443.8,-443.8,-443.8,-397.3,-397.3,-397.3
500,-453,-453,-453,-436.8,-436.8,-436.8
501,-461.6,-461.6,-461.6,-447.4,-447.4,-447.4
502,-396.5,-396.5,-396.5,-442.9,-442.9,-442.9
503,-431.6,-431.6,-431.6,-388.6,-388.6,-388.6
504,-477.1,-477.1,-477.1,-386.5,-386.5,-386.5
505,-537.9,-537.9,-537.9,-421.9,-421.9,-421.9
506,-442.3,-442.3,-442.3,-423.5,-423.5,-423.5
507,-446.9,-446.9,-446.9,-471.2,-471.2,-471.2
508,-407.3,-407.3,-407.3,-427.3,-427.3,-427.3
509,-437.9,-437.9,-437.9,-443.4,-443.4,-443.4
510,-430.2,-430.2,-430.2,-446,-446,-446
511,-423.8,-423.8,-423.8,-433.4,-433.4,-433.4
512,-521.1,-521.1,-521.1,-448.4,-448.4,-448.4
513,-531.8,-531.8,-531.8,-428.2,-428.2,-428.2
514,-380,-380,-380,-437.9,-437.9,-437.9
515,-407,-407,-407,-410.3,-410.3,-410.3
516,-404.2,-404.2,-404.2,-374.1,-374.1,-374.1
517,-425.7,-425.7,-425.7,-382.9,-382.9,-382.9
518,-386.9,-386.9,-386.9,-402.9,-402.9,-402.9
519,-481.6,-481.6,-481.6,-394.9,-394.9,-394.9
520,-483.6,-483.6,-483.6,-429.6,-429.6,-429.6
521,-410.7,-410.7,-410.7,-448.3,-448.3,-448.3
522,-406.5,-406.5,-406.5,-404.1,-404.1,-404.1
523,-413.2,-413.2,-413.2,-428.8,-428.8,-428.8
524,-409.4,-409.4,-409.4,-454.4,-454.4,-454.4
525,-477.3,-477.3,-477.3,-438.3,-438.3,-438.3
526,-429,-429,-429,-391.9,-391.9,-391.9
527,-489.2,-489.2,-489.2,-390,-390,-390
528,-477.9,-477.9,-477.9,-390.1,-390.1,-390.1
529,-457.6,-457.6,-457.6,-462.9,-462.9,-462.9
530,-436.1,-436.1,-436.1,-449.9,-449.9,-449.9
531,-475.9,-475.9,-475.9,-447,-447,-447
532,-464.5,-464.5,-464.5,-420.7,-420.7,-420.7
533,-412.9,-412.9,-412.9,-481.1,-481.1,-481.1
534,-438.3,-438.3,-438.3,-400.6,-400.6,-400.6
535,-476.3,-476.3,-476.3,-418.5,-418.5,-418.5
536,-416.1,-416.1,-416.1,-406.1,-406.1,-406.1
537,-475.1,-475.1,-475.1,-481.7,-481.7,-481.7
538,-520.3,-520.3,-520.3,-472.6,-472.6,-472.6
539,-440.1,-440.1,-440.1,-432,-432,-432
540,-468.1,-468.1,-468.1,-450.8,-450.8,-450.8
541,-450.1,-450.1,-450.1,-379.3,-379.3,-379.3
542,-457.9,-457.9,-457.9,-463.5,-463.5,-463.5
543,-468,-468,-468,-398.3,-398.3,-398.3
544,-505.2,-505.2,-505.2,-416.5,-416.5,-416.5
545,-466.5,-466.5,-466.5,-437.6,-437.6,-437.6
546,-438.6,-438.6,-438.6,-491.5,-491.5,-491.5
547,-539.1,-539.1,-539.1,-372,-372,-372
548,-430.8,-430.8,-430.8,-491.1,-491.1,-491.1
549,-495.8,-495.8,-495.8,-419.6,-419.6,-419.6
550,-428.8,-428.8,-428.8,-438.7,-438.7,-438.7
551,-445.3,-445.3,-445.3,-368.1,-368.1,-368.1
552,-395.8,-395.8,-395.8,-414.7,-414.7,-414.7
553,-421.1,-421.1,-421.1,-398.2,-398.2,-398.2
554,-411.1,-411.1,-411.1,-453.1,-453.1,-453.1
555,-444.3,-444.3,-444.3,-469.7,-469.7,-469.7
556,-443.3,-443.3,-443.3,-530.4,-530.4,-530.4
557,-486,-486,-486,-408.6,-408.6,-408.6
558,-493.6,-493.6,-493.6,-404.8,-404.8,-404.8
559,-452,-452,-452,-424.1,-424.1,-424.1
560,-485.2,-485.2,-485.2,-417.3,-417.3,-417.3
561,-439.3,-439.3,-439.3,-416.7,-416.7,-416.7
562,-413.7,-413.7,-413.7,-510.4,-510.4,-510.4
563,-433.1,-433.1,-433.1,-475.5,-475.5,-475.5
564,-481.8,-481.8,-481.8,-373,-373,-373
565,-515.4,-515.4,-515.4,-450,-450,-450
566,-441.9,-441.9,-441.9,-377,-377,-377
567,-474.2,-474.2,-474.2,-404.6,-404.6,-404.6
568,-395.1,-395.1,-395.1,-403.7,-403.7,-403.7
569,-434.5,-434.5,-434.5,-408.2,-408.2,-408.2
570,-429.6,-429.6,-429.6,-417.7,-417.7,-417.7
571,-405.2,-405.2,-405.2,-373.1,-373.1,-373.1
572,-519.2,-519.2,-519.2,-440.9,-440.9,-440.9
573,-417.9,-417.9,-417.9,-451.1,-451.1,-451.1
574,-402.3,-402.3,-402.3,-452.2,-452.2,-452.2
575,-458.8,-458.8,-458.8,-470.1,-470.1,-470.1
576,-442.4,-442.4,-442.4,-406.8,-406.8,-406.8
577,-424.4,-424.4,-424.4,-358.5,-358.5,-358.5
578,-473.9,-473.9,-473.9,-393.3,-393.3,-393.3
579,-398.8,-398.8,-398.8,-437.4,-437.4,-437.4
580,-433.4,-433.4,-433.4,-373.9,-373.9,-373.9
581,-391.4,-391.4,-391.4,-448.3,-448.3,-448.3
582,-419.4,-419.4,-419.4,-416.9,-416.9,-416.9
583,-389.7,-389.7,-389.7,-447.7,-447.7,-447.7
584,-434.3,-434.3,-434.3,-429.4,-429.4,-429.4
585,-500.6,-500.6,-500.6,-369.9,-369.9,-369.9
586,-426.2,-426.2,-426.2,-440.9,-440.9,-440.9
587,-391.8,-391.8,-391.8,-409.8,-409.8,-409.8
588,-484.2,-484.2,-484.2,-396,-396,-396
589,-418.9,-418.9,-418.9,-385.1,-385.1,-385.1
590,-459.7,-459.7,-459.7,-425.1,-425.1,-425.1
591,-451,-451,-451,-481.6,-481.6,-481.6
592,-452.7,-452.7,-452.7,-382.7,-382.7,-382.7
593,-442,-442,-442,-394.3,-394.3,-394.3
594,-416,-416,-416,-382,-382,-382
595,-487.1,-487.1,-487.1,-411.7,-411.7,-411.7
596,-507.5,-507.5,-507.5,-368.3,-368.3,-368.3
597,-482.1,-482.1,-482.1,-428.6,-428.6,-428.6
598,-403.3,-403.3,-403.3,-450.9,-450.9,-450.9
599,-468.4,-468.4,-468.4,-395,-395,-395
600,-404.6,-404.6,-404.6,-391.9,-391.9,-391.9
601,-430.1,-430.1,-430.1,-395.6,-395.6,-395.6
602,-470.2,-470.2,-470.2,-360.9,-360.9,-360.9
603,-450.5,-450.5,-450.5,-402.3,-402.3,-402.3
604,-421.9,-421.9,-421.9,-360.2,-360.2,-360.2
605,-408.1,-408.1,-408.1,-418.3,-418.3,-418.3
606,-461.6,-461.6,-461.6,-432.9,-432.9,-432.9
607,-456.8,-456.8,-456.8,-402.2,-402.2,-402.2
608,-453.4,-453.4,-453.4,-414.7,-414.7,-414.7
609,-463.5,-463.5,-463.5,-386.1,-386.1,-386.1
610,-441.1,-441.1,-441.1,-422.7,-422.7,-422.7
611,-412,-412,-412,-365.2,-365.2,-365.2
612,-427.3,-427.3,-427.3,-426.1,-426.1,-426.1
613,-380.2,-380.2,-380.2,-407.5,-407.5,-407.5
614,-458.5,-458.5,-458.5,-421.3,-421.3,-421.3
615,-369.4,-369.4,-369.4,-403.1,-403.1,-403.1
616,-427.6,-427.6,-427.6,-448.3,-448.3,-448.3
617,-498.7,-498.7,-498.7,-390.9,-390.9,-390.9
618,-459.4,-459.4,-459.4,-358.2,-358.2,-358.2
619,-459.2,-459.2,-459.2,-369.3,-369.3,-369.3
620,-461.7,-461.7,-461.7,-459.2,-459.2,-459.2
621,-397.5,-397.5,-397.5,-432.1,-432.1,-432.1
622,-500.3,-500.3,-500.3,-386.5,-386.5,-386.5
623,-421.1,-421.1,-421.1,-392.6,-392.6,-392.6
624,-444.3,-444.3,-444.3,-390.5,-390.5,-390.5
625,-456.9,-456.9,-456.9,-444.6,-444.6,-444.6
626,-421.7,-421.7,-421.7,-482.3,-482.3,-482.3
627,-435.8,-435.8,-435.8,-430.7,-430.7,-430.7
628,-444.4,-444.4,-444.4,-409.4,-409.4,-409.4
629,-396.3,-396.3,-396.3,-421.5,-421.5,-421.5
630,-416.3,-416.3,-416.3,-429.9,-429.9,-429.9
631,-436.5,-436.5,-436.5,-385.4,-385.4,-385.4
632,-437,-437,-437,-380.7,-380.7,-380.7
633,-398.3,-398.3,-398.3,-414.8,-414.8,-414.8
634,-423.1,-423.1,-423.1,-408.3,-408.3,-408.3
635,-387.9,-387.9,-387.9,-411.9,-411.9,-411.9
636,-506.3,-506.3,-506.3,-395,-395,-395
637,-484,-484,-484,-396.6,-396.6,-396.6
638,-438.2,-438.2,-438.2,-418.7,-418.7,-418.7
639,-365,-365,-365,-392,-392,-392
640,-433.8,-433.8,-433.8,-358.8,-358.8,-358.8
641,-432.4,-432.4,-432.4,-383.1,-383.1,-383.1
642,-468.2,-468.2,-468.2,-401.6,-401.6,-401.6
643,-437.1,-437.1,-437.1,-417.7,-417.7,-417.7
644,-423,-423,-423,-423.8,-423.8,-423.8
645,-450,-450,-450,-437.4,-437.4,-437.4
646,-423.9,-423.9,-423.9,-379.9,-379.9,-379.9
647,-436.5,-436.5,-436.5,-398.5,-398.5,-398.5
648,-449,-449,-449,-363.4,-363.4,-363.4
649,-480.1,-480.1,-480.1,-418.7,-418.7,-418.7
650,-449.3,-449.3,-449.3,-419,-419,-419
651,-457.3,-457.3,-457.3,-369.8,-369.8,-369.8
652,-428.8,-428.8,-428.8,-433,-433,-433
653,-485.6,-485.6,-485.6,-392.8,-392.8,-392.8
654,-362.3,-362.3,-362.3,-345.2,-345.2,-345.2
655,-404.2,-404.2,-404.2,-406.5,-406.5,-406.5
656,-439.2,-439.2,-439.2,-392.9,-392.9,-392.9
657,-470.3,-470.3,-470.3,-417.3,-417.3,-417.3
658,-410.9,-410.9,-410.9,-415.8,-415.8,-415.8
659,-448.2,-448.2,-448.2,-404.7,-404.7,-404.7
660,-434.6,-434.6,-434.6,-378.5,-378.5,-378.5
661,-427.1,-427.1,-427.1,-372.5,-372.5,-372.5
662,-411.6,-411.6,-411.6,-399.4,-399.4,-399.4
663,-459.6,-459.6,-459.6,-437.9,-437.9,-437.9
664,-415.8,-415.8,-415.8,-361.4,-361.4,-361.4
665,-479.9,-479.9,-479.9,-370.1,-370.1,-370.1
666,-453.5,-453.5,-453.5,-380.1,-380.1,-380.1
667,-361.6,-361.6,-361.6,-415.1,-415.1,-415.1
668,-454.4,-454.4,-454.4,-373.5,-373.5,-373.5
669,-483.3,-483.3,-483.3,-356.5,-356.5,-356.5
670,-432.5,-432.5,-432.5,-447.7,-447.7,-447.7
671,-439.6,-439.6,-439.6,-418.7,-418.7,-418.7
672,-381.2,-381.2,-381.2,-419.6,-419.6,-419.6
673,-416.4,-416.4,-416.4,-401.1,-401.1,-401.1
674,-429.3,-429.3,-429.3,-422.1,-422.1,-422.1
675,-398.3,-398.3,-398.3,-395.4,-395.4,-395.4
676,-416.5,-416.5,-416.5,-426.7,-426.7,-426.7
677,-387.2,-387.2,-387.2,-417,-417,-417
678,-437.5,-437.5,-437.5,-395.7,-395.7,-395.7
679,-460.2,-460.2,-460.2,-461.4,-461.4,-461.4
680,-403.8,-403.8,-403.8,-370.7,-370.7,-370.7
681,-415.9,-415.9,-415.9,-405.5,-405.5,-405.5
682,-351.5,-351.5,-351.5,-420.8,-420.8,-420.8
683,-427.3,-427.3,-427.3,-441.4,-441.4,-441.4
684,-398.1,-398.1,-398.1,-378.2,-378.2,-378.2
685,-402.7,-402.7,-402.7,-392.6,-392.6,-392.6
686,-418.8,-418.8,-418.8,-382.7,-382.7,-382.7
687,-406.4,-406.4,-406.4,-412.7,-412.7,-412.7
688,-428,-428,-428,-401.2,-401.2,-401.2
689,-339.4,-339.4,-339.4,-390.9,-390.9,-390.9
690,-411.4,-411.4,-411.4,-410.5,-410.5,-410.5
691,-429.5,-429.5,-429.5,-301.9,-301.9,-301.9
692,-399.8,-399.8,-399.8,-380.5,-380.5,-380.5
693,-421.6,-421.6,-421.6,-411.1,-411.1,-411.1
694,-436.5,-436.5,-436.5,-380.7,-380.7,-380.7
695,-433.2,-433.2,-433.2,-405.1,-405.1,-405.1
696,-474,-474,-474,-356.6,-356.6,-356.6
697,-462.6,-462.6,-462.6,-362.2,-362.2,-362.2
698,-458.3,-458.3,-458.3,-404.6,-404.6,-404.6
699,-456.5,-456.5,-456.5,-407.4,-407.4,-407.4
700,-426.7,-426.7,-426.7,-464.7,-464.7,-464.7
701,-434.8,-434.8,-434.8,-415.1,-415.1,-415.1
702,-424.1,-424.1,-424.1,-392,-392,-392
703,-399.6,-399.6,-399.6,-384.8,-384.8,-384.8
704,-419.3,-419.3,-419.3,-407.1,-407.1,-407.1
705,-477,-477,-477,-350.2,-350.2,-350.2
706,-387.9,-387.9,-387.9,-428,-428,-428
707,-493.1,-493.1,-493.1,-437.1,-437.1,-437.1
708,-444.9,-444.9,-444.9,-401,-401,-401
709,-466,-466,-466,-381.3,-381.3,-381.3
710,-499,-499,-499,-336.2,-336.2,-336.2
711,-459.3,-459.3,-459.3,-386.8,-386.8,-386.8
712,-428.3,-428.3,-428.3,-416.8,-416.8,-416.8
713,-370.7,-370.7,-370.7,-387.8,-387.8,-387.8
714,-424.9,-424.9,-424.9,-379.8,-379.8,-379.8
715,-438.2,-438.2,-438.2,-378.8,-378.8,-378.8
716,-386.4,-386.4,-386.4,-388.6,-388.6,-388.6
717,-383.8,-383.8,-383.8,-396,-396,-396
718,-405.9,-405.9,-405.9,-429.1,-429.1,-429.1
719,-424,-424,-424,-364,-364,-364
720,-363.4,-363.4,-363.4,-439.2,-439.2,-439.2
721,-413.8,-413.8,-413.8,-410.8,-410.8,-410.8
722,-359.9,-359.9,-359.9,-380,-380,-380
723,-414.6,-414.6,-414.6,-366.1,-366.1,-366.1
724,-390.7,-390.7,-390.7,-358.2,-358.2,-358.2
725,-438.2,-438.2,-438.2,-357.3,-357.3,-357.3
726,-454.7,-454.7,-454.7,-467.8,-467.8,-467.8
727,-364,-364,-364,-346.2,-346.2,-346.2
728,-417.3,-417.3,-417.3,-454.6,-454.6,-454.6
729,-371.8,-371.8,-371.8,-340.3,-340.3,-340.3
730,-393.7,-393.7,-393.7,-316.8,-316.8,-316.8
731,-434.6,-434.6,-434.6,-343.3,-343.3,-343.3
732,-413,-413,-413,-365.4,-365.4,-365.4
733,-449.5,-449.5,-449.5,-357.4,-357.4,-357.4
734,-431.6,-431.6,-431.6,-367.9,-367.9,-367.9
735,-411.9,-411.9,-411.9,-424.3,-424.3,-424.3
736,-381.7,-381.7,-381.7,-397,-397,-397
737,-413.6,-413.6,-413.6,-358.1,-358.1,-358.1
738,-410.8,-410.8,-410.8,-381.2,-381.2,-381.2
739,-391.8,-391.8,-391.8,-384,-384,-384
740,-416.2,-416.2,-416.2,-383,-383,-383
741,-390.7,-390.7,-390.7,-382.9,-382.9,-382.9
742,-436.7,-436.7,-436.7,-326.3,-326.3,-326.3
743,-491.1,-491.1,-491.1,-342.3,-342.3,-342.3
744,-375.3,-375.3,-375.3,-363.1,-363.1,-363.1
745,-388.3,-388.3,-388.3,-352.5,-352.5,-352.5
746,-433.4,-433.4,-433.4,-405.8,-405.8,-405.8
747,-484,-484,-484,-346.8,-346.8,-346.8
748,-419.9,-419.9,-419.9,-410.6,-410.6,-410.6
749,-439.3,-439.3,-439.3,-373.7,-373.7,-373.7
750,-441.5,-441.5,-441.5,-376.8,-376.8,-376.8
751,-416.3,-416.3,-416.3,-374.9,-374.9,-374.9
752,-424.1,-424.1,-424.1,-344.4,-344.4,-344.4
753,-385.1,-385.1,-385.1,-371.3,-371.3,-371.3
754,-419.2,-419.2,-419.2,-354.6,-354.6,-354.6
755,-399.8,-399.8,-399.8,-377.3,-377.3,-377.3
756,-479.6,-479.6,-479.6,-378.6,-378.6,-378.6
757,-385.9,-385.9,-385.9,-429.4,-429.4,-429.4
758,-414.2,-414.2,-414.2,-411.7,-411.7,-411.7
759,-400.7,-400.7,-400.7,-350.2,-350.2,-350.2
760,-443.2,-443.2,-443.2,-410.7,-410.7,-410.7
761,-446.9,-446.9,-446.9,-349.8,-349.8,-349.8
762,-386.6,-386.6,-386.6,-398.2,-398.2,-398.2
763,-385.6,-385.6,-385.6,-335.6,-335.6,-335.6
764,-424.2,-424.2,-424.2,-402.3,-402.3,-402.3
765,-409.9,-409.9,-409.9,-325.1,-325.1,-325.1
766,-436.1,-436.1,-436.1,-343.2,-343.2,-343.2
767,-416.4,-416.4,-416.4,-405,-405,-405
768,-442.6,-442.6,-442.6,-421,-421,-421
769,-410.6,-410.6,-410.6,-369.2,-369.2,-369.2
770,-366.4,-366.4,-366.4,-339.1,-339.1,-339.1
771,-438.6,-438.6,-438.6,-354.5,-354.5,-354.5
772,-396.4,-396.4,-396.4,-408.7,-408.7,-408.7
773,-412.3,-412.3,-412.3,-368.5,-368.5,-368.5
774,-459.8,-459.8,-459.8,-368.5,-368.5,-368.5
775,-396.9,-396.9,-396.9,-378.9,-378.9,-378.9
776,-435,-435,-435,-346.5,-346.5,-346.5
777,-348.1,-348.1,-348.1,-434.4,-434.4,-434.4
778,-409.1,-409.1,-409.1,-316.7,-316.7,-316.7
779,-406,-406,-406,-513.7,-513.7,-513.7
780,-402.2,-402.2,-402.2,-332.2,-332.2,-332.2
781,-432.6,-432.6,-432.6,-363,-363,-363
782,-398,-398,-398,-402.4,-402.4,-402.4
783,-430.6,-430.6,-430.6,-441.2,-441.2,-441.2
784,-388,-388,-388,-373.2,-373.2,-373.2
785,-405.6,-405.6,-405.6,-383.6,-383.6,-383.6
786,-418.7,-418.7,-418.7,-380.6,-380.6,-380.6
787,-409.3,-409.3,-409.3,-356.8,-356.8,-356.8
788,-411.9,-411.9,-411.9,-419.3,-419.3,-419.3
789,-432.7,-432.7,-432.7,-366.6,-366.6,-366.6
790,-365.3,-365.3,-365.3,-427.8,-427.8,-427.8
791,-464.8,-464.8,-464.8,-389.7,-389.7,-389.7
792,-353.6,-353.6,-353.6,-357.4,-357.4,-357.4
793,-428.9,-428.9,-428.9,-364.1,-364.1,-364.1
794,-448.8,-448.8,-448.8,-339,-339,-339
795,-413.5,-413.5,-413.5,-364.9,-364.9,-364.9
796,-418.3,-418.3,-418.3,-407.8,-407.8,-407.8
797,-383.7,-383.7,-383.7,-393.6,-393.6,-393.6
798,-410.1,-410.1,-410.1,-321.5,-321.5,-321.5
799,-414.4,-414.4,-414.4,-369.9,-369.9,-369.9
800,-414.6,-414.6,-414.6,-436.2,-436.2,-436.2
801,-439.4,-439.4,-439.4,-385.7,-385.7,-385.7
802,-394,-394,-394,-378,-378,-378
803,-389.1,-389.1,-389.1,-459.2,-459.2,-459.2
804,-384.8,-384.8,-384.8,-422.7,-422.7,-422.7
805,-409.6,-409.6,-409.6,-351.2,-351.2,-351.2
806,-447.5,-447.5,-447.5,-299.2,-299.2,-299.2
807,-362.1,-362.1,-362.1,-361.1,-361.1,-361.1
808,-446.4,-446.4,-446.4,-372.4,-372.4,-372.4
809,-374.8,-374.8,-374.8,-389.2,-389.2,-389.2
810,-368.3,-368.3,-368.3,-395.8,-395.8,-395.8
811,-441.6,-441.6,-441.6,-398,-398,-398
812,-432.2,-432.2,-432.2,-396.8,-396.8,-396.8
813,-433.7,-433.7,-433.7,-400.6,-400.6,-400.6
814,-448.8,-448.8,-448.8,-385.3,-385.3,-385.3
815,-424.8,-424.8,-424.8,-340,-340,-340
816,-411.9,-411.9,-411.9,-343.6,-343.6,-343.6
817,-386.1,-386.1,-386.1,-388.1,-388.1,-388.1
818,-383.3,-383.3,-383.3,-319.7,-319.7,-319.7
819,-394.8,-394.8,-394.8,-330.9,-330.9,-330.9
820,-372.2,-372.2,-372.2,-368.2,-368.2,-368.2
821,-382.4,-382.4,-382.4,-363.7,-363.7,-363.7
822,-424.5,-424.5,-424.5,-405.1,-405.1,-405.1
823,-441.4,-441.4,-441.4,-339,-339,-339
824,-462.8,-462.8,-462.8,-378.6,-378.6,-378.6
825,-437.9,-437.9,-437.9,-374.9,-374.9,-374.9
826,-445.2,-445.2,-445.2,-406.5,-406.5,-406.5
827,-374.9,-374.9,-374.9,-329.4,-329.4,-329.4
828,-384.5,-384.5,-384.5,-332.4,-332.4,-332.4
829,-414.5,-414.5,-414.5,-353.1,-353.1,-353.1
830,-377,-377,-377,-374.7,-374.7,-374.7
831,-388.6,-388.6,-388.6,-381.8,-381.8,-381.8
832,-359.7,-359.7,-359.7,-377.4,-377.4,-377.4
833,-361.4,-361.4,-361.4,-393.1,-393.1,-393.1
834,-445.5,-445.5,-445.5,-302.9,-302.9,-302.9
835,-414.4,-414.4,-414.4,-350.8,-350.8,-350.8
836,-492.2,-492.2,-492.2,-347.5,-347.5,-347.5
837,-416.7,-416.7,-416.7,-334.6,-334.6,-334.6
838,-463.3,-463.3,-463.3,-336.4,-336.4,-336.4
839,-392.8,-392.8,-392.8,-313.2,-313.2,-313.2
840,-417.6,-417.6,-417.6,-290.5,-290.5,-290.5
841,-399.9,-399.9,-399.9,-372.4,-372.4,-372.4
842,-440.5,-440.5,-440.5,-418.5,-418.5,-418.5
843,-434.3,-434.3,-434.3,-361.4,-361.4,-361.4
844,-417.6,-417.6,-417.6,-350.7,-350.7,-350.7
845,-406.2,-406.2,-406.2,-324.5,-324.5,-324.5
846,-449.4,-449.4,-449.4,-376.5,-376.5,-376.5
847,-387.1,-387.1,-387.1,-345.9,-345.9,-345.9
848,-400.7,-400.7,-400.7,-357.6,-357.6,-357.6
849,-434.3,-434.3,-434.3,-391.8,-391.8,-391.8
850,-370.1,-370.1,-370.1,-291.5,-291.5,-291.5
851,-371.4,-371.4,-371.4,-314.5,-314.5,-314.5
852,-363.6,-363.6,-363.6,-334.2,-334.2,-334.2
853,-430.7,-430.7,-430.7,-385.9,-385.9,-385.9
854,-404,-404,-404,-390.2,-390.2,-390.2
855,-406.8,-406.8,-406.8,-344.6,-344.6,-344.6
856,-447.4,-447.4,-447.4,-375,-375,-375
857,-397.6,-397.6,-397.6,-338.9,-338.9,-338.9
858,-499.8,-499.8,-499.8,-339.2,-339.2,-339.2
859,-436.3,-436.3,-436.3,-343.5,-343.5,-343.5
860,-438.9,-438.9,-438.9,-380.3,-380.3,-380.3
861,-389.4,-389.4,-389.4,-380.6,-380.6,-380.6
862,-428.2,-428.2,-428.2,-346.7,-346.7,-346.7
863,-372,-372,-372,-333.9,-333.9,-333.9
864,-397.4,-397.4,-397.4,-388.3,-388.3,-388.3
865,-415.6,-415.6,-415.6,-351.7,-351.7,-351.7
866,-440.1,-440.1,-440.1,-397.4,-397.4,-397.4
867,-378.4,-378.4,-378.4,-409.2,-409.2,-409.2
868,-370.7,-370.7,-370.7,-326.9,-326.9,-326.9
869,-358.6,-358.6,-358.6,-389.5,-389.5,-389.5
870,-418.8,-418.8,-418.8,-355.5,-355.5,-355.5
871,-473.1,-473.1,-473.1,-396.8,-396.8,-396.8
872,-394.7,-394.7,-394.7,-344.6,-344.6,-344.6
