epoch,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return__MAX
94,-724,-724,-724,-692.5,-692.5,-692.5
95,-753.4,-753.4,-753.4,-619.4,-619.4,-619.4
96,-669.5,-669.5,-669.5,-624.7,-624.7,-624.7
97,-699.2,-699.2,-699.2,-677.2,-677.2,-677.2
98,-714.5,-714.5,-714.5,-642.9,-642.9,-642.9
99,-668.3,-668.3,-668.3,-657.2,-657.2,-657.2
100,-681.4,-681.4,-681.4,-667.3,-667.3,-667.3
101,-622.7,-622.7,-622.7,-671.1,-671.1,-671.1
102,-730.5,-730.5,-730.5,-567.2,-567.2,-567.2
103,-655.5,-655.5,-655.5,-614.2,-614.2,-614.2
104,-682.2,-682.2,-682.2,-709.7,-709.7,-709.7
105,-704.8,-704.8,-704.8,-679.8,-679.8,-679.8
106,-680.2,-680.2,-680.2,-663.9,-663.9,-663.9
107,-702.4,-702.4,-702.4,-610.6,-610.6,-610.6
108,-709.3,-709.3,-709.3,-606.4,-606.4,-606.4
109,-726.2,-726.2,-726.2,-615.6,-615.6,-615.6
110,-737.9,-737.9,-737.9,-631.9,-631.9,-631.9
111,-732.5,-732.5,-732.5,-725.9,-725.9,-725.9
112,-699.8,-699.8,-699.8,-624.7,-624.7,-624.7
113,-749.8,-749.8,-749.8,-556.7,-556.7,-556.7
114,-652.3,-652.3,-652.3,-635.1,-635.1,-635.1
115,-661.9,-661.9,-661.9,-628.9,-628.9,-628.9
116,-696.2,-696.2,-696.2,-597.1,-597.1,-597.1
117,-660.5,-660.5,-660.5,-594.3,-594.3,-594.3
118,-705.3,-705.3,-705.3,-581.2,-581.2,-581.2
119,-735.3,-735.3,-735.3,-628.6,-628.6,-628.6
120,-752.6,-752.6,-752.6,-559.6,-559.6,-559.6
121,-643.6,-643.6,-643.6,-638,-638,-638
122,-680.6,-680.6,-680.6,-589,-589,-589
123,-721.9,-721.9,-721.9,-625,-625,-625
124,-709.6,-709.6,-709.6,-522.9,-522.9,-522.9
125,-719.4,-719.4,-719.4,-687.6,-687.6,-687.6
126,-769.8,-769.8,-769.8,-595.8,-595.8,-595.8
127,-735.5,-735.5,-735.5,-630.7,-630.7,-630.7
128,-675.5,-675.5,-675.5,-575.9,-575.9,-575.9
129,-681,-681,-681,-560.8,-560.8,-560.8
130,-557.7,-557.7,-557.7,-555.7,-555.7,-555.7
131,-703.8,-703.8,-703.8,-615,-615,-615
132,-590.8,-590.8,-590.8,-577.7,-577.7,-577.7
133,-664.7,-664.7,-664.7,-540.5,-540.5,-540.5
134,-644.8,-644.8,-644.8,-698.4,-698.4,-698.4
135,-703,-703,-703,-560.9,-560.9,-560.9
136,-625,-625,-625,-568.4,-568.4,-568.4
137,-633.8,-633.8,-633.8,-578.1,-578.1,-578.1
138,-709.8,-709.8,-709.8,-594.7,-594.7,-594.7
139,-679.9,-679.9,-679.9,-578.3,-578.3,-578.3
140,-640.2,-640.2,-640.2,-517,-517,-517
141,-662.1,-662.1,-662.1,-605.6,-605.6,-605.6
142,-647.9,-647.9,-647.9,-537.1,-537.1,-537.1
143,-696,-696,-696,-546.7,-546.7,-546.7
144,-668,-668,-668,-674.2,-674.2,-674.2
145,-652.3,-652.3,-652.3,-521.4,-521.4,-521.4
146,-749.1,-749.1,-749.1,-610.3,-610.3,-610.3
147,-673.5,-673.5,-673.5,-529.7,-529.7,-529.7
148,-717.1,-717.1,-717.1,-492.4,-492.4,-492.4
149,-736.6,-736.6,-736.6,-592.6,-592.6,-592.6
150,-644,-644,-644,-577.6,-577.6,-577.6
151,-655.5,-655.5,-655.5,-530.8,-530.8,-530.8
152,-646.5,-646.5,-646.5,-529.7,-529.7,-529.7
153,-661.2,-661.2,-661.2,-534.5,-534.5,-534.5
154,-643.2,-643.2,-643.2,-540.3,-540.3,-540.3
155,-631.3,-631.3,-631.3,-605.5,-605.5,-605.5
156,-667.6,-667.6,-667.6,-539.2,-539.2,-539.2
157,-677.9,-677.9,-677.9,-550,-550,-550
158,-588.3,-588.3,-588.3,-588.7,-588.7,-588.7
159,-570.7,-570.7,-570.7,-628.8,-628.8,-628.8
160,-685.8,-685.8,-685.8,-637.4,-637.4,-637.4
161,-635.2,-635.2,-635.2,-538,-538,-538
162,-644.4,-644.4,-644.4,-581.8,-581.8,-581.8
163,-691.1,-691.1,-691.1,-601.4,-601.4,-601.4
164,-606.4,-606.4,-606.4,-622.7,-622.7,-622.7
165,-621.8,-621.8,-621.8,-595.8,-595.8,-595.8
166,-666.9,-666.9,-666.9,-537.1,-537.1,-537.1
167,-674.6,-674.6,-674.6,-538.3,-538.3,-538.3
168,-613.4,-613.4,-613.4,-577.8,-577.8,-577.8
169,-717.1,-717.1,-717.1,-492.9,-492.9,-492.9
170,-642.2,-642.2,-642.2,-544.7,-544.7,-544.7
171,-638.2,-638.2,-638.2,-473.8,-473.8,-473.8
172,-730.6,-730.6,-730.6,-551.6,-551.6,-551.6
173,-627.7,-627.7,-627.7,-525.5,-525.5,-525.5
174,-738.7,-738.7,-738.7,-602,-602,-602
175,-658.9,-658.9,-658.9,-523.6,-523.6,-523.6
176,-659.1,-659.1,-659.1,-526.8,-526.8,-526.8
177,-508.2,-508.2,-508.2,-532.4,-532.4,-532.4
178,-632.3,-632.3,-632.3,-543.7,-543.7,-543.7
179,-651.8,-651.8,-651.8,-537.6,-537.6,-537.6
180,-650,-650,-650,-578.5,-578.5,-578.5
181,-537.4,-537.4,-537.4,-484.8,-484.8,-484.8
182,-604,-604,-604,-500.1,-500.1,-500.1
183,-593.3,-593.3,-593.3,-626.8,-626.8,-626.8
184,-618.9,-618.9,-618.9,-529.1,-529.1,-529.1
185,-647.6,-647.6,-647.6,-530,-530,-530
186,-636.8,-636.8,-636.8,-561.6,-561.6,-561.6
187,-586.2,-586.2,-586.2,-535,-535,-535
188,-603.1,-603.1,-603.1,-590.2,-590.2,-590.2
189,-625,-625,-625,-535.7,-535.7,-535.7
190,-614.9,-614.9,-614.9,-517.4,-517.4,-517.4
191,-649.5,-649.5,-649.5,-529.8,-529.8,-529.8
192,-628.9,-628.9,-628.9,-537.6,-537.6,-537.6
193,-605.2,-605.2,-605.2,-482.8,-482.8,-482.8
194,-613.3,-613.3,-613.3,-459.9,-459.9,-459.9
195,-630.1,-630.1,-630.1,-564.7,-564.7,-564.7
196,-587.1,-587.1,-587.1,-469.3,-469.3,-469.3
197,-611.1,-611.1,-611.1,-522.9,-522.9,-522.9
198,-613.8,-613.8,-613.8,-601.9,-601.9,-601.9
199,-567.5,-567.5,-567.5,-491.6,-491.6,-491.6
200,-555.8,-555.8,-555.8,-492.3,-492.3,-492.3
201,-619.5,-619.5,-619.5,-492,-492,-492
202,-648.8,-648.8,-648.8,-497.9,-497.9,-497.9
203,-617.1,-617.1,-617.1,-477.6,-477.6,-477.6
204,-644.5,-644.5,-644.5,-521.1,-521.1,-521.1
205,-592.6,-592.6,-592.6,-486,-486,-486
206,-602.7,-602.7,-602.7,-507.8,-507.8,-507.8
207,-641.4,-641.4,-641.4,-535.4,-535.4,-535.4
208,-609.5,-609.5,-609.5,-531.1,-531.1,-531.1
209,-576.7,-576.7,-576.7,-472.9,-472.9,-472.9
210,-599.6,-599.6,-599.6,-454.2,-454.2,-454.2
211,-562.7,-562.7,-562.7,-555.4,-555.4,-555.4
212,-505.8,-505.8,-505.8,-499.1,-499.1,-499.1
213,-558.3,-558.3,-558.3,-504.2,-504.2,-504.2
214,-631.4,-631.4,-631.4,-488.3,-488.3,-488.3
215,-553.8,-553.8,-553.8,-492.7,-492.7,-492.7
216,-544,-544,-544,-506.7,-506.7,-506.7
217,-628.4,-628.4,-628.4,-521.8,-521.8,-521.8
218,-549.2,-549.2,-549.2,-462.9,-462.9,-462.9
219,-593.4,-593.4,-593.4,-490.5,-490.5,-490.5
220,-562.7,-562.7,-562.7,-490.3,-490.3,-490.3
221,-595.1,-595.1,-595.1,-554.4,-554.4,-554.4
222,-541.9,-541.9,-541.9,-492.1,-492.1,-492.1
223,-591.9,-591.9,-591.9,-514.9,-514.9,-514.9
224,-557.1,-557.1,-557.1,-422.6,-422.6,-422.6
225,-602.9,-602.9,-602.9,-563.8,-563.8,-563.8
226,-478.1,-478.1,-478.1,-556.8,-556.8,-556.8
227,-568.2,-568.2,-568.2,-458.8,-458.8,-458.8
228,-495.8,-495.8,-495.8,-558.8,-558.8,-558.8
229,-504.5,-504.5,-504.5,-576.3,-576.3,-576.3
230,-602.7,-602.7,-602.7,-548.6,-548.6,-548.6
231,-565.5,-565.5,-565.5,-425.3,-425.3,-425.3
232,-508.4,-508.4,-508.4,-498.8,-498.8,-498.8
233,-557.5,-557.5,-557.5,-523.6,-523.6,-523.6
234,-599.9,-599.9,-599.9,-587.1,-587.1,-587.1
235,-561.1,-561.1,-561.1,-474,-474,-474
236,-565.6,-565.6,-565.6,-589,-589,-589
237,-503.1,-503.1,-503.1,-534.2,-534.2,-534.2
238,-584,-584,-584,-457.2,-457.2,-457.2
239,-602.5,-602.5,-602.5,-529.6,-529.6,-529.6
240,-581.7,-581.7,-581.7,-480.1,-480.1,-480.1
241,-514.5,-514.5,-514.5,-582.1,-582.1,-582.1
242,-558,-558,-558,-463.2,-463.2,-463.2
243,-579,-579,-579,-457.9,-457.9,-457.9
244,-563.4,-563.4,-563.4,-442.2,-442.2,-442.2
245,-587.4,-587.4,-587.4,-510.3,-510.3,-510.3
246,-569.6,-569.6,-569.6,-599.4,-599.4,-599.4
247,-570,-570,-570,-510.3,-510.3,-510.3
248,-574.9,-574.9,-574.9,-568.7,-568.7,-568.7
249,-497.9,-497.9,-497.9,-560,-560,-560
250,-536.8,-536.8,-536.8,-515.1,-515.1,-515.1
251,-491.2,-491.2,-491.2,-495.7,-495.7,-495.7
252,-539.6,-539.6,-539.6,-439.8,-439.8,-439.8
253,-537.3,-537.3,-537.3,-523,-523,-523
254,-481,-481,-481,-526.2,-526.2,-526.2
255,-597.3,-597.3,-597.3,-517.4,-517.4,-517.4
256,-567.3,-567.3,-567.3,-514.4,-514.4,-514.4
257,-524.4,-524.4,-524.4,-477.7,-477.7,-477.7
258,-598.5,-598.5,-598.5,-481.3,-481.3,-481.3
259,-564.1,-564.1,-564.1,-458.6,-458.6,-458.6
260,-463.5,-463.5,-463.5,-477.9,-477.9,-477.9
261,-597.6,-597.6,-597.6,-461.4,-461.4,-461.4
262,-542.4,-542.4,-542.4,-477.2,-477.2,-477.2
263,-534.3,-534.3,-534.3,-504.4,-504.4,-504.4
264,-515.2,-515.2,-515.2,-441.5,-441.5,-441.5
265,-545,-545,-545,-461.9,-461.9,-461.9
266,-535.8,-535.8,-535.8,-477.9,-477.9,-477.9
267,-555.4,-555.4,-555.4,-441.8,-441.8,-441.8
268,-581.1,-581.1,-581.1,-463.4,-463.4,-463.4
269,-575.2,-575.2,-575.2,-477.2,-477.2,-477.2
270,-519.1,-519.1,-519.1,-488.2,-488.2,-488.2
271,-495,-495,-495,-459.2,-459.2,-459.2
272,-582.9,-582.9,-582.9,-478.4,-478.4,-478.4
273,-502.4,-502.4,-502.4,-445,-445,-445
274,-629,-629,-629,-537.2,-537.2,-537.2
275,-599.7,-599.7,-599.7,-408.9,-408.9,-408.9
276,-507.1,-507.1,-507.1,-469.7,-469.7,-469.7
277,-548,-548,-548,-481,-481,-481
278,-493.1,-493.1,-493.1,-474.3,-474.3,-474.3
279,-573.6,-573.6,-573.6,-553.5,-553.5,-553.5
280,-542.7,-542.7,-542.7,-524.4,-524.4,-524.4
281,-551.4,-551.4,-551.4,-462.9,-462.9,-462.9
282,-504.3,-504.3,-504.3,-446.8,-446.8,-446.8
283,-550.8,-550.8,-550.8,-451.1,-451.1,-451.1
284,-606.1,-606.1,-606.1,-478.5,-478.5,-478.5
285,-482.1,-482.1,-482.1,-431.8,-431.8,-431.8
286,-573,-573,-573,-492.4,-492.4,-492.4
287,-590.5,-590.5,-590.5,-468.6,-468.6,-468.6
288,-549.6,-549.6,-549.6,-448.2,-448.2,-448.2
289,-591.4,-591.4,-591.4,-423.1,-423.1,-423.1
290,-559.6,-559.6,-559.6,-413.6,-413.6,-413.6
291,-535.4,-535.4,-535.4,-470.4,-470.4,-470.4
292,-582,-582,-582,-482.3,-482.3,-482.3
293,-535.1,-535.1,-535.1,-451.8,-451.8,-451.8
294,-514.4,-514.4,-514.4,-410.2,-410.2,-410.2
295,-560.5,-560.5,-560.5,-487.7,-487.7,-487.7
296,-500,-500,-500,-592.9,-592.9,-592.9
297,-535.2,-535.2,-535.2,-452.7,-452.7,-452.7
298,-531.7,-531.7,-531.7,-408.6,-408.6,-408.6
299,-524.3,-524.3,-524.3,-442.2,-442.2,-442.2
300,-495.8,-495.8,-495.8,-528.2,-528.2,-528.2
301,-583.7,-583.7,-583.7,-473,-473,-473
302,-555.8,-555.8,-555.8,-500.3,-500.3,-500.3
303,-492.9,-492.9,-492.9,-466.2,-466.2,-466.2
304,-619.2,-619.2,-619.2,-464,-464,-464
305,-455.6,-455.6,-455.6,-508.8,-508.8,-508.8
306,-517,-517,-517,-475.6,-475.6,-475.6
307,-547.3,-547.3,-547.3,-465.7,-465.7,-465.7
308,-483.9,-483.9,-483.9,-476.6,-476.6,-476.6
309,-510.8,-510.8,-510.8,-503,-503,-503
310,-535.8,-535.8,-535.8,-446.8,-446.8,-446.8
311,-488.1,-488.1,-488.1,-490.8,-490.8,-490.8
312,-614.5,-614.5,-614.5,-480.4,-480.4,-480.4
313,-574.5,-574.5,-574.5,-382.9,-382.9,-382.9
314,-500.4,-500.4,-500.4,-458.9,-458.9,-458.9
315,-597.5,-597.5,-597.5,-493.9,-493.9,-493.9
316,-536.2,-536.2,-536.2,-486.2,-486.2,-486.2
317,-464.6,-464.6,-464.6,-454.9,-454.9,-454.9
318,-531.3,-531.3,-531.3,-421.3,-421.3,-421.3
319,-496,-496,-496,-424.8,-424.8,-424.8
320,-561.9,-561.9,-561.9,-551.3,-551.3,-551.3
321,-555.2,-555.2,-555.2,-508.8,-508.8,-508.8
322,-507.6,-507.6,-507.6,-477.2,-477.2,-477.2
323,-559.2,-559.2,-559.2,-432.3,-432.3,-432.3
324,-506.2,-506.2,-506.2,-511.4,-511.4,-511.4
325,-516.1,-516.1,-516.1,-479.6,-479.6,-479.6
326,-600.3,-600.3,-600.3,-441.2,-441.2,-441.2
327,-571.4,-571.4,-571.4,-407.8,-407.8,-407.8
328,-495.3,-495.3,-495.3,-426.1,-426.1,-426.1
329,-585.7,-585.7,-585.7,-438.5,-438.5,-438.5
330,-436.2,-436.2,-436.2,-424.8,-424.8,-424.8
331,-577,-577,-577,-424.8,-424.8,-424.8
332,-445.7,-445.7,-445.7,-529.4,-529.4,-529.4
333,-551.4,-551.4,-551.4,-449.4,-449.4,-449.4
334,-549.2,-549.2,-549.2,-410.2,-410.2,-410.2
335,-556.4,-556.4,-556.4,-483.4,-483.4,-483.4
336,-467.9,-467.9,-467.9,-422.7,-422.7,-422.7
337,-488.9,-488.9,-488.9,-456.8,-456.8,-456.8
338,-560.9,-560.9,-560.9,-491.7,-491.7,-491.7
339,-529.9,-529.9,-529.9,-450.4,-450.4,-450.4
340,-489.4,-489.4,-489.4,-467.3,-467.3,-467.3
341,-520.4,-520.4,-520.4,-422.8,-422.8,-422.8
342,-487.5,-487.5,-487.5,-437.4,-437.4,-437.4
343,-565.1,-565.1,-565.1,-453.4,-453.4,-453.4
344,-445.8,-445.8,-445.8,-438.4,-438.4,-438.4
345,-496.5,-496.5,-496.5,-494.3,-494.3,-494.3
346,-428.2,-428.2,-428.2,-456.5,-456.5,-456.5
347,-497.4,-497.4,-497.4,-492.7,-492.7,-492.7
348,-506.5,-506.5,-506.5,-403.1,-403.1,-403.1
349,-472.7,-472.7,-472.7,-444.2,-444.2,-444.2
350,-547.3,-547.3,-547.3,-507.5,-507.5,-507.5
351,-477.3,-477.3,-477.3,-447.6,-447.6,-447.6
352,-535.1,-535.1,-535.1,-386.2,-386.2,-386.2
353,-529.3,-529.3,-529.3,-486,-486,-486
354,-529.8,-529.8,-529.8,-406.7,-406.7,-406.7
355,-509.5,-509.5,-509.5,-450.7,-450.7,-450.7
356,-486.2,-486.2,-486.2,-443.7,-443.7,-443.7
357,-473.4,-473.4,-473.4,-489.8,-489.8,-489.8
358,-453.4,-453.4,-453.4,-504.6,-504.6,-504.6
359,-472.6,-472.6,-472.6,-435.9,-435.9,-435.9
360,-471.4,-471.4,-471.4,-434.7,-434.7,-434.7
361,-533.8,-533.8,-533.8,-472.6,-472.6,-472.6
362,-473.2,-473.2,-473.2,-453.4,-453.4,-453.4
363,-500.4,-500.4,-500.4,-434.1,-434.1,-434.1
364,-464.6,-464.6,-464.6,-441,-441,-441
365,-518.3,-518.3,-518.3,-432.9,-432.9,-432.9
366,-578.6,-578.6,-578.6,-493.7,-493.7,-493.7
367,-489,-489,-489,-462.3,-462.3,-462.3
368,-513.2,-513.2,-513.2,-428.7,-428.7,-428.7
369,-504,-504,-504,-391.3,-391.3,-391.3
370,-434.9,-434.9,-434.9,-414,-414,-414
371,-560,-560,-560,-418.2,-418.2,-418.2
372,-438,-438,-438,-452,-452,-452
373,-508.2,-508.2,-508.2,-423,-423,-423
374,-546.4,-546.4,-546.4,-461.2,-461.2,-461.2
375,-474.4,-474.4,-474.4,-409,-409,-409
376,-427.6,-427.6,-427.6,-444.3,-444.3,-444.3
377,-450,-450,-450,-407.8,-407.8,-407.8
378,-522.8,-522.8,-522.8,-479.8,-479.8,-479.8
379,-603.5,-603.5,-603.5,-469.5,-469.5,-469.5
380,-447.2,-447.2,-447.2,-456.5,-456.5,-456.5
381,-420.8,-420.8,-420.8,-443.6,-443.6,-443.6
382,-526.6,-526.6,-526.6,-388.7,-388.7,-388.7
383,-529.4,-529.4,-529.4,-431.3,-431.3,-431.3
384,-517,-517,-517,-472.5,-472.5,-472.5
385,-496.1,-496.1,-496.1,-431.7,-431.7,-431.7
386,-495.8,-495.8,-495.8,-450.3,-450.3,-450.3
387,-552.7,-552.7,-552.7,-516.4,-516.4,-516.4
388,-489.4,-489.4,-489.4,-482.7,-482.7,-482.7
389,-515.8,-515.8,-515.8,-368,-368,-368
