"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MAX"
"90","-747.5","-747.5","-747.5","-754.2","-754.2","-754.2"
"91","-709.4","-709.4","-709.4","-680.9","-680.9","-680.9"
"92","-732.2","-732.2","-732.2","-757.5","-757.5","-757.5"
"93","-630.2","-630.2","-630.2","-691.5","-691.5","-691.5"
"94","-612.4","-612.4","-612.4","-779.3","-779.3","-779.3"
"95","-718.5","-718.5","-718.5","-551.3","-551.3","-551.3"
"96","-711.9","-711.9","-711.9","-756.1","-756.1","-756.1"
"97","-693.8","-693.8","-693.8","-773.2","-773.2","-773.2"
"98","-704.6","-704.6","-704.6","-640.6","-640.6","-640.6"
"99","-698.9","-698.9","-698.9","-782.9","-782.9","-782.9"
"100","-677.8","-677.8","-677.8","-669.4","-669.4","-669.4"
"101","-638.3","-638.3","-638.3","-751.9","-751.9","-751.9"
"102","-686.1","-686.1","-686.1","-710.9","-710.9","-710.9"
"103","-724.4","-724.4","-724.4","-686.4","-686.4","-686.4"
"104","-726.3","-726.3","-726.3","-761.6","-761.6","-761.6"
"105","-719.8","-719.8","-719.8","-676","-676","-676"
"106","-669.8","-669.8","-669.8","-669.1","-669.1","-669.1"
"107","-680.9","-680.9","-680.9","-722","-722","-722"
"108","-720.8","-720.8","-720.8","-623","-623","-623"
"109","-649.7","-649.7","-649.7","-746.1","-746.1","-746.1"
"110","-699.9","-699.9","-699.9","-665.8","-665.8","-665.8"
"111","-631.1","-631.1","-631.1","-731.1","-731.1","-731.1"
"112","-753.4","-753.4","-753.4","-629","-629","-629"
"113","-704.2","-704.2","-704.2","-684","-684","-684"
"114","-700.9","-700.9","-700.9","-713.5","-713.5","-713.5"
"115","-706.2","-706.2","-706.2","-753.5","-753.5","-753.5"
"116","-668.6","-668.6","-668.6","-686.8","-686.8","-686.8"
"117","-643.5","-643.5","-643.5","-699","-699","-699"
"118","-720.1","-720.1","-720.1","-714.1","-714.1","-714.1"
"119","-723.2","-723.2","-723.2","-715.1","-715.1","-715.1"
"120","-675.2","-675.2","-675.2","-733.8","-733.8","-733.8"
"121","-626.5","-626.5","-626.5","-715.3","-715.3","-715.3"
"122","-674.6","-674.6","-674.6","-643.4","-643.4","-643.4"
"123","-698","-698","-698","-717.8","-717.8","-717.8"
"124","-691.6","-691.6","-691.6","-712.2","-712.2","-712.2"
"125","-617.7","-617.7","-617.7","-621.2","-621.2","-621.2"
"126","-754.3","-754.3","-754.3","-691.9","-691.9","-691.9"
"127","-754.7","-754.7","-754.7","-689.2","-689.2","-689.2"
"128","-720.3","-720.3","-720.3","-686.9","-686.9","-686.9"
"129","-698.4","-698.4","-698.4","-758.5","-758.5","-758.5"
"130","-706.5","-706.5","-706.5","-697","-697","-697"
"131","-648.4","-648.4","-648.4","-782.1","-782.1","-782.1"
"132","-649.6","-649.6","-649.6","-646.1","-646.1","-646.1"
"133","-658.7","-658.7","-658.7","-695.3","-695.3","-695.3"
"134","-766.2","-766.2","-766.2","-677.2","-677.2","-677.2"
"135","-674.3","-674.3","-674.3","-714","-714","-714"
"136","-674.1","-674.1","-674.1","-725.4","-725.4","-725.4"
"137","-676.9","-676.9","-676.9","-692.5","-692.5","-692.5"
