"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_333figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_333figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_333figure3 - episode_return__MAX"
"34","-543.3","-543.3","-543.3","-569.8","-569.8","-569.8","-518.6","-518.6","-518.6","-548.2","-548.2","-548.2"
"35","-589.1","-589.1","-589.1","-472.8","-472.8","-472.8","-614.1","-614.1","-614.1","-510.8","-510.8","-510.8"
"36","-545.1","-545.1","-545.1","-508.7","-508.7","-508.7","-552.6","-552.6","-552.6","-539.1","-539.1","-539.1"
"37","-533.3","-533.3","-533.3","-536.9","-536.9","-536.9","-498.9","-498.9","-498.9","-501.1","-501.1","-501.1"
"38","-511.6","-511.6","-511.6","-497.8","-497.8","-497.8","-509.1","-509.1","-509.1","-501.6","-501.6","-501.6"
"39","-484.6","-484.6","-484.6","-573.6","-573.6","-573.6","-518.1","-518.1","-518.1","-535.9","-535.9","-535.9"
"40","-596.9","-596.9","-596.9","-604.8","-604.8","-604.8","-526.5","-526.5","-526.5","-509.7","-509.7","-509.7"
"41","-572.5","-572.5","-572.5","-559.2","-559.2","-559.2","-520.5","-520.5","-520.5","-576.4","-576.4","-576.4"
"42","-517.5","-517.5","-517.5","-505.6","-505.6","-505.6","-576.4","-576.4","-576.4","-488.9","-488.9","-488.9"
"43","-562.9","-562.9","-562.9","-578.6","-578.6","-578.6","-547.9","-547.9","-547.9","-517.4","-517.4","-517.4"
"44","-507.9","-507.9","-507.9","-540.4","-540.4","-540.4","-502.2","-502.2","-502.2","-544.9","-544.9","-544.9"
"45","-605","-605","-605","-515.1","-515.1","-515.1","-528.9","-528.9","-528.9","-574.8","-574.8","-574.8"
"46","-567","-567","-567","-563.1","-563.1","-563.1","-574.8","-574.8","-574.8","-508.3","-508.3","-508.3"
"47","-498.7","-498.7","-498.7","-524","-524","-524","-538.2","-538.2","-538.2","-546.7","-546.7","-546.7"
"48","-514.5","-514.5","-514.5","-541.8","-541.8","-541.8","-559.6","-559.6","-559.6","-620.1","-620.1","-620.1"
"49","-452.9","-452.9","-452.9","-546.3","-546.3","-546.3","-483.7","-483.7","-483.7","-535.8","-535.8","-535.8"
"50","-565.1","-565.1","-565.1","-522.2","-522.2","-522.2","-542.5","-542.5","-542.5","-532.4","-532.4","-532.4"
"51","-524.7","-524.7","-524.7","-552.4","-552.4","-552.4","-530.2","-530.2","-530.2","-534.1","-534.1","-534.1"
"52","-564.9","-564.9","-564.9","-500.9","-500.9","-500.9","-504.8","-504.8","-504.8","-559.3","-559.3","-559.3"
"53","-589.9","-589.9","-589.9","-508.6","-508.6","-508.6","-535.3","-535.3","-535.3","-478","-478","-478"
"54","-569.5","-569.5","-569.5","-506.5","-506.5","-506.5","-474.7","-474.7","-474.7","-426.9","-426.9","-426.9"
"55","-514.5","-514.5","-514.5","-514.3","-514.3","-514.3","-533.3","-533.3","-533.3","-580.3","-580.3","-580.3"
"56","-497.6","-497.6","-497.6","-515.7","-515.7","-515.7","-520.2","-520.2","-520.2","-501.8","-501.8","-501.8"
"57","-543.4","-543.4","-543.4","-564.1","-564.1","-564.1","-599.4","-599.4","-599.4","-532.3","-532.3","-532.3"
"58","-544.3","-544.3","-544.3","-522.6","-522.6","-522.6","-549.7","-549.7","-549.7","-563.2","-563.2","-563.2"
"59","-528.4","-528.4","-528.4","-543.4","-543.4","-543.4","-529.2","-529.2","-529.2","-526.4","-526.4","-526.4"
"60","-526.9","-526.9","-526.9","-507.4","-507.4","-507.4","-492","-492","-492","-494.1","-494.1","-494.1"
"61","-571.4","-571.4","-571.4","-588.1","-588.1","-588.1","-515.3","-515.3","-515.3","-500.1","-500.1","-500.1"
"62","-517.4","-517.4","-517.4","-503.7","-503.7","-503.7","-525.4","-525.4","-525.4","-580.3","-580.3","-580.3"
"63","-491.8","-491.8","-491.8","-561.4","-561.4","-561.4","-532","-532","-532","-518.4","-518.4","-518.4"
"64","-503.3","-503.3","-503.3","-566.7","-566.7","-566.7","-566.5","-566.5","-566.5","-519.7","-519.7","-519.7"
"65","-545.6","-545.6","-545.6","-553.6","-553.6","-553.6","-591.6","-591.6","-591.6","-482.6","-482.6","-482.6"
"66","-498.5","-498.5","-498.5","-486.1","-486.1","-486.1","-549.4","-549.4","-549.4","-474.4","-474.4","-474.4"
"67","-482.8","-482.8","-482.8","-507.2","-507.2","-507.2","-503.9","-503.9","-503.9","-566","-566","-566"
"68","-523.8","-523.8","-523.8","-528.7","-528.7","-528.7","-551.2","-551.2","-551.2","-600.3","-600.3","-600.3"
"69","-500.3","-500.3","-500.3","-508.6","-508.6","-508.6","-520.3","-520.3","-520.3","-536.2","-536.2","-536.2"
"70","-487.3","-487.3","-487.3","-574.7","-574.7","-574.7","-478.5","-478.5","-478.5","-541.4","-541.4","-541.4"
"71","-538","-538","-538","-563.6","-563.6","-563.6","-560.9","-560.9","-560.9","-488.4","-488.4","-488.4"
"72","-470.6","-470.6","-470.6","-470.9","-470.9","-470.9","-523.9","-523.9","-523.9","-618.6","-618.6","-618.6"
"73","-530.8","-530.8","-530.8","-558.9","-558.9","-558.9","-534.8","-534.8","-534.8","-536.9","-536.9","-536.9"
"74","-489.1","-489.1","-489.1","-530.5","-530.5","-530.5","-537.7","-537.7","-537.7","-509.2","-509.2","-509.2"
"75","-582.9","-582.9","-582.9","-511","-511","-511","-572.3","-572.3","-572.3","-588.7","-588.7","-588.7"
"76","-538.8","-538.8","-538.8","-488.9","-488.9","-488.9","-519.4","-519.4","-519.4","-485.5","-485.5","-485.5"
"77","-526","-526","-526","-557.1","-557.1","-557.1","-475.7","-475.7","-475.7","-504.1","-504.1","-504.1"
"78","-563.7","-563.7","-563.7","-556.4","-556.4","-556.4","-514.2","-514.2","-514.2","-479.6","-479.6","-479.6"
"79","-531.3","-531.3","-531.3","-566.5","-566.5","-566.5","-550.5","-550.5","-550.5","-531.4","-531.4","-531.4"
"80","-476.8","-476.8","-476.8","-498.1","-498.1","-498.1","-498.9","-498.9","-498.9","-547.3","-547.3","-547.3"
"81","-522.4","-522.4","-522.4","-563.7","-563.7","-563.7","-597.8","-597.8","-597.8","-489.4","-489.4","-489.4"
"82","-516.3","-516.3","-516.3","-560.1","-560.1","-560.1","-491.8","-491.8","-491.8","-475.4","-475.4","-475.4"
"83","-533.4","-533.4","-533.4","-611.7","-611.7","-611.7","-577.7","-577.7","-577.7","-474.8","-474.8","-474.8"
"84","-461.7","-461.7","-461.7","-526.8","-526.8","-526.8","-495.4","-495.4","-495.4","-506.6","-506.6","-506.6"
"85","-562.7","-562.7","-562.7","-511.9","-511.9","-511.9","-515.7","-515.7","-515.7","-551.5","-551.5","-551.5"
"86","-517.2","-517.2","-517.2","-540.5","-540.5","-540.5","-486.7","-486.7","-486.7","-559.5","-559.5","-559.5"
"87","-524.8","-524.8","-524.8","-470.9","-470.9","-470.9","-481.8","-481.8","-481.8","-548.1","-548.1","-548.1"
"88","-535.1","-535.1","-535.1","-547.8","-547.8","-547.8","-521.7","-521.7","-521.7","-476.8","-476.8","-476.8"
"89","-546.5","-546.5","-546.5","-510.5","-510.5","-510.5","-491.6","-491.6","-491.6","-498","-498","-498"
"90","-519.6","-519.6","-519.6","-515","-515","-515","-481.6","-481.6","-481.6","-518.8","-518.8","-518.8"
"91","-557.5","-557.5","-557.5","-583.3","-583.3","-583.3","-529","-529","-529","-451.9","-451.9","-451.9"
"92","-532.6","-532.6","-532.6","-515.1","-515.1","-515.1","-563.2","-563.2","-563.2","-450.7","-450.7","-450.7"
"93","-508.7","-508.7","-508.7","-491.3","-491.3","-491.3","-530.5","-530.5","-530.5","-496","-496","-496"
"94","-476.3","-476.3","-476.3","-560","-560","-560","-503.7","-503.7","-503.7","-604.6","-604.6","-604.6"
"95","-574.5","-574.5","-574.5","-520.5","-520.5","-520.5","-449.5","-449.5","-449.5","-497.4","-497.4","-497.4"
"96","-570.5","-570.5","-570.5","-495.2","-495.2","-495.2","-458.1","-458.1","-458.1","-509.1","-509.1","-509.1"
"97","-495.7","-495.7","-495.7","-519.7","-519.7","-519.7","-527.1","-527.1","-527.1","-535.1","-535.1","-535.1"
"98","-550.8","-550.8","-550.8","-492.5","-492.5","-492.5","-503.7","-503.7","-503.7","-527.5","-527.5","-527.5"
"99","-508.6","-508.6","-508.6","-488.1","-488.1","-488.1","-529.8","-529.8","-529.8","-498.8","-498.8","-498.8"
"100","-551.5","-551.5","-551.5","-534","-534","-534","-479.1","-479.1","-479.1","-485.2","-485.2","-485.2"
"101","-501.6","-501.6","-501.6","-523.5","-523.5","-523.5","-572.8","-572.8","-572.8","-560","-560","-560"
"102","-545.6","-545.6","-545.6","-545.4","-545.4","-545.4","-531.8","-531.8","-531.8","-542.9","-542.9","-542.9"
"103","-577","-577","-577","-538.5","-538.5","-538.5","-505.9","-505.9","-505.9","-548.4","-548.4","-548.4"
"104","-470.6","-470.6","-470.6","-504.2","-504.2","-504.2","-573.1","-573.1","-573.1","-526.4","-526.4","-526.4"
"105","-472","-472","-472","-528.8","-528.8","-528.8","-551.7","-551.7","-551.7","-548.7","-548.7","-548.7"
"106","-533.7","-533.7","-533.7","-549.7","-549.7","-549.7","-484.5","-484.5","-484.5","-518.9","-518.9","-518.9"
"107","-537.5","-537.5","-537.5","-512.3","-512.3","-512.3","-516.9","-516.9","-516.9","-566.6","-566.6","-566.6"
"108","-565.5","-565.5","-565.5","-528.8","-528.8","-528.8","-533","-533","-533","-443.4","-443.4","-443.4"
"109","-480.6","-480.6","-480.6","-539.9","-539.9","-539.9","-631.4","-631.4","-631.4","-500.7","-500.7","-500.7"
"110","-588","-588","-588","-461.1","-461.1","-461.1","-574.5","-574.5","-574.5","-557.7","-557.7","-557.7"
"111","-521.9","-521.9","-521.9","-497.6","-497.6","-497.6","-558.2","-558.2","-558.2","-452.8","-452.8","-452.8"
"112","-544","-544","-544","-595.5","-595.5","-595.5","-507.5","-507.5","-507.5","-409.1","-409.1","-409.1"
"113","-495.6","-495.6","-495.6","-519.2","-519.2","-519.2","-578.9","-578.9","-578.9","-475.7","-475.7","-475.7"
"114","-483.2","-483.2","-483.2","-459.4","-459.4","-459.4","-533.4","-533.4","-533.4","-539.1","-539.1","-539.1"
"115","-554.8","-554.8","-554.8","-557.3","-557.3","-557.3","-494.9","-494.9","-494.9","-495.8","-495.8","-495.8"
"116","-555.4","-555.4","-555.4","-505.2","-505.2","-505.2","-486.8","-486.8","-486.8","-514","-514","-514"
"117","-543.1","-543.1","-543.1","-528.3","-528.3","-528.3","-529.5","-529.5","-529.5","-493","-493","-493"
"118","-531.4","-531.4","-531.4","-515.7","-515.7","-515.7","-559.1","-559.1","-559.1","-515.4","-515.4","-515.4"
"119","-515.8","-515.8","-515.8","-443.9","-443.9","-443.9","-498.3","-498.3","-498.3","-509.2","-509.2","-509.2"
"120","-468.5","-468.5","-468.5","-464.3","-464.3","-464.3","-514.5","-514.5","-514.5","-480.6","-480.6","-480.6"
"121","-496.5","-496.5","-496.5","-524.2","-524.2","-524.2","-479.7","-479.7","-479.7","-501.4","-501.4","-501.4"
"122","-544.3","-544.3","-544.3","-533.3","-533.3","-533.3","-569.5","-569.5","-569.5","-607.7","-607.7","-607.7"
"123","-517.5","-517.5","-517.5","-462.3","-462.3","-462.3","-475.5","-475.5","-475.5","-478.4","-478.4","-478.4"
"124","-517.9","-517.9","-517.9","-441","-441","-441","-543","-543","-543","-525.8","-525.8","-525.8"
"125","-504","-504","-504","-527.7","-527.7","-527.7","-543","-543","-543","-537.7","-537.7","-537.7"
"126","-572.2","-572.2","-572.2","-483.1","-483.1","-483.1","-484.2","-484.2","-484.2","-506.8","-506.8","-506.8"
"127","-534.2","-534.2","-534.2","-474.1","-474.1","-474.1","-605.8","-605.8","-605.8","-529.4","-529.4","-529.4"
"128","-493.7","-493.7","-493.7","-506","-506","-506","-513.1","-513.1","-513.1","-520.8","-520.8","-520.8"
"129","-533.1","-533.1","-533.1","-549.1","-549.1","-549.1","-519.8","-519.8","-519.8","-476.1","-476.1","-476.1"
"130","-518.1","-518.1","-518.1","-464.3","-464.3","-464.3","-528.8","-528.8","-528.8","-501","-501","-501"
"131","-499.6","-499.6","-499.6","-536.8","-536.8","-536.8","-479.9","-479.9","-479.9","-510.6","-510.6","-510.6"
"132","-486.2","-486.2","-486.2","-534.3","-534.3","-534.3","-521.1","-521.1","-521.1","-476.4","-476.4","-476.4"
"133","-472.3","-472.3","-472.3","-583.1","-583.1","-583.1","-522.1","-522.1","-522.1","-501.9","-501.9","-501.9"
"134","-496","-496","-496","-489.8","-489.8","-489.8","-571.1","-571.1","-571.1","-529.3","-529.3","-529.3"
"135","-525.1","-525.1","-525.1","-530.1","-530.1","-530.1","-499.2","-499.2","-499.2","-524.2","-524.2","-524.2"
"136","-487.4","-487.4","-487.4","-560","-560","-560","-475.7","-475.7","-475.7","-494.7","-494.7","-494.7"
"137","-444.5","-444.5","-444.5","-545.9","-545.9","-545.9","-551.9","-551.9","-551.9","-582.6","-582.6","-582.6"
"138","-443.5","-443.5","-443.5","-496.9","-496.9","-496.9","-563.7","-563.7","-563.7","-569.7","-569.7","-569.7"
"139","-488.5","-488.5","-488.5","-523.4","-523.4","-523.4","-492.9","-492.9","-492.9","-513","-513","-513"
"140","-523","-523","-523","-574.1","-574.1","-574.1","-534.7","-534.7","-534.7","-581.5","-581.5","-581.5"
"141","-546.8","-546.8","-546.8","-492.9","-492.9","-492.9","-569","-569","-569","-504.3","-504.3","-504.3"
"142","-555.5","-555.5","-555.5","-521.4","-521.4","-521.4","-492.6","-492.6","-492.6","-537.4","-537.4","-537.4"
"143","-519.2","-519.2","-519.2","-524.6","-524.6","-524.6","-556","-556","-556","-519.7","-519.7","-519.7"
"144","-514.4","-514.4","-514.4","-490.9","-490.9","-490.9","-522.6","-522.6","-522.6","-477.8","-477.8","-477.8"
"145","-509.8","-509.8","-509.8","-530.4","-530.4","-530.4","-555.2","-555.2","-555.2","-468.7","-468.7","-468.7"
"146","-457.2","-457.2","-457.2","-505","-505","-505","-514.5","-514.5","-514.5","-478.1","-478.1","-478.1"
"147","-536.3","-536.3","-536.3","-503.1","-503.1","-503.1","-476","-476","-476","-527","-527","-527"
"148","-493.8","-493.8","-493.8","-633.9","-633.9","-633.9","-516.7","-516.7","-516.7","-541.8","-541.8","-541.8"
"149","-459.9","-459.9","-459.9","-507.9","-507.9","-507.9","-457","-457","-457","-629.1","-629.1","-629.1"
"150","-508.6","-508.6","-508.6","-510.9","-510.9","-510.9","-505.8","-505.8","-505.8","-517.9","-517.9","-517.9"
"151","-522.3","-522.3","-522.3","-563.1","-563.1","-563.1","-547.9","-547.9","-547.9","-516.4","-516.4","-516.4"
"152","-435.5","-435.5","-435.5","-499.5","-499.5","-499.5","-555.8","-555.8","-555.8","-525.2","-525.2","-525.2"
"153","-495.5","-495.5","-495.5","-562.7","-562.7","-562.7","-498.2","-498.2","-498.2","-523.3","-523.3","-523.3"
"154","-481.8","-481.8","-481.8","-464.1","-464.1","-464.1","-483","-483","-483","-548.1","-548.1","-548.1"
"155","-460.2","-460.2","-460.2","-496.6","-496.6","-496.6","-558","-558","-558","-536.2","-536.2","-536.2"
"156","-518.2","-518.2","-518.2","-481.9","-481.9","-481.9","-514.9","-514.9","-514.9","-506","-506","-506"
"157","-508","-508","-508","-516","-516","-516","-510.2","-510.2","-510.2","-500.3","-500.3","-500.3"
"158","-523.4","-523.4","-523.4","-541.5","-541.5","-541.5","-469.9","-469.9","-469.9","-467.3","-467.3","-467.3"
"159","-471.9","-471.9","-471.9","-477.6","-477.6","-477.6","-512.4","-512.4","-512.4","-508.1","-508.1","-508.1"
"160","-458.8","-458.8","-458.8","-491.3","-491.3","-491.3","-506.8","-506.8","-506.8","-491.6","-491.6","-491.6"
"161","-488.6","-488.6","-488.6","-545.5","-545.5","-545.5","-472.1","-472.1","-472.1","-537.9","-537.9","-537.9"
"162","-519.9","-519.9","-519.9","-475.7","-475.7","-475.7","-508.6","-508.6","-508.6","-470.3","-470.3","-470.3"
"163","-521","-521","-521","-544.6","-544.6","-544.6","-504.7","-504.7","-504.7","-483.8","-483.8","-483.8"
"164","-491","-491","-491","-506.2","-506.2","-506.2","-527","-527","-527","-482.8","-482.8","-482.8"
"165","-505.7","-505.7","-505.7","-514.4","-514.4","-514.4","-563.2","-563.2","-563.2","-508.2","-508.2","-508.2"
"166","-480.1","-480.1","-480.1","-581.8","-581.8","-581.8","-542","-542","-542","-513.6","-513.6","-513.6"
"167","-486","-486","-486","-518","-518","-518","-498","-498","-498","-522.4","-522.4","-522.4"
"168","-512.8","-512.8","-512.8","-566.4","-566.4","-566.4","-478.7","-478.7","-478.7","-436.5","-436.5","-436.5"
"169","-472.3","-472.3","-472.3","-524.5","-524.5","-524.5","-547","-547","-547","-523.2","-523.2","-523.2"
"170","-412.6","-412.6","-412.6","-502.3","-502.3","-502.3","-547.7","-547.7","-547.7","-518","-518","-518"
"171","-486.7","-486.7","-486.7","-513.8","-513.8","-513.8","-482.6","-482.6","-482.6","-514.3","-514.3","-514.3"
"172","-411.9","-411.9","-411.9","-461.6","-461.6","-461.6","-560.5","-560.5","-560.5","-569","-569","-569"
"173","-507.4","-507.4","-507.4","-539.3","-539.3","-539.3","-542.1","-542.1","-542.1","-511","-511","-511"
"174","-472.7","-472.7","-472.7","-528.6","-528.6","-528.6","-492.9","-492.9","-492.9","-497","-497","-497"
"175","-491","-491","-491","-475.3","-475.3","-475.3","-528","-528","-528","-450.6","-450.6","-450.6"
"176","-479.1","-479.1","-479.1","-513.7","-513.7","-513.7","-480","-480","-480","-585.1","-585.1","-585.1"
"177","-432","-432","-432","-535.4","-535.4","-535.4","-506.1","-506.1","-506.1","-469.2","-469.2","-469.2"
"178","-421.5","-421.5","-421.5","-478","-478","-478","-473.7","-473.7","-473.7","-511.2","-511.2","-511.2"
"179","-499.8","-499.8","-499.8","-533.5","-533.5","-533.5","-420","-420","-420","-500.8","-500.8","-500.8"
"180","-466.3","-466.3","-466.3","-587.8","-587.8","-587.8","-529.6","-529.6","-529.6","-501.4","-501.4","-501.4"
"181","-482.9","-482.9","-482.9","-536.8","-536.8","-536.8","-523.6","-523.6","-523.6","-517.8","-517.8","-517.8"
"182","-526.4","-526.4","-526.4","-494.3","-494.3","-494.3","-512.1","-512.1","-512.1","-486.8","-486.8","-486.8"
"183","-428","-428","-428","-467.5","-467.5","-467.5","-473.5","-473.5","-473.5","-502.2","-502.2","-502.2"
"184","-508","-508","-508","-512.9","-512.9","-512.9","-444.1","-444.1","-444.1","-487","-487","-487"
"185","-476.8","-476.8","-476.8","-536.3","-536.3","-536.3","-515.4","-515.4","-515.4","-534.2","-534.2","-534.2"
"186","-483.8","-483.8","-483.8","-501.4","-501.4","-501.4","-487.7","-487.7","-487.7","-477","-477","-477"
"187","-437.2","-437.2","-437.2","-534.5","-534.5","-534.5","-597.1","-597.1","-597.1","-480.9","-480.9","-480.9"
"188","-509.5","-509.5","-509.5","-481.7","-481.7","-481.7","-485.6","-485.6","-485.6","-522.1","-522.1","-522.1"
"189","-467.7","-467.7","-467.7","-497.7","-497.7","-497.7","-495.5","-495.5","-495.5","-528.2","-528.2","-528.2"
"190","-474.4","-474.4","-474.4","-487.7","-487.7","-487.7","-530","-530","-530","-460.1","-460.1","-460.1"
"191","-480.3","-480.3","-480.3","-525.8","-525.8","-525.8","-462.1","-462.1","-462.1","-530.5","-530.5","-530.5"
"192","-462.2","-462.2","-462.2","-524","-524","-524","-469.3","-469.3","-469.3","-513.2","-513.2","-513.2"
"193","-451.6","-451.6","-451.6","-489.1","-489.1","-489.1","-502.5","-502.5","-502.5","-463.6","-463.6","-463.6"
"194","-411","-411","-411","-484.2","-484.2","-484.2","-557.7","-557.7","-557.7","-477.8","-477.8","-477.8"
"195","-475.8","-475.8","-475.8","-466.1","-466.1","-466.1","-493.4","-493.4","-493.4","-479.8","-479.8","-479.8"
"196","-457.9","-457.9","-457.9","-536.3","-536.3","-536.3","-519.9","-519.9","-519.9","-515.3","-515.3","-515.3"
"197","-455.7","-455.7","-455.7","-497.4","-497.4","-497.4","-508","-508","-508","-547.2","-547.2","-547.2"
"198","-447.1","-447.1","-447.1","-485.7","-485.7","-485.7","-513.8","-513.8","-513.8","-498.4","-498.4","-498.4"
"199","-538.9","-538.9","-538.9","-454.1","-454.1","-454.1","-531.4","-531.4","-531.4","-549.5","-549.5","-549.5"
"200","-415","-415","-415","-484.2","-484.2","-484.2","-489.1","-489.1","-489.1","-485","-485","-485"
"201","-453.6","-453.6","-453.6","-508.1","-508.1","-508.1","-507.4","-507.4","-507.4","-464.9","-464.9","-464.9"
"202","-439.6","-439.6","-439.6","-441.2","-441.2","-441.2","-475.1","-475.1","-475.1","-466.4","-466.4","-466.4"
"203","-484.4","-484.4","-484.4","-504.2","-504.2","-504.2","-460.7","-460.7","-460.7","-463","-463","-463"
"204","-524","-524","-524","-504.1","-504.1","-504.1","-453.6","-453.6","-453.6","-446.1","-446.1","-446.1"
"205","-477","-477","-477","-473.4","-473.4","-473.4","-458.4","-458.4","-458.4","-432","-432","-432"
"206","-415.6","-415.6","-415.6","-461.5","-461.5","-461.5","-466","-466","-466","-469.6","-469.6","-469.6"
"207","-488","-488","-488","-452.4","-452.4","-452.4","-550.4","-550.4","-550.4","-512.2","-512.2","-512.2"
"208","-451.1","-451.1","-451.1","-503.3","-503.3","-503.3","-465.2","-465.2","-465.2","-497.7","-497.7","-497.7"
