"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_333figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_333figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_333figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_333figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_333figure3 - episode_return__MAX"
"0","-476.3","-476.3","-476.3","-503.7","-503.7","-503.7","-551","-551","-551","-478.2","-478.2","-478.2"
"1","-541.5","-541.5","-541.5","-507.8","-507.8","-507.8","-590.2","-590.2","-590.2","-563.2","-563.2","-563.2"
"2","-613.7","-613.7","-613.7","-532","-532","-532","-601","-601","-601","-565.5","-565.5","-565.5"
"3","-624","-624","-624","-538.4","-538.4","-538.4","-565.9","-565.9","-565.9","-594.1","-594.1","-594.1"
"4","-522.3","-522.3","-522.3","-528.1","-528.1","-528.1","-499.2","-499.2","-499.2","-603.2","-603.2","-603.2"
"5","-514.1","-514.1","-514.1","-552.9","-552.9","-552.9","-585.9","-585.9","-585.9","-545.7","-545.7","-545.7"
"6","-549","-549","-549","-565.9","-565.9","-565.9","-476.2","-476.2","-476.2","-560.4","-560.4","-560.4"
"7","-525.5","-525.5","-525.5","-505.4","-505.4","-505.4","-588.8","-588.8","-588.8","-523.8","-523.8","-523.8"
"8","-630.8","-630.8","-630.8","-625.3","-625.3","-625.3","-515.2","-515.2","-515.2","-565.3","-565.3","-565.3"
"9","-506.5","-506.5","-506.5","-566.6","-566.6","-566.6","-574.7","-574.7","-574.7","-552.1","-552.1","-552.1"
"10","-512.1","-512.1","-512.1","-489.6","-489.6","-489.6","-441.1","-441.1","-441.1","-474.4","-474.4","-474.4"
"11","-615.5","-615.5","-615.5","-523.2","-523.2","-523.2","-529.7","-529.7","-529.7","-461.6","-461.6","-461.6"
"12","-498","-498","-498","-547.9","-547.9","-547.9","-542.5","-542.5","-542.5","-642.2","-642.2","-642.2"
"13","-530.1","-530.1","-530.1","-577.3","-577.3","-577.3","-487.3","-487.3","-487.3","-526.1","-526.1","-526.1"
"14","-535.6","-535.6","-535.6","-523.2","-523.2","-523.2","-571.5","-571.5","-571.5","-506.5","-506.5","-506.5"
"15","-520.1","-520.1","-520.1","-627.1","-627.1","-627.1","-549.1","-549.1","-549.1","-503.7","-503.7","-503.7"
"16","-507","-507","-507","-570.1","-570.1","-570.1","-541.3","-541.3","-541.3","-564.3","-564.3","-564.3"
"17","-484.5","-484.5","-484.5","-575.5","-575.5","-575.5","-607.2","-607.2","-607.2","-491.7","-491.7","-491.7"
"18","-565.4","-565.4","-565.4","-485.6","-485.6","-485.6","-505.5","-505.5","-505.5","-547.2","-547.2","-547.2"
"19","-492.6","-492.6","-492.6","-568.8","-568.8","-568.8","-509.3","-509.3","-509.3","-510.5","-510.5","-510.5"
"20","-490.3","-490.3","-490.3","-526","-526","-526","-459.5","-459.5","-459.5","-586.9","-586.9","-586.9"
"21","-528","-528","-528","-555.2","-555.2","-555.2","-585.2","-585.2","-585.2","-561","-561","-561"
"22","-534.9","-534.9","-534.9","-607.1","-607.1","-607.1","-555.1","-555.1","-555.1","-534.8","-534.8","-534.8"
"23","-530.6","-530.6","-530.6","-549.7","-549.7","-549.7","-552.9","-552.9","-552.9","-574.9","-574.9","-574.9"
"24","-525.1","-525.1","-525.1","-533","-533","-533","-564.2","-564.2","-564.2","-549.4","-549.4","-549.4"
"25","-505","-505","-505","-563.7","-563.7","-563.7","-503.7","-503.7","-503.7","-568.9","-568.9","-568.9"
"26","-510.1","-510.1","-510.1","-525.7","-525.7","-525.7","-585.7","-585.7","-585.7","-530.7","-530.7","-530.7"
"27","-556.8","-556.8","-556.8","-504.3","-504.3","-504.3","-512.7","-512.7","-512.7","-414.8","-414.8","-414.8"
"28","-570.2","-570.2","-570.2","-468.2","-468.2","-468.2","-519.9","-519.9","-519.9","-506.1","-506.1","-506.1"
"29","-550.8","-550.8","-550.8","-573","-573","-573","-533.2","-533.2","-533.2","-530.2","-530.2","-530.2"
"30","-528.9","-528.9","-528.9","-518.7","-518.7","-518.7","-573.7","-573.7","-573.7","-579.4","-579.4","-579.4"
"31","-479.1","-479.1","-479.1","-510.4","-510.4","-510.4","-495.7","-495.7","-495.7","-624.8","-624.8","-624.8"
"32","-541.4","-541.4","-541.4","-492.4","-492.4","-492.4","-537.7","-537.7","-537.7","-624","-624","-624"
"33","-562.1","-562.1","-562.1","-520.9","-520.9","-520.9","-486.8","-486.8","-486.8","-500.1","-500.1","-500.1"
