"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MAX"
"113","-705","-705","-705","-396.6","-396.6","-396.6","-519.9","-519.9","-519.9","-537.9","-537.9","-537.9","-421.2","-421.2","-421.2","-707.7","-707.7","-707.7"
"114","-787.2","-787.2","-787.2","-438.5","-438.5","-438.5","-526.5","-526.5","-526.5","-501.1","-501.1","-501.1","-368.4","-368.4","-368.4","-600.2","-600.2","-600.2"
"115","-752.4","-752.4","-752.4","-379.4","-379.4","-379.4","-562.1","-562.1","-562.1","-591.8","-591.8","-591.8","-385","-385","-385","-673.1","-673.1","-673.1"
"116","-778.2","-778.2","-778.2","-439.3","-439.3","-439.3","-534.1","-534.1","-534.1","-515.7","-515.7","-515.7","-378","-378","-378","-637.2","-637.2","-637.2"
"117","-560.9","-560.9","-560.9","-377.9","-377.9","-377.9","-513.5","-513.5","-513.5","-483.1","-483.1","-483.1","-459.5","-459.5","-459.5","-761.4","-761.4","-761.4"
"118","-650.6","-650.6","-650.6","-410.6","-410.6","-410.6","-474","-474","-474","-483.6","-483.6","-483.6","-438.4","-438.4","-438.4","-664.3","-664.3","-664.3"
"119","-704.1","-704.1","-704.1","-416.8","-416.8","-416.8","-522.4","-522.4","-522.4","-553.4","-553.4","-553.4","-448.7","-448.7","-448.7","-673.5","-673.5","-673.5"
"120","-667.9","-667.9","-667.9","-372.8","-372.8","-372.8","-527.1","-527.1","-527.1","-485.7","-485.7","-485.7","-424.3","-424.3","-424.3","-676.8","-676.8","-676.8"
"121","-678.8","-678.8","-678.8","-394.9","-394.9","-394.9","-481","-481","-481","-541.1","-541.1","-541.1","-321.7","-321.7","-321.7","-715","-715","-715"
"122","-658.6","-658.6","-658.6","-408.2","-408.2","-408.2","-522.7","-522.7","-522.7","-523.4","-523.4","-523.4","-376.7","-376.7","-376.7","-668.2","-668.2","-668.2"
"123","-667.8","-667.8","-667.8","-450.9","-450.9","-450.9","-490.6","-490.6","-490.6","-483.2","-483.2","-483.2","-447.6","-447.6","-447.6","-721","-721","-721"
"124","-583.5","-583.5","-583.5","-455.5","-455.5","-455.5","-508.9","-508.9","-508.9","-526.4","-526.4","-526.4","-407.2","-407.2","-407.2","-712.4","-712.4","-712.4"
"125","-678.9","-678.9","-678.9","-357.8","-357.8","-357.8","-521.8","-521.8","-521.8","-511.4","-511.4","-511.4","-396.1","-396.1","-396.1","-713.5","-713.5","-713.5"
"126","-755.3","-755.3","-755.3","-443.6","-443.6","-443.6","-514.8","-514.8","-514.8","-470.6","-470.6","-470.6","-344.4","-344.4","-344.4","-838.6","-838.6","-838.6"
"127","-698.6","-698.6","-698.6","-374.2","-374.2","-374.2","-511.7","-511.7","-511.7","-529.6","-529.6","-529.6","-442.9","-442.9","-442.9","-662.6","-662.6","-662.6"
"128","-706.8","-706.8","-706.8","-386.5","-386.5","-386.5","-502","-502","-502","-526.3","-526.3","-526.3","-357.4","-357.4","-357.4","-697.8","-697.8","-697.8"
"129","-678.7","-678.7","-678.7","-348.4","-348.4","-348.4","-577.1","-577.1","-577.1","-516.8","-516.8","-516.8","-305.1","-305.1","-305.1","-668.6","-668.6","-668.6"
"130","-637.5","-637.5","-637.5","-435.9","-435.9","-435.9","-482.5","-482.5","-482.5","-570.6","-570.6","-570.6","-436.2","-436.2","-436.2","-712.4","-712.4","-712.4"
"131","-823.1","-823.1","-823.1","-381.8","-381.8","-381.8","-497.1","-497.1","-497.1","-497.5","-497.5","-497.5","-411.7","-411.7","-411.7","-726.4","-726.4","-726.4"
"132","-823.2","-823.2","-823.2","-401.9","-401.9","-401.9","-610.1","-610.1","-610.1","-583.8","-583.8","-583.8","-345.1","-345.1","-345.1","-714.6","-714.6","-714.6"
"133","-595.5","-595.5","-595.5","-464.6","-464.6","-464.6","-462.7","-462.7","-462.7","-489.8","-489.8","-489.8","-406.3","-406.3","-406.3","-649.2","-649.2","-649.2"
"134","-631.8","-631.8","-631.8","-401.5","-401.5","-401.5","-511.2","-511.2","-511.2","-519.8","-519.8","-519.8","-387.7","-387.7","-387.7","-789.6","-789.6","-789.6"
"135","-726.8","-726.8","-726.8","-420.5","-420.5","-420.5","-502.3","-502.3","-502.3","-451.4","-451.4","-451.4","-432.4","-432.4","-432.4","-745.3","-745.3","-745.3"
"136","-733.5","-733.5","-733.5","-368.8","-368.8","-368.8","-523.5","-523.5","-523.5","-458.2","-458.2","-458.2","-402","-402","-402","-752","-752","-752"
"137","-736.2","-736.2","-736.2","-458.2","-458.2","-458.2","-528.1","-528.1","-528.1","-544.2","-544.2","-544.2","-369.8","-369.8","-369.8","-678.8","-678.8","-678.8"
"138","-710.5","-710.5","-710.5","-377.5","-377.5","-377.5","-502.6","-502.6","-502.6","-472.7","-472.7","-472.7","-364.2","-364.2","-364.2","-684","-684","-684"
"139","-710.4","-710.4","-710.4","-404.2","-404.2","-404.2","-541.2","-541.2","-541.2","-526","-526","-526","-359.9","-359.9","-359.9","-763.9","-763.9","-763.9"
"140","-621.9","-621.9","-621.9","-412.3","-412.3","-412.3","-512.2","-512.2","-512.2","-523.5","-523.5","-523.5","-407.6","-407.6","-407.6","-735.2","-735.2","-735.2"
"141","-679.3","-679.3","-679.3","-437.6","-437.6","-437.6","-500.3","-500.3","-500.3","-533.2","-533.2","-533.2","-351.2","-351.2","-351.2","-692","-692","-692"
"142","-749.3","-749.3","-749.3","-398.7","-398.7","-398.7","-568.3","-568.3","-568.3","-538.3","-538.3","-538.3","-389.5","-389.5","-389.5","-745.6","-745.6","-745.6"
"143","-699.8","-699.8","-699.8","-364.4","-364.4","-364.4","-556.7","-556.7","-556.7","-497.8","-497.8","-497.8","-387.5","-387.5","-387.5","-728","-728","-728"
"144","-694.9","-694.9","-694.9","-390.9","-390.9","-390.9","-545.4","-545.4","-545.4","-444.1","-444.1","-444.1","-335.1","-335.1","-335.1","-629.2","-629.2","-629.2"
"145","-733.2","-733.2","-733.2","-405.7","-405.7","-405.7","-511.2","-511.2","-511.2","-578.7","-578.7","-578.7","-391.6","-391.6","-391.6","-662.5","-662.5","-662.5"
"146","-737.9","-737.9","-737.9","-341.4","-341.4","-341.4","-541.6","-541.6","-541.6","-514.6","-514.6","-514.6","-400.6","-400.6","-400.6","-614.7","-614.7","-614.7"
"147","-632.8","-632.8","-632.8","-386.9","-386.9","-386.9","-537","-537","-537","-508.4","-508.4","-508.4","-406.4","-406.4","-406.4","-658.9","-658.9","-658.9"
"148","-673.2","-673.2","-673.2","-388.3","-388.3","-388.3","-570.4","-570.4","-570.4","-514.4","-514.4","-514.4","-387.6","-387.6","-387.6","-706.6","-706.6","-706.6"
"149","-835.7","-835.7","-835.7","-408.7","-408.7","-408.7","-502.5","-502.5","-502.5","-536.8","-536.8","-536.8","-352","-352","-352","-683.6","-683.6","-683.6"
"150","-686.5","-686.5","-686.5","-388.3","-388.3","-388.3","-522.1","-522.1","-522.1","-474","-474","-474","-419.8","-419.8","-419.8","-698.5","-698.5","-698.5"
"151","-717.1","-717.1","-717.1","-370.4","-370.4","-370.4","-489.3","-489.3","-489.3","-510.7","-510.7","-510.7","-339.8","-339.8","-339.8","-721.4","-721.4","-721.4"
"152","-733.9","-733.9","-733.9","-405.5","-405.5","-405.5","-531.1","-531.1","-531.1","-553.6","-553.6","-553.6","-347.7","-347.7","-347.7","-763.1","-763.1","-763.1"
"153","-721.1","-721.1","-721.1","-420.4","-420.4","-420.4","-534.5","-534.5","-534.5","-546.1","-546.1","-546.1","-386.5","-386.5","-386.5","-664.3","-664.3","-664.3"
"154","-692.1","-692.1","-692.1","-436.3","-436.3","-436.3","-508.5","-508.5","-508.5","-602.4","-602.4","-602.4","-367","-367","-367","-677.6","-677.6","-677.6"
"155","-675.5","-675.5","-675.5","-388.8","-388.8","-388.8","-529","-529","-529","-547.3","-547.3","-547.3","-397.5","-397.5","-397.5","-773.3","-773.3","-773.3"
"156","-669.7","-669.7","-669.7","-383","-383","-383","-530.4","-530.4","-530.4","-571.5","-571.5","-571.5","-393.9","-393.9","-393.9","-808.1","-808.1","-808.1"
"157","-651","-651","-651","-376","-376","-376","-588.7","-588.7","-588.7","-502.9","-502.9","-502.9","-360.8","-360.8","-360.8","-728.2","-728.2","-728.2"
"158","-726","-726","-726","-361.9","-361.9","-361.9","-468.2","-468.2","-468.2","-504.7","-504.7","-504.7","-381.1","-381.1","-381.1","-793.5","-793.5","-793.5"
"159","-560.5","-560.5","-560.5","-440.8","-440.8","-440.8","-504.9","-504.9","-504.9","-545.5","-545.5","-545.5","-397.9","-397.9","-397.9","-751.5","-751.5","-751.5"
"160","-707.5","-707.5","-707.5","-422.8","-422.8","-422.8","-586.7","-586.7","-586.7","-513.8","-513.8","-513.8","-322.4","-322.4","-322.4","-719.6","-719.6","-719.6"
"161","-700","-700","-700","-424.2","-424.2","-424.2","-549.8","-549.8","-549.8","-521.3","-521.3","-521.3","-377.5","-377.5","-377.5","-641.4","-641.4","-641.4"
"162","-657.6","-657.6","-657.6","-381.9","-381.9","-381.9","-542","-542","-542","-461.5","-461.5","-461.5","-404.4","-404.4","-404.4","-736.6","-736.6","-736.6"
"163","-675.4","-675.4","-675.4","-373.8","-373.8","-373.8","-498.7","-498.7","-498.7","-492.4","-492.4","-492.4","-451.4","-451.4","-451.4","-748.8","-748.8","-748.8"
"164","-805.6","-805.6","-805.6","-414.1","-414.1","-414.1","-522.5","-522.5","-522.5","-487.3","-487.3","-487.3","-363.7","-363.7","-363.7","-807.8","-807.8","-807.8"
"165","-630.3","-630.3","-630.3","-349.9","-349.9","-349.9","-450.7","-450.7","-450.7","-520.2","-520.2","-520.2","-389.3","-389.3","-389.3","-699.9","-699.9","-699.9"
"166","-699.3","-699.3","-699.3","-376.4","-376.4","-376.4","-527.4","-527.4","-527.4","-526.6","-526.6","-526.6","-344.3","-344.3","-344.3","-705.8","-705.8","-705.8"
"167","-734.8","-734.8","-734.8","-398.5","-398.5","-398.5","-514.6","-514.6","-514.6","-604.2","-604.2","-604.2","-319.6","-319.6","-319.6","-621.7","-621.7","-621.7"
"168","-613.4","-613.4","-613.4","-340.9","-340.9","-340.9","-499.5","-499.5","-499.5","-519.3","-519.3","-519.3","-346.3","-346.3","-346.3","-567.8","-567.8","-567.8"
"169","-665.5","-665.5","-665.5","-407.8","-407.8","-407.8","-521.8","-521.8","-521.8","-546.7","-546.7","-546.7","-386.7","-386.7","-386.7","-690.9","-690.9","-690.9"
"170","-702.9","-702.9","-702.9","-396.4","-396.4","-396.4","-464.5","-464.5","-464.5","-543.7","-543.7","-543.7","-378.1","-378.1","-378.1","-721.7","-721.7","-721.7"
"171","-619.2","-619.2","-619.2","-476.2","-476.2","-476.2","-550","-550","-550","-495.8","-495.8","-495.8","-382.2","-382.2","-382.2","-647.6","-647.6","-647.6"
"172","-712.2","-712.2","-712.2","-429.2","-429.2","-429.2","-513","-513","-513","-518.3","-518.3","-518.3","-370.1","-370.1","-370.1","-790.8","-790.8","-790.8"
"173","-678.4","-678.4","-678.4","-398.2","-398.2","-398.2","-499.6","-499.6","-499.6","-548.8","-548.8","-548.8","-364.5","-364.5","-364.5","-707.9","-707.9","-707.9"
"174","-734.4","-734.4","-734.4","-372","-372","-372","-525.1","-525.1","-525.1","-515.7","-515.7","-515.7","-419.4","-419.4","-419.4","-716.1","-716.1","-716.1"
"175","-698.2","-698.2","-698.2","-398.6","-398.6","-398.6","-486.9","-486.9","-486.9","-468","-468","-468","-370.9","-370.9","-370.9","-694.8","-694.8","-694.8"
"176","-721.6","-721.6","-721.6","-416.5","-416.5","-416.5","-514.2","-514.2","-514.2","-486.1","-486.1","-486.1","-450","-450","-450","-791","-791","-791"
"177","-603.4","-603.4","-603.4","-351.9","-351.9","-351.9","-489.9","-489.9","-489.9","-526.8","-526.8","-526.8","-375.8","-375.8","-375.8","-695.4","-695.4","-695.4"
"178","-631.5","-631.5","-631.5","-358.9","-358.9","-358.9","-515.3","-515.3","-515.3","-567.9","-567.9","-567.9","-328.4","-328.4","-328.4","-659","-659","-659"
"179","-765.6","-765.6","-765.6","-393.1","-393.1","-393.1","-545.6","-545.6","-545.6","-554.2","-554.2","-554.2","-409.2","-409.2","-409.2","-622.9","-622.9","-622.9"
"180","-585","-585","-585","-438.7","-438.7","-438.7","-486.3","-486.3","-486.3","-544.5","-544.5","-544.5","-382.2","-382.2","-382.2","-725.4","-725.4","-725.4"
"181","-768","-768","-768","-362.7","-362.7","-362.7","-521.9","-521.9","-521.9","-536.1","-536.1","-536.1","-412.5","-412.5","-412.5","-665.7","-665.7","-665.7"
"182","-673.5","-673.5","-673.5","-408.5","-408.5","-408.5","-497.4","-497.4","-497.4","-562","-562","-562","-374","-374","-374","-649.8","-649.8","-649.8"
"183","-761.9","-761.9","-761.9","-382.2","-382.2","-382.2","-500.5","-500.5","-500.5","-508","-508","-508","-348.1","-348.1","-348.1","-570.9","-570.9","-570.9"
"184","-742.6","-742.6","-742.6","-334.2","-334.2","-334.2","-548.4","-548.4","-548.4","-512","-512","-512","-375.8","-375.8","-375.8","-699.4","-699.4","-699.4"
"185","-691","-691","-691","-428","-428","-428","-525.5","-525.5","-525.5","-518","-518","-518","-337.1","-337.1","-337.1","-648.3","-648.3","-648.3"
"186","-723.6","-723.6","-723.6","-424","-424","-424","-525.5","-525.5","-525.5","-518.3","-518.3","-518.3","-400.7","-400.7","-400.7","-760.7","-760.7","-760.7"
"187","-687.1","-687.1","-687.1","-399.7","-399.7","-399.7","-604.7","-604.7","-604.7","-417.6","-417.6","-417.6","-377.6","-377.6","-377.6","-722.8","-722.8","-722.8"
"188","-671.6","-671.6","-671.6","-352.3","-352.3","-352.3","-534.1","-534.1","-534.1","-503.7","-503.7","-503.7","-355.3","-355.3","-355.3","-657.5","-657.5","-657.5"
"189","-733.7","-733.7","-733.7","-438","-438","-438","-511.8","-511.8","-511.8","-488","-488","-488","-409.1","-409.1","-409.1","-720.8","-720.8","-720.8"
"190","-682.7","-682.7","-682.7","-406.1","-406.1","-406.1","-501","-501","-501","-491.6","-491.6","-491.6","-372.6","-372.6","-372.6","-786.6","-786.6","-786.6"
"191","-695","-695","-695","-433","-433","-433","-463","-463","-463","-492.7","-492.7","-492.7","-408","-408","-408","-795.8","-795.8","-795.8"
"192","-720.8","-720.8","-720.8","-430.4","-430.4","-430.4","-572.7","-572.7","-572.7","-569.9","-569.9","-569.9","-363.5","-363.5","-363.5","-690.9","-690.9","-690.9"
"193","-706.1","-706.1","-706.1","-443.8","-443.8","-443.8","-539.1","-539.1","-539.1","-496","-496","-496","-415.4","-415.4","-415.4","-684","-684","-684"
"194","-701.3","-701.3","-701.3","-421.7","-421.7","-421.7","-491","-491","-491","-496.6","-496.6","-496.6","-400","-400","-400","-636.1","-636.1","-636.1"
"195","-696.9","-696.9","-696.9","-324.4","-324.4","-324.4","-466.1","-466.1","-466.1","-554.6","-554.6","-554.6","-427","-427","-427","-696.2","-696.2","-696.2"
"196","-715.8","-715.8","-715.8","-394.4","-394.4","-394.4","-547.6","-547.6","-547.6","-532.9","-532.9","-532.9","-344.2","-344.2","-344.2","-750.8","-750.8","-750.8"
"197","-687.6","-687.6","-687.6","-439.1","-439.1","-439.1","-505.7","-505.7","-505.7","-503.9","-503.9","-503.9","-293.8","-293.8","-293.8","-729.2","-729.2","-729.2"
"198","-657.1","-657.1","-657.1","-382","-382","-382","-526.5","-526.5","-526.5","-427.9","-427.9","-427.9","-354.7","-354.7","-354.7","-752.3","-752.3","-752.3"
"199","-675.5","-675.5","-675.5","-390.8","-390.8","-390.8","-516.3","-516.3","-516.3","-480.5","-480.5","-480.5","-338.9","-338.9","-338.9","-602.5","-602.5","-602.5"
"200","-706.3","-706.3","-706.3","-398.4","-398.4","-398.4","-513.9","-513.9","-513.9","-523.5","-523.5","-523.5","-364.1","-364.1","-364.1","-675.5","-675.5","-675.5"
"201","-600.4","-600.4","-600.4","-387.6","-387.6","-387.6","-543.4","-543.4","-543.4","-544.2","-544.2","-544.2","-337.2","-337.2","-337.2","-673","-673","-673"
"202","-676.1","-676.1","-676.1","-392.2","-392.2","-392.2","-436.4","-436.4","-436.4","-466.8","-466.8","-466.8","-321.8","-321.8","-321.8","-687","-687","-687"
"203","-648.3","-648.3","-648.3","-430.6","-430.6","-430.6","-450.6","-450.6","-450.6","-447.5","-447.5","-447.5","-375.2","-375.2","-375.2","-747.4","-747.4","-747.4"
"204","-706.1","-706.1","-706.1","-432.5","-432.5","-432.5","-511","-511","-511","-480.1","-480.1","-480.1","-314","-314","-314","-677.6","-677.6","-677.6"
"205","-701.1","-701.1","-701.1","-380","-380","-380","-480.4","-480.4","-480.4","-524.9","-524.9","-524.9","-361.4","-361.4","-361.4","-751.3","-751.3","-751.3"
"206","-650.8","-650.8","-650.8","-390.1","-390.1","-390.1","-598.9","-598.9","-598.9","-522.3","-522.3","-522.3","-344.2","-344.2","-344.2","-673.6","-673.6","-673.6"
"207","-714.9","-714.9","-714.9","-377.9","-377.9","-377.9","-569.5","-569.5","-569.5","-512.6","-512.6","-512.6","-375.4","-375.4","-375.4","-707.9","-707.9","-707.9"
"208","-592.7","-592.7","-592.7","-370.4","-370.4","-370.4","-509.6","-509.6","-509.6","-448.6","-448.6","-448.6","-353.9","-353.9","-353.9","-723.8","-723.8","-723.8"
"209","-777.3","-777.3","-777.3","-390.6","-390.6","-390.6","-571.7","-571.7","-571.7","-503.8","-503.8","-503.8","-419","-419","-419","-732","-732","-732"
"210","-790.4","-790.4","-790.4","-383.7","-383.7","-383.7","-496.4","-496.4","-496.4","-455.3","-455.3","-455.3","-403.4","-403.4","-403.4","-759.5","-759.5","-759.5"
"211","-698.5","-698.5","-698.5","-398.4","-398.4","-398.4","-537","-537","-537","-566.7","-566.7","-566.7","-381.2","-381.2","-381.2","-733.2","-733.2","-733.2"
"212","-652.1","-652.1","-652.1","-341.7","-341.7","-341.7","-496.4","-496.4","-496.4","-574.3","-574.3","-574.3","-330.5","-330.5","-330.5","-702.5","-702.5","-702.5"
"213","-608.9","-608.9","-608.9","-347.7","-347.7","-347.7","-556.5","-556.5","-556.5","-431.3","-431.3","-431.3","-313.2","-313.2","-313.2","-681.1","-681.1","-681.1"
"214","-733.3","-733.3","-733.3","-339.7","-339.7","-339.7","-534","-534","-534","-528.2","-528.2","-528.2","-361.7","-361.7","-361.7","-700.6","-700.6","-700.6"
"215","-652.2","-652.2","-652.2","-369.9","-369.9","-369.9","-485.7","-485.7","-485.7","-547.6","-547.6","-547.6","-410.4","-410.4","-410.4","-687.6","-687.6","-687.6"
"216","-702.9","-702.9","-702.9","-382.1","-382.1","-382.1","-540.7","-540.7","-540.7","-505","-505","-505","-321.1","-321.1","-321.1","-711.7","-711.7","-711.7"
"217","-745.9","-745.9","-745.9","-389.4","-389.4","-389.4","-458.9","-458.9","-458.9","-567.7","-567.7","-567.7","-387.3","-387.3","-387.3","-718.2","-718.2","-718.2"
"218","-713.9","-713.9","-713.9","-338.8","-338.8","-338.8","-467.8","-467.8","-467.8","-481.8","-481.8","-481.8","-355","-355","-355","-682.2","-682.2","-682.2"
"219","-715.2","-715.2","-715.2","-411.1","-411.1","-411.1","-484.7","-484.7","-484.7","-523.7","-523.7","-523.7","-300.5","-300.5","-300.5","-632.4","-632.4","-632.4"
"220","-668.3","-668.3","-668.3","-361.8","-361.8","-361.8","-513.2","-513.2","-513.2","-509.6","-509.6","-509.6","-338.2","-338.2","-338.2","-668.3","-668.3","-668.3"
"221","-687.9","-687.9","-687.9","-481.2","-481.2","-481.2","-472.6","-472.6","-472.6","-440.9","-440.9","-440.9","-307.1","-307.1","-307.1","-724.6","-724.6","-724.6"
"222","-750.4","-750.4","-750.4","-357.2","-357.2","-357.2","-511.5","-511.5","-511.5","-474.4","-474.4","-474.4","-337.3","-337.3","-337.3","-621.7","-621.7","-621.7"
"223","-631","-631","-631","-401","-401","-401","-538","-538","-538","-499","-499","-499","-320.7","-320.7","-320.7","-668.4","-668.4","-668.4"
"224","-678.1","-678.1","-678.1","-354.7","-354.7","-354.7","-504.3","-504.3","-504.3","-551.3","-551.3","-551.3","-358.5","-358.5","-358.5","-650.4","-650.4","-650.4"
"225","-734.5","-734.5","-734.5","-412.3","-412.3","-412.3","-483.5","-483.5","-483.5","-549.4","-549.4","-549.4","-322.2","-322.2","-322.2","-751.3","-751.3","-751.3"
"226","-632.5","-632.5","-632.5","-368.6","-368.6","-368.6","-491.4","-491.4","-491.4","-445.8","-445.8","-445.8","-367.5","-367.5","-367.5","-684.2","-684.2","-684.2"
"227","-681.2","-681.2","-681.2","-376.9","-376.9","-376.9","-452.6","-452.6","-452.6","-502.6","-502.6","-502.6","-388.2","-388.2","-388.2","-753.8","-753.8","-753.8"
"228","-779.2","-779.2","-779.2","-361.9","-361.9","-361.9","-511.1","-511.1","-511.1","-505","-505","-505","-381.9","-381.9","-381.9","-639.8","-639.8","-639.8"
"229","-656.9","-656.9","-656.9","-384.4","-384.4","-384.4","-460.7","-460.7","-460.7","-562","-562","-562","-335.1","-335.1","-335.1","-709.8","-709.8","-709.8"
"230","-751.9","-751.9","-751.9","-353.3","-353.3","-353.3","-551.4","-551.4","-551.4","-574.9","-574.9","-574.9","-387.9","-387.9","-387.9","-676.6","-676.6","-676.6"
"231","-716.9","-716.9","-716.9","-342","-342","-342","-545.9","-545.9","-545.9","-567.2","-567.2","-567.2","-349.4","-349.4","-349.4","-612.6","-612.6","-612.6"
"232","-657","-657","-657","-361.5","-361.5","-361.5","-490.1","-490.1","-490.1","-511.2","-511.2","-511.2","-347.6","-347.6","-347.6","-705.7","-705.7","-705.7"
"233","-721.6","-721.6","-721.6","-374.2","-374.2","-374.2","-501.4","-501.4","-501.4","-502.9","-502.9","-502.9","-363.7","-363.7","-363.7","-690.1","-690.1","-690.1"
"234","-608.3","-608.3","-608.3","-373.9","-373.9","-373.9","-532.9","-532.9","-532.9","-540.3","-540.3","-540.3","-375.3","-375.3","-375.3","-774.4","-774.4","-774.4"
"235","-719.7","-719.7","-719.7","-314.2","-314.2","-314.2","-474.4","-474.4","-474.4","-509.7","-509.7","-509.7","-361.6","-361.6","-361.6","-745.9","-745.9","-745.9"
"236","-636.7","-636.7","-636.7","-395.8","-395.8","-395.8","-535","-535","-535","-494.3","-494.3","-494.3","-348.8","-348.8","-348.8","-674.7","-674.7","-674.7"
"237","-716","-716","-716","-379.7","-379.7","-379.7","-429.9","-429.9","-429.9","-471.1","-471.1","-471.1","-334.7","-334.7","-334.7","-691.8","-691.8","-691.8"
"238","-673.9","-673.9","-673.9","-329.9","-329.9","-329.9","-464.1","-464.1","-464.1","-447.7","-447.7","-447.7","-300.3","-300.3","-300.3","-645.3","-645.3","-645.3"
"239","-721.3","-721.3","-721.3","-368.4","-368.4","-368.4","-495.3","-495.3","-495.3","-563","-563","-563","-350.4","-350.4","-350.4","-693.2","-693.2","-693.2"
"240","-683.9","-683.9","-683.9","-344","-344","-344","-538.3","-538.3","-538.3","-507","-507","-507","-306.8","-306.8","-306.8","-732","-732","-732"
"241","-718.4","-718.4","-718.4","-463.3","-463.3","-463.3","-499.5","-499.5","-499.5","-551.6","-551.6","-551.6","-387.6","-387.6","-387.6","-605.1","-605.1","-605.1"
"242","-713.5","-713.5","-713.5","-421.7","-421.7","-421.7","-523.5","-523.5","-523.5","-527.3","-527.3","-527.3","-365.9","-365.9","-365.9","-626.6","-626.6","-626.6"
"243","-713.9","-713.9","-713.9","-362.2","-362.2","-362.2","-514.9","-514.9","-514.9","-586.7","-586.7","-586.7","-345.4","-345.4","-345.4","-758.9","-758.9","-758.9"
"244","-719.9","-719.9","-719.9","-372.8","-372.8","-372.8","-520.8","-520.8","-520.8","-514.5","-514.5","-514.5","-315.5","-315.5","-315.5","-661.2","-661.2","-661.2"
"245","-729.8","-729.8","-729.8","-411.4","-411.4","-411.4","-562.7","-562.7","-562.7","-513.1","-513.1","-513.1","-343.7","-343.7","-343.7","-701.8","-701.8","-701.8"
"246","-795.1","-795.1","-795.1","-403.7","-403.7","-403.7","-535.1","-535.1","-535.1","-534.5","-534.5","-534.5","-334","-334","-334","-699","-699","-699"
"247","-711.9","-711.9","-711.9","-373.2","-373.2","-373.2","-506.9","-506.9","-506.9","-495","-495","-495","-348.3","-348.3","-348.3","-636.8","-636.8","-636.8"
"248","-675.5","-675.5","-675.5","-307.2","-307.2","-307.2","-524.5","-524.5","-524.5","-505.7","-505.7","-505.7","-335.4","-335.4","-335.4","-711.2","-711.2","-711.2"
"249","-698.2","-698.2","-698.2","-384","-384","-384","-493.9","-493.9","-493.9","-571.2","-571.2","-571.2","-329.6","-329.6","-329.6","-657.8","-657.8","-657.8"
"250","-708.8","-708.8","-708.8","-373.6","-373.6","-373.6","-526.9","-526.9","-526.9","-475.6","-475.6","-475.6","-369.9","-369.9","-369.9","-683.8","-683.8","-683.8"
"251","-599.2","-599.2","-599.2","-376.4","-376.4","-376.4","-473.6","-473.6","-473.6","-549.2","-549.2","-549.2","-338.4","-338.4","-338.4","-705.1","-705.1","-705.1"
"252","-681.9","-681.9","-681.9","-372.1","-372.1","-372.1","-423.9","-423.9","-423.9","-460.8","-460.8","-460.8","-342.8","-342.8","-342.8","-677.6","-677.6","-677.6"
"253","-707.5","-707.5","-707.5","-338.9","-338.9","-338.9","-575","-575","-575","-507.6","-507.6","-507.6","-317","-317","-317","-609.8","-609.8","-609.8"
"254","-640.3","-640.3","-640.3","-399.8","-399.8","-399.8","-503.3","-503.3","-503.3","-508.2","-508.2","-508.2","-312.4","-312.4","-312.4","-673.4","-673.4","-673.4"
"255","-670.3","-670.3","-670.3","-381.8","-381.8","-381.8","-575.2","-575.2","-575.2","-490.6","-490.6","-490.6","-338.9","-338.9","-338.9","-679","-679","-679"
"256","-625.7","-625.7","-625.7","-363.9","-363.9","-363.9","-460.5","-460.5","-460.5","-516.9","-516.9","-516.9","-345.4","-345.4","-345.4","-764.3","-764.3","-764.3"
"257","-687.2","-687.2","-687.2","-426.6","-426.6","-426.6","-544.7","-544.7","-544.7","-550.5","-550.5","-550.5","-329.4","-329.4","-329.4","-638.9","-638.9","-638.9"
