"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MAX"
"26","-681.1","-681.1","-681.1","-381.5","-381.5","-381.5","-584.1","-584.1","-584.1","-549","-549","-549","-460.2","-460.2","-460.2","-741.1","-741.1","-741.1"
"27","-584.6","-584.6","-584.6","-412.8","-412.8","-412.8","-520.3","-520.3","-520.3","-490.9","-490.9","-490.9","-449.1","-449.1","-449.1","-732.1","-732.1","-732.1"
"28","-702.9","-702.9","-702.9","-425.3","-425.3","-425.3","-539.3","-539.3","-539.3","-477.4","-477.4","-477.4","-389.5","-389.5","-389.5","-629.9","-629.9","-629.9"
"29","-742.7","-742.7","-742.7","-386.9","-386.9","-386.9","-565.4","-565.4","-565.4","-549.2","-549.2","-549.2","-377.3","-377.3","-377.3","-620.4","-620.4","-620.4"
"30","-625.1","-625.1","-625.1","-407.8","-407.8","-407.8","-564.5","-564.5","-564.5","-546.3","-546.3","-546.3","-439.4","-439.4","-439.4","-585.1","-585.1","-585.1"
"31","-691.5","-691.5","-691.5","-421","-421","-421","-465.1","-465.1","-465.1","-550","-550","-550","-378.4","-378.4","-378.4","-772.6","-772.6","-772.6"
"32","-705.1","-705.1","-705.1","-367.2","-367.2","-367.2","-565.9","-565.9","-565.9","-495.3","-495.3","-495.3","-370","-370","-370","-775.4","-775.4","-775.4"
"33","-780.5","-780.5","-780.5","-460.1","-460.1","-460.1","-511.1","-511.1","-511.1","-517.4","-517.4","-517.4","-334.5","-334.5","-334.5","-716","-716","-716"
"34","-781.1","-781.1","-781.1","-414.7","-414.7","-414.7","-571.9","-571.9","-571.9","-467.4","-467.4","-467.4","-425.5","-425.5","-425.5","-701.5","-701.5","-701.5"
"35","-734.1","-734.1","-734.1","-381.7","-381.7","-381.7","-599.8","-599.8","-599.8","-527.2","-527.2","-527.2","-425.3","-425.3","-425.3","-801","-801","-801"
"36","-716.2","-716.2","-716.2","-413.4","-413.4","-413.4","-527.1","-527.1","-527.1","-517.3","-517.3","-517.3","-373.1","-373.1","-373.1","-748.8","-748.8","-748.8"
"37","-706.2","-706.2","-706.2","-413.8","-413.8","-413.8","-549.9","-549.9","-549.9","-561.8","-561.8","-561.8","-360.7","-360.7","-360.7","-689.1","-689.1","-689.1"
