"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_336figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_336figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_336figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"0","-666.2","-666.2","-666.2","-728.2","-728.2","-728.2","-655.7","-655.7","-655.7","-829.6","-829.6","-829.6"
"1","-780.7","-780.7","-780.7","-753.1","-753.1","-753.1","-745.1","-745.1","-745.1","-744.7","-744.7","-744.7"
"2","-726.8","-726.8","-726.8","-706.8","-706.8","-706.8","-710","-710","-710","-761.3","-761.3","-761.3"
"3","-717.4","-717.4","-717.4","-683.9","-683.9","-683.9","-788.2","-788.2","-788.2","-827.2","-827.2","-827.2"
"4","-797","-797","-797","-644.4","-644.4","-644.4","-726.4","-726.4","-726.4","-628","-628","-628"
"5","-681.1","-681.1","-681.1","-676.1","-676.1","-676.1","-715.1","-715.1","-715.1","-686.5","-686.5","-686.5"
"6","-695.5","-695.5","-695.5","-662.1","-662.1","-662.1","-728.6","-728.6","-728.6","-734.5","-734.5","-734.5"
"7","-815.5","-815.5","-815.5","-753.5","-753.5","-753.5","-765.4","-765.4","-765.4","-716.6","-716.6","-716.6"
"8","-706.7","-706.7","-706.7","-679.4","-679.4","-679.4","-818","-818","-818","-735.4","-735.4","-735.4"
"9","-643.8","-643.8","-643.8","-738.9","-738.9","-738.9","-723.5","-723.5","-723.5","-719.3","-719.3","-719.3"
"10","-628","-628","-628","-743.7","-743.7","-743.7","-770.5","-770.5","-770.5","-730.7","-730.7","-730.7"
"11","-661.2","-661.2","-661.2","-717.6","-717.6","-717.6","-723.7","-723.7","-723.7","-664.5","-664.5","-664.5"
"12","-695.6","-695.6","-695.6","-701.6","-701.6","-701.6","-657","-657","-657","-723.8","-723.8","-723.8"
"13","-651.8","-651.8","-651.8","-728","-728","-728","-644.1","-644.1","-644.1","-699.8","-699.8","-699.8"
"14","-774.9","-774.9","-774.9","-786.3","-786.3","-786.3","-727.8","-727.8","-727.8","-655.8","-655.8","-655.8"
"15","-612.3","-612.3","-612.3","-658.4","-658.4","-658.4","-612.1","-612.1","-612.1","-687.3","-687.3","-687.3"
"16","-796.6","-796.6","-796.6","-681.3","-681.3","-681.3","-678.2","-678.2","-678.2","-760.2","-760.2","-760.2"
"17","-722.8","-722.8","-722.8","-705.8","-705.8","-705.8","-701.3","-701.3","-701.3","-755.7","-755.7","-755.7"
"18","-720","-720","-720","-653.8","-653.8","-653.8","-683.7","-683.7","-683.7","-720.4","-720.4","-720.4"
"19","-787.8","-787.8","-787.8","-682.1","-682.1","-682.1","-742.3","-742.3","-742.3","-706.4","-706.4","-706.4"
"20","-649.9","-649.9","-649.9","-689.8","-689.8","-689.8","-691.8","-691.8","-691.8","-683","-683","-683"
"21","-735.2","-735.2","-735.2","-694.1","-694.1","-694.1","-780.3","-780.3","-780.3","-635.8","-635.8","-635.8"
"22","-789.4","-789.4","-789.4","-658.3","-658.3","-658.3","-734.3","-734.3","-734.3","-695.1","-695.1","-695.1"
"23","-725.7","-725.7","-725.7","-687.9","-687.9","-687.9","-721.2","-721.2","-721.2","-734.4","-734.4","-734.4"
"24","-679","-679","-679","-719.1","-719.1","-719.1","-687.5","-687.5","-687.5","-689.8","-689.8","-689.8"
"25","-692.7","-692.7","-692.7","-763.4","-763.4","-763.4","-699.7","-699.7","-699.7","-763.5","-763.5","-763.5"
"26","-703.2","-703.2","-703.2","-705.9","-705.9","-705.9","-691","-691","-691","-659.9","-659.9","-659.9"
"27","-745.3","-745.3","-745.3","-714.4","-714.4","-714.4","-675.3","-675.3","-675.3","-760.5","-760.5","-760.5"
"28","-710.1","-710.1","-710.1","-743.4","-743.4","-743.4","-755.5","-755.5","-755.5","-740.4","-740.4","-740.4"
"29","-666.2","-666.2","-666.2","-716.7","-716.7","-716.7","-710.1","-710.1","-710.1","-706.1","-706.1","-706.1"
"30","-664.2","-664.2","-664.2","-695.9","-695.9","-695.9","-766.6","-766.6","-766.6","-768","-768","-768"
"31","-690.7","-690.7","-690.7","-710.1","-710.1","-710.1","-695.1","-695.1","-695.1","-733.8","-733.8","-733.8"
"32","-726.6","-726.6","-726.6","-627.9","-627.9","-627.9","-719.1","-719.1","-719.1","-710.4","-710.4","-710.4"
"33","-695.7","-695.7","-695.7","-779.6","-779.6","-779.6","-657.9","-657.9","-657.9","-743.3","-743.3","-743.3"
"34","-674.5","-674.5","-674.5","-687.3","-687.3","-687.3","-758.4","-758.4","-758.4","-733","-733","-733"
"35","-706.3","-706.3","-706.3","-709.6","-709.6","-709.6","-683.6","-683.6","-683.6","-713.1","-713.1","-713.1"
"36","-731.6","-731.6","-731.6","-798.9","-798.9","-798.9","-705.8","-705.8","-705.8","-630.3","-630.3","-630.3"
"37","-697.1","-697.1","-697.1","-673","-673","-673","-712","-712","-712","-723.5","-723.5","-723.5"
"38","-729.4","-729.4","-729.4","-731.7","-731.7","-731.7","-608.1","-608.1","-608.1","-670.5","-670.5","-670.5"
"39","-698.3","-698.3","-698.3","-677.1","-677.1","-677.1","-654.4","-654.4","-654.4","-733.9","-733.9","-733.9"
"40","-744.4","-744.4","-744.4","-672.5","-672.5","-672.5","-752.6","-752.6","-752.6","-657.6","-657.6","-657.6"
"41","-641.9","-641.9","-641.9","-697.6","-697.6","-697.6","-663.9","-663.9","-663.9","-693.6","-693.6","-693.6"
"42","-669.9","-669.9","-669.9","-705.7","-705.7","-705.7","-635.4","-635.4","-635.4","-733.6","-733.6","-733.6"
"43","-699.6","-699.6","-699.6","-744.2","-744.2","-744.2","-758.8","-758.8","-758.8","-677.1","-677.1","-677.1"
"44","-836.3","-836.3","-836.3","-763.3","-763.3","-763.3","-733.3","-733.3","-733.3","-656.4","-656.4","-656.4"
"45","-744.8","-744.8","-744.8","-714.1","-714.1","-714.1","-726.6","-726.6","-726.6","-725.4","-725.4","-725.4"
"46","-737.7","-737.7","-737.7","-704.6","-704.6","-704.6","-772.6","-772.6","-772.6","-691.2","-691.2","-691.2"
"47","-610","-610","-610","-625.6","-625.6","-625.6","-599.9","-599.9","-599.9","-692.1","-692.1","-692.1"
"48","-804.6","-804.6","-804.6","-688.6","-688.6","-688.6","-674.5","-674.5","-674.5","-712.6","-712.6","-712.6"
"49","-789.6","-789.6","-789.6","-750.5","-750.5","-750.5","-662.3","-662.3","-662.3","-754.3","-754.3","-754.3"
"50","-733.7","-733.7","-733.7","-770.1","-770.1","-770.1","-655.8","-655.8","-655.8","-693.4","-693.4","-693.4"
"51","-736","-736","-736","-693.9","-693.9","-693.9","-682.2","-682.2","-682.2","-736.5","-736.5","-736.5"
"52","-657.7","-657.7","-657.7","-724.1","-724.1","-724.1","-704.5","-704.5","-704.5","-637.3","-637.3","-637.3"
"53","-735.5","-735.5","-735.5","-746.8","-746.8","-746.8","-679.9","-679.9","-679.9","-748","-748","-748"
"54","-715.8","-715.8","-715.8","-713.3","-713.3","-713.3","-724.6","-724.6","-724.6","-638.7","-638.7","-638.7"
"55","-838.5","-838.5","-838.5","-659.8","-659.8","-659.8","-732.3","-732.3","-732.3","-690.8","-690.8","-690.8"
"56","-729","-729","-729","-718","-718","-718","-735.2","-735.2","-735.2","-695.5","-695.5","-695.5"
"57","-699.7","-699.7","-699.7","-632.4","-632.4","-632.4","-671.9","-671.9","-671.9","-609.9","-609.9","-609.9"
"58","-736.1","-736.1","-736.1","-715.8","-715.8","-715.8","-640.9","-640.9","-640.9","-673.9","-673.9","-673.9"
"59","-709.2","-709.2","-709.2","-741.6","-741.6","-741.6","-757.5","-757.5","-757.5","-679.6","-679.6","-679.6"
"60","-612.3","-612.3","-612.3","-694.7","-694.7","-694.7","-678.1","-678.1","-678.1","-681.5","-681.5","-681.5"
"61","-748.3","-748.3","-748.3","-754.5","-754.5","-754.5","-656.3","-656.3","-656.3","-753.7","-753.7","-753.7"
"62","-666.7","-666.7","-666.7","-647.8","-647.8","-647.8","-684","-684","-684","-682.5","-682.5","-682.5"
"63","-690.7","-690.7","-690.7","-748","-748","-748","-604.4","-604.4","-604.4","-733.8","-733.8","-733.8"
"64","-676.5","-676.5","-676.5","-730.9","-730.9","-730.9","-658.8","-658.8","-658.8","-650.7","-650.7","-650.7"
"65","-714.5","-714.5","-714.5","-775.1","-775.1","-775.1","-746.7","-746.7","-746.7","-668.3","-668.3","-668.3"
"66","-725.7","-725.7","-725.7","-747.3","-747.3","-747.3","-703.7","-703.7","-703.7","-709.7","-709.7","-709.7"
"67","-695.9","-695.9","-695.9","-657.6","-657.6","-657.6","-720.5","-720.5","-720.5","-694.2","-694.2","-694.2"
