epoch,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX
24,18.10526316,18.10526316,18.10526316,67.78947368,67.78947368,67.78947368,42.73684211,42.73684211,42.73684211,25.36842105,25.36842105,25.36842105,57.94736842,57.94736842,57.94736842,28.05263158,28.05263158,28.05263158
25,25.89473684,25.89473684,25.89473684,41.63157895,41.63157895,41.63157895,37.84210526,37.84210526,37.84210526,9.105263158,9.105263158,9.105263158,52.52631579,52.52631579,52.52631579,29.89473684,29.89473684,29.89473684
26,12.31578947,12.31578947,12.31578947,20.21052632,20.21052632,20.21052632,18.26315789,18.26315789,18.26315789,44.68421053,44.68421053,44.68421053,78.52631579,78.52631579,78.52631579,43.21052632,43.21052632,43.21052632
27,10.26315789,10.26315789,10.26315789,58.42105263,58.42105263,58.42105263,33.63157895,33.63157895,33.63157895,10.15789474,10.15789474,10.15789474,55.36842105,55.36842105,55.36842105,28,28,28
28,62.05263158,62.05263158,62.05263158,62.89473684,62.89473684,62.89473684,54.42105263,54.42105263,54.42105263,31,31,31,76.78947368,76.78947368,76.78947368,49.68421053,49.68421053,49.68421053
29,36.57894737,36.57894737,36.57894737,36.78947368,36.78947368,36.78947368,47.15789474,47.15789474,47.15789474,50,50,50,121.0526316,121.0526316,121.0526316,25.26315789,25.26315789,25.26315789
30,19.31578947,19.31578947,19.31578947,43.94736842,43.94736842,43.94736842,50.47368421,50.47368421,50.47368421,28.68421053,28.68421053,28.68421053,94.05263158,94.05263158,94.05263158,19.47368421,19.47368421,19.47368421
31,21.84210526,21.84210526,21.84210526,48.78947368,48.78947368,48.78947368,21.68421053,21.68421053,21.68421053,27.10526316,27.10526316,27.10526316,90.31578947,90.31578947,90.31578947,40.26315789,40.26315789,40.26315789
32,11.94736842,11.94736842,11.94736842,53.21052632,53.21052632,53.21052632,10.63157895,10.63157895,10.63157895,51.36842105,51.36842105,51.36842105,92.89473684,92.89473684,92.89473684,19.89473684,19.89473684,19.89473684
33,9.736842105,9.736842105,9.736842105,70.73684211,70.73684211,70.73684211,53.52631579,53.52631579,53.52631579,60.31578947,60.31578947,60.31578947,69.78947368,69.78947368,69.78947368,61.15789474,61.15789474,61.15789474
34,23.10526316,23.10526316,23.10526316,33.84210526,33.84210526,33.84210526,45.21052632,45.21052632,45.21052632,52.94736842,52.94736842,52.94736842,110,110,110,60.78947368,60.78947368,60.78947368
35,49.84210526,49.84210526,49.84210526,33.89473684,33.89473684,33.89473684,61.89473684,61.89473684,61.89473684,29.42105263,29.42105263,29.42105263,106.9473684,106.9473684,106.9473684,55.73684211,55.73684211,55.73684211
36,16.26315789,16.26315789,16.26315789,53.10526316,53.10526316,53.10526316,16.47368421,16.47368421,16.47368421,51.15789474,51.15789474,51.15789474,114.3157895,114.3157895,114.3157895,44.57894737,44.57894737,44.57894737
37,28.89473684,28.89473684,28.89473684,51.78947368,51.78947368,51.78947368,30.36842105,30.36842105,30.36842105,38.42105263,38.42105263,38.42105263,125.8421053,125.8421053,125.8421053,55.26315789,55.26315789,55.26315789
38,16.94736842,16.94736842,16.94736842,26.10526316,26.10526316,26.10526316,55.26315789,55.26315789,55.26315789,39.63157895,39.63157895,39.63157895,67.21052632,67.21052632,67.21052632,61.52631579,61.52631579,61.52631579
39,25.68421053,25.68421053,25.68421053,29.94736842,29.94736842,29.94736842,66.73684211,66.73684211,66.73684211,62.94736842,62.94736842,62.94736842,94.84210526,94.84210526,94.84210526,46.05263158,46.05263158,46.05263158
40,32.36842105,32.36842105,32.36842105,31.89473684,31.89473684,31.89473684,55.68421053,55.68421053,55.68421053,37.78947368,37.78947368,37.78947368,120.1578947,120.1578947,120.1578947,20.84210526,20.84210526,20.84210526
41,23.05263158,23.05263158,23.05263158,62,62,62,30.26315789,30.26315789,30.26315789,40.47368421,40.47368421,40.47368421,99.84210526,99.84210526,99.84210526,31.21052632,31.21052632,31.21052632
42,45.36842105,45.36842105,45.36842105,73,73,73,56.47368421,56.47368421,56.47368421,57.57894737,57.57894737,57.57894737,80.10526316,80.10526316,80.10526316,52.52631579,52.52631579,52.52631579
43,28.42105263,28.42105263,28.42105263,69.10526316,69.10526316,69.10526316,40.21052632,40.21052632,40.21052632,58.68421053,58.68421053,58.68421053,103.6842105,103.6842105,103.6842105,41.05263158,41.05263158,41.05263158
44,57.15789474,57.15789474,57.15789474,52,52,52,49.47368421,49.47368421,49.47368421,57.89473684,57.89473684,57.89473684,133.7894737,133.7894737,133.7894737,64.57894737,64.57894737,64.57894737
45,20.21052632,20.21052632,20.21052632,61.84210526,61.84210526,61.84210526,40.31578947,40.31578947,40.31578947,28.05263158,28.05263158,28.05263158,143.4210526,143.4210526,143.4210526,78.47368421,78.47368421,78.47368421
46,51.73684211,51.73684211,51.73684211,43.52631579,43.52631579,43.52631579,51,51,51,60.57894737,60.57894737,60.57894737,97.73684211,97.73684211,97.73684211,42.73684211,42.73684211,42.73684211
47,43.05263158,43.05263158,43.05263158,68.57894737,68.57894737,68.57894737,44.52631579,44.52631579,44.52631579,26.89473684,26.89473684,26.89473684,105.4210526,105.4210526,105.4210526,41.47368421,41.47368421,41.47368421
48,26.31578947,26.31578947,26.31578947,87.05263158,87.05263158,87.05263158,50.21052632,50.21052632,50.21052632,53.84210526,53.84210526,53.84210526,100.0526316,100.0526316,100.0526316,26.63157895,26.63157895,26.63157895
49,71.63157895,71.63157895,71.63157895,54.94736842,54.94736842,54.94736842,37,37,37,84.73684211,84.73684211,84.73684211,136,136,136,64.26315789,64.26315789,64.26315789
50,53.73684211,53.73684211,53.73684211,54.26315789,54.26315789,54.26315789,72.21052632,72.21052632,72.21052632,58.68421053,58.68421053,58.68421053,77.10526316,77.10526316,77.10526316,53.05263158,53.05263158,53.05263158
51,45.94736842,45.94736842,45.94736842,50.63157895,50.63157895,50.63157895,74.94736842,74.94736842,74.94736842,33.68421053,33.68421053,33.68421053,89.47368421,89.47368421,89.47368421,67.05263158,67.05263158,67.05263158
52,21.05263158,21.05263158,21.05263158,89.10526316,89.10526316,89.10526316,81.63157895,81.63157895,81.63157895,79.84210526,79.84210526,79.84210526,66.68421053,66.68421053,66.68421053,43.31578947,43.31578947,43.31578947
53,57.36842105,57.36842105,57.36842105,94.94736842,94.94736842,94.94736842,49.84210526,49.84210526,49.84210526,31.73684211,31.73684211,31.73684211,122.0526316,122.0526316,122.0526316,46.57894737,46.57894737,46.57894737
54,55.26315789,55.26315789,55.26315789,56.52631579,56.52631579,56.52631579,68.84210526,68.84210526,68.84210526,15.47368421,15.47368421,15.47368421,100.5263158,100.5263158,100.5263158,52.52631579,52.52631579,52.52631579
55,22.68421053,22.68421053,22.68421053,55.36842105,55.36842105,55.36842105,47.31578947,47.31578947,47.31578947,63.94736842,63.94736842,63.94736842,95.36842105,95.36842105,95.36842105,72.42105263,72.42105263,72.42105263
56,64.47368421,64.47368421,64.47368421,90.21052632,90.21052632,90.21052632,98.78947368,98.78947368,98.78947368,65.68421053,65.68421053,65.68421053,117.4736842,117.4736842,117.4736842,40.21052632,40.21052632,40.21052632
57,53.31578947,53.31578947,53.31578947,41.63157895,41.63157895,41.63157895,75.52631579,75.52631579,75.52631579,31.84210526,31.84210526,31.84210526,101.7368421,101.7368421,101.7368421,53.05263158,53.05263158,53.05263158
