epoch,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
112,-472.8,-472.8,-472.8,-558.7,-558.7,-558.7,-556.1,-556.1,-556.1,-481.3,-481.3,-481.3,-585.4,-585.4,-585.4,-406,-406,-406
113,-471.8,-471.8,-471.8,-577,-577,-577,-526.8,-526.8,-526.8,-474.3,-474.3,-474.3,-508.6,-508.6,-508.6,-446.6,-446.6,-446.6
114,-457.2,-457.2,-457.2,-558.2,-558.2,-558.2,-567.2,-567.2,-567.2,-545.2,-545.2,-545.2,-516.1,-516.1,-516.1,-407,-407,-407
115,-435.3,-435.3,-435.3,-503.3,-503.3,-503.3,-518.6,-518.6,-518.6,-461.9,-461.9,-461.9,-491,-491,-491,-441.9,-441.9,-441.9
116,-433.4,-433.4,-433.4,-499.2,-499.2,-499.2,-527.2,-527.2,-527.2,-422.9,-422.9,-422.9,-505.4,-505.4,-505.4,-409.6,-409.6,-409.6
117,-464.2,-464.2,-464.2,-476.5,-476.5,-476.5,-557.5,-557.5,-557.5,-456.2,-456.2,-456.2,-551.6,-551.6,-551.6,-456.7,-456.7,-456.7
118,-439.4,-439.4,-439.4,-507.2,-507.2,-507.2,-555.2,-555.2,-555.2,-461.4,-461.4,-461.4,-560.7,-560.7,-560.7,-468.5,-468.5,-468.5
119,-426.1,-426.1,-426.1,-598.9,-598.9,-598.9,-561.2,-561.2,-561.2,-421.5,-421.5,-421.5,-522.6,-522.6,-522.6,-433.4,-433.4,-433.4
120,-407.9,-407.9,-407.9,-562.6,-562.6,-562.6,-436,-436,-436,-438.6,-438.6,-438.6,-527,-527,-527,-394.2,-394.2,-394.2
121,-409,-409,-409,-554.1,-554.1,-554.1,-571.1,-571.1,-571.1,-427,-427,-427,-588.5,-588.5,-588.5,-450.8,-450.8,-450.8
122,-425.2,-425.2,-425.2,-496,-496,-496,-590.5,-590.5,-590.5,-444,-444,-444,-551.7,-551.7,-551.7,-443.5,-443.5,-443.5
123,-400.7,-400.7,-400.7,-535.8,-535.8,-535.8,-526.1,-526.1,-526.1,-437.1,-437.1,-437.1,-588,-588,-588,-433.5,-433.5,-433.5
124,-421.1,-421.1,-421.1,-527.6,-527.6,-527.6,-549.8,-549.8,-549.8,-432.2,-432.2,-432.2,-520.7,-520.7,-520.7,-477.3,-477.3,-477.3
125,-439.9,-439.9,-439.9,-534.8,-534.8,-534.8,-496.5,-496.5,-496.5,-461.6,-461.6,-461.6,-579.3,-579.3,-579.3,-449.6,-449.6,-449.6
126,-427,-427,-427,-540.9,-540.9,-540.9,-541.6,-541.6,-541.6,-397.1,-397.1,-397.1,-563.7,-563.7,-563.7,-472.8,-472.8,-472.8
127,-413.7,-413.7,-413.7,-514.9,-514.9,-514.9,-503.6,-503.6,-503.6,-524.9,-524.9,-524.9,-481.7,-481.7,-481.7,-390,-390,-390
128,-433.8,-433.8,-433.8,-519.7,-519.7,-519.7,-526.1,-526.1,-526.1,-517,-517,-517,-579.1,-579.1,-579.1,-433,-433,-433
129,-424.1,-424.1,-424.1,-506.2,-506.2,-506.2,-493.2,-493.2,-493.2,-371.2,-371.2,-371.2,-547,-547,-547,-458.6,-458.6,-458.6
130,-432.2,-432.2,-432.2,-538,-538,-538,-512.5,-512.5,-512.5,-522.7,-522.7,-522.7,-533.7,-533.7,-533.7,-395.3,-395.3,-395.3
131,-487.6,-487.6,-487.6,-483.5,-483.5,-483.5,-591.3,-591.3,-591.3,-433.5,-433.5,-433.5,-627.3,-627.3,-627.3,-429.9,-429.9,-429.9
132,-465.1,-465.1,-465.1,-563,-563,-563,-521.3,-521.3,-521.3,-441.9,-441.9,-441.9,-533.5,-533.5,-533.5,-526.5,-526.5,-526.5
133,-454.4,-454.4,-454.4,-536.2,-536.2,-536.2,-529.3,-529.3,-529.3,-436.7,-436.7,-436.7,-511.9,-511.9,-511.9,-383.8,-383.8,-383.8
134,-485.5,-485.5,-485.5,-557.1,-557.1,-557.1,-463.2,-463.2,-463.2,-552.8,-552.8,-552.8,-553.9,-553.9,-553.9,-358.9,-358.9,-358.9
135,-447.9,-447.9,-447.9,-531.6,-531.6,-531.6,-536.5,-536.5,-536.5,-435.4,-435.4,-435.4,-604.8,-604.8,-604.8,-457.4,-457.4,-457.4
136,-525,-525,-525,-505.4,-505.4,-505.4,-590.3,-590.3,-590.3,-427.3,-427.3,-427.3,-493,-493,-493,-460.9,-460.9,-460.9
137,-521.7,-521.7,-521.7,-506.7,-506.7,-506.7,-547.3,-547.3,-547.3,-472.5,-472.5,-472.5,-492.4,-492.4,-492.4,-470.6,-470.6,-470.6
138,-456.7,-456.7,-456.7,-551.7,-551.7,-551.7,-560.8,-560.8,-560.8,-411.2,-411.2,-411.2,-528.5,-528.5,-528.5,-448.7,-448.7,-448.7
139,-452.3,-452.3,-452.3,-570.8,-570.8,-570.8,-514.7,-514.7,-514.7,-655.5,-655.5,-655.5,-535.7,-535.7,-535.7,-485,-485,-485
140,-465.1,-465.1,-465.1,-552.1,-552.1,-552.1,-515.3,-515.3,-515.3,-497.3,-497.3,-497.3,-575,-575,-575,-425.5,-425.5,-425.5
141,-425.3,-425.3,-425.3,-553.8,-553.8,-553.8,-502.1,-502.1,-502.1,-449.9,-449.9,-449.9,-569,-569,-569,-385.8,-385.8,-385.8
142,-520.7,-520.7,-520.7,-526.1,-526.1,-526.1,-509.1,-509.1,-509.1,-459.2,-459.2,-459.2,-534.1,-534.1,-534.1,-427.7,-427.7,-427.7
143,-463.6,-463.6,-463.6,-548.2,-548.2,-548.2,-537.9,-537.9,-537.9,-456.6,-456.6,-456.6,-606.2,-606.2,-606.2,-454,-454,-454
144,-398.8,-398.8,-398.8,-592.4,-592.4,-592.4,-485.3,-485.3,-485.3,-409.7,-409.7,-409.7,-523.2,-523.2,-523.2,-435,-435,-435
145,-437.8,-437.8,-437.8,-524,-524,-524,-482.7,-482.7,-482.7,-418.5,-418.5,-418.5,-548.3,-548.3,-548.3,-414.5,-414.5,-414.5
146,-436.5,-436.5,-436.5,-595.8,-595.8,-595.8,-531,-531,-531,-526.4,-526.4,-526.4,-552.1,-552.1,-552.1,-411.2,-411.2,-411.2
147,-449.9,-449.9,-449.9,-516,-516,-516,-492.8,-492.8,-492.8,-438.4,-438.4,-438.4,-576.7,-576.7,-576.7,-334.9,-334.9,-334.9
148,-464.2,-464.2,-464.2,-523.8,-523.8,-523.8,-511.7,-511.7,-511.7,-402.2,-402.2,-402.2,-531,-531,-531,-422.7,-422.7,-422.7
149,-433.6,-433.6,-433.6,-506.5,-506.5,-506.5,-477.5,-477.5,-477.5,-483.1,-483.1,-483.1,-500.3,-500.3,-500.3,-406.4,-406.4,-406.4
150,-422.1,-422.1,-422.1,-484.7,-484.7,-484.7,-607.6,-607.6,-607.6,-434.5,-434.5,-434.5,-469.2,-469.2,-469.2,-440.5,-440.5,-440.5
151,-444.9,-444.9,-444.9,-553.1,-553.1,-553.1,-498.4,-498.4,-498.4,-490.8,-490.8,-490.8,-511.1,-511.1,-511.1,-392.7,-392.7,-392.7
152,-445.2,-445.2,-445.2,-535,-535,-535,-517,-517,-517,-418.9,-418.9,-418.9,-556.9,-556.9,-556.9,-390.5,-390.5,-390.5
153,-481.7,-481.7,-481.7,-551.4,-551.4,-551.4,-567.7,-567.7,-567.7,-381,-381,-381,-506.6,-506.6,-506.6,-384.3,-384.3,-384.3
154,-439.8,-439.8,-439.8,-506.1,-506.1,-506.1,-499.5,-499.5,-499.5,-533.2,-533.2,-533.2,-563.5,-563.5,-563.5,-357.8,-357.8,-357.8
155,-438.8,-438.8,-438.8,-513.8,-513.8,-513.8,-561,-561,-561,-403.3,-403.3,-403.3,-455.7,-455.7,-455.7,-437.4,-437.4,-437.4
156,-383.4,-383.4,-383.4,-570.9,-570.9,-570.9,-497.6,-497.6,-497.6,-446.8,-446.8,-446.8,-532,-532,-532,-370.1,-370.1,-370.1
157,-439.6,-439.6,-439.6,-519.9,-519.9,-519.9,-527.5,-527.5,-527.5,-525.5,-525.5,-525.5,-555.1,-555.1,-555.1,-472.4,-472.4,-472.4
158,-409.8,-409.8,-409.8,-564.8,-564.8,-564.8,-506.2,-506.2,-506.2,-536.3,-536.3,-536.3,-474.9,-474.9,-474.9,-443.4,-443.4,-443.4
159,-481.5,-481.5,-481.5,-604.3,-604.3,-604.3,-502.5,-502.5,-502.5,-552.7,-552.7,-552.7,-522,-522,-522,-426.5,-426.5,-426.5
160,-489.7,-489.7,-489.7,-515,-515,-515,-504,-504,-504,-469.9,-469.9,-469.9,-534.4,-534.4,-534.4,-383.6,-383.6,-383.6
161,-400.3,-400.3,-400.3,-583.8,-583.8,-583.8,-583,-583,-583,-445.8,-445.8,-445.8,-503.4,-503.4,-503.4,-399.7,-399.7,-399.7
162,-486.2,-486.2,-486.2,-559.5,-559.5,-559.5,-508.9,-508.9,-508.9,-407.1,-407.1,-407.1,-548.5,-548.5,-548.5,-362.6,-362.6,-362.6
163,-387.8,-387.8,-387.8,-517,-517,-517,-554.9,-554.9,-554.9,-439,-439,-439,-510.4,-510.4,-510.4,-450.9,-450.9,-450.9
164,-437.5,-437.5,-437.5,-495.1,-495.1,-495.1,-542.8,-542.8,-542.8,-489.6,-489.6,-489.6,-499.1,-499.1,-499.1,-410.5,-410.5,-410.5
165,-498.6,-498.6,-498.6,-546.2,-546.2,-546.2,-555.7,-555.7,-555.7,-389.6,-389.6,-389.6,-538.8,-538.8,-538.8,-408.3,-408.3,-408.3
166,-401.6,-401.6,-401.6,-521.6,-521.6,-521.6,-511.8,-511.8,-511.8,-491.1,-491.1,-491.1,-484.1,-484.1,-484.1,-379.7,-379.7,-379.7
167,-406.2,-406.2,-406.2,-573.7,-573.7,-573.7,-522.6,-522.6,-522.6,-395.6,-395.6,-395.6,-532.9,-532.9,-532.9,-430.9,-430.9,-430.9
168,-455.8,-455.8,-455.8,-516,-516,-516,-550.7,-550.7,-550.7,-494.6,-494.6,-494.6,-499.7,-499.7,-499.7,-380.8,-380.8,-380.8
169,-465.5,-465.5,-465.5,-523.2,-523.2,-523.2,-572.3,-572.3,-572.3,-448,-448,-448,-576.4,-576.4,-576.4,-434.8,-434.8,-434.8
170,-405.7,-405.7,-405.7,-516.9,-516.9,-516.9,-578.9,-578.9,-578.9,-523.2,-523.2,-523.2,-496.6,-496.6,-496.6,-427.5,-427.5,-427.5
171,-417.8,-417.8,-417.8,-465.4,-465.4,-465.4,-618,-618,-618,-453.7,-453.7,-453.7,-532,-532,-532,-447.7,-447.7,-447.7
172,-426.4,-426.4,-426.4,-490.4,-490.4,-490.4,-527.1,-527.1,-527.1,-402.9,-402.9,-402.9,-561.6,-561.6,-561.6,-384.4,-384.4,-384.4
173,-447.7,-447.7,-447.7,-520.1,-520.1,-520.1,-504.6,-504.6,-504.6,-424.2,-424.2,-424.2,-499,-499,-499,-469.6,-469.6,-469.6
174,-403.3,-403.3,-403.3,-540.2,-540.2,-540.2,-470.2,-470.2,-470.2,-443.2,-443.2,-443.2,-506.2,-506.2,-506.2,-419.2,-419.2,-419.2
175,-488.5,-488.5,-488.5,-535,-535,-535,-569,-569,-569,-453.5,-453.5,-453.5,-519,-519,-519,-402.7,-402.7,-402.7
176,-417.4,-417.4,-417.4,-497,-497,-497,-550.1,-550.1,-550.1,-436.6,-436.6,-436.6,-555.7,-555.7,-555.7,-430.3,-430.3,-430.3
177,-506.3,-506.3,-506.3,-531.7,-531.7,-531.7,-529.8,-529.8,-529.8,-462.6,-462.6,-462.6,-530.7,-530.7,-530.7,-447.8,-447.8,-447.8
178,-477.6,-477.6,-477.6,-531.7,-531.7,-531.7,-558.6,-558.6,-558.6,-418.2,-418.2,-418.2,-525.9,-525.9,-525.9,-337,-337,-337
179,-412.2,-412.2,-412.2,-537,-537,-537,-519.9,-519.9,-519.9,-430.5,-430.5,-430.5,-534.6,-534.6,-534.6,-403.3,-403.3,-403.3
180,-453.5,-453.5,-453.5,-519,-519,-519,-482.2,-482.2,-482.2,-418.3,-418.3,-418.3,-529.7,-529.7,-529.7,-375.1,-375.1,-375.1
181,-435.8,-435.8,-435.8,-526,-526,-526,-521.6,-521.6,-521.6,-460,-460,-460,-492.2,-492.2,-492.2,-465.2,-465.2,-465.2
182,-518.2,-518.2,-518.2,-503.2,-503.2,-503.2,-517.3,-517.3,-517.3,-500.5,-500.5,-500.5,-496.6,-496.6,-496.6,-424.9,-424.9,-424.9
183,-434.3,-434.3,-434.3,-537.9,-537.9,-537.9,-526.7,-526.7,-526.7,-441,-441,-441,-518.1,-518.1,-518.1,-376.8,-376.8,-376.8
184,-477.8,-477.8,-477.8,-542.9,-542.9,-542.9,-540,-540,-540,-477,-477,-477,-530.4,-530.4,-530.4,-434.2,-434.2,-434.2
185,-462.7,-462.7,-462.7,-543.2,-543.2,-543.2,-456.7,-456.7,-456.7,-400,-400,-400,-477.9,-477.9,-477.9,-397.7,-397.7,-397.7
186,-446.6,-446.6,-446.6,-557.1,-557.1,-557.1,-564.3,-564.3,-564.3,-438.8,-438.8,-438.8,-503.5,-503.5,-503.5,-350.8,-350.8,-350.8
187,-449,-449,-449,-515.2,-515.2,-515.2,-557.8,-557.8,-557.8,-488.5,-488.5,-488.5,-503.6,-503.6,-503.6,-398.5,-398.5,-398.5
188,-448.8,-448.8,-448.8,-503.1,-503.1,-503.1,-553.6,-553.6,-553.6,-416.3,-416.3,-416.3,-538,-538,-538,-435.3,-435.3,-435.3
189,-486.4,-486.4,-486.4,-600.3,-600.3,-600.3,-556.6,-556.6,-556.6,-445.1,-445.1,-445.1,-536.7,-536.7,-536.7,-329.2,-329.2,-329.2
190,-489.8,-489.8,-489.8,-559.1,-559.1,-559.1,-620.3,-620.3,-620.3,-476.3,-476.3,-476.3,-538,-538,-538,-471.2,-471.2,-471.2
191,-405.9,-405.9,-405.9,-513.1,-513.1,-513.1,-537.6,-537.6,-537.6,-465.8,-465.8,-465.8,-489,-489,-489,-385,-385,-385
192,-449.2,-449.2,-449.2,-536.5,-536.5,-536.5,-546.2,-546.2,-546.2,-469.1,-469.1,-469.1,-556.6,-556.6,-556.6,-404,-404,-404
193,-448.5,-448.5,-448.5,-516.4,-516.4,-516.4,-466.9,-466.9,-466.9,-418.1,-418.1,-418.1,-527.9,-527.9,-527.9,-357.2,-357.2,-357.2
194,-473,-473,-473,-551.9,-551.9,-551.9,-528.5,-528.5,-528.5,-412.6,-412.6,-412.6,-569.5,-569.5,-569.5,-412.7,-412.7,-412.7
195,-495.5,-495.5,-495.5,-566.6,-566.6,-566.6,-590.9,-590.9,-590.9,-428.7,-428.7,-428.7,-490.7,-490.7,-490.7,-306.7,-306.7,-306.7
196,-448.8,-448.8,-448.8,-498.7,-498.7,-498.7,-545.7,-545.7,-545.7,-421.1,-421.1,-421.1,-478.9,-478.9,-478.9,-395.5,-395.5,-395.5
197,-447.4,-447.4,-447.4,-465.4,-465.4,-465.4,-515.3,-515.3,-515.3,-477.4,-477.4,-477.4,-548.4,-548.4,-548.4,-388,-388,-388
198,-448.5,-448.5,-448.5,-601,-601,-601,-532.7,-532.7,-532.7,-445.5,-445.5,-445.5,-539.6,-539.6,-539.6,-392.4,-392.4,-392.4
199,-468.9,-468.9,-468.9,-524.4,-524.4,-524.4,-540.1,-540.1,-540.1,-503.3,-503.3,-503.3,-500.3,-500.3,-500.3,-354.4,-354.4,-354.4
200,-389.2,-389.2,-389.2,-498.2,-498.2,-498.2,-538.1,-538.1,-538.1,-443.2,-443.2,-443.2,-473.5,-473.5,-473.5,-401.9,-401.9,-401.9
201,-448.6,-448.6,-448.6,-494.3,-494.3,-494.3,-522.3,-522.3,-522.3,-461.7,-461.7,-461.7,-505.1,-505.1,-505.1,-372.8,-372.8,-372.8
202,-385.2,-385.2,-385.2,-527.9,-527.9,-527.9,-568.9,-568.9,-568.9,-521.9,-521.9,-521.9,-548.6,-548.6,-548.6,-409.6,-409.6,-409.6
203,-386.5,-386.5,-386.5,-491.5,-491.5,-491.5,-479.2,-479.2,-479.2,-397.2,-397.2,-397.2,-465.4,-465.4,-465.4,-419.5,-419.5,-419.5
204,-409.3,-409.3,-409.3,-498.2,-498.2,-498.2,-540.7,-540.7,-540.7,-421.1,-421.1,-421.1,-457.7,-457.7,-457.7,-351.8,-351.8,-351.8
205,-431.2,-431.2,-431.2,-538.1,-538.1,-538.1,-559.1,-559.1,-559.1,-481.3,-481.3,-481.3,-494.2,-494.2,-494.2,-401.6,-401.6,-401.6
206,-470.1,-470.1,-470.1,-506.3,-506.3,-506.3,-525.3,-525.3,-525.3,-441.8,-441.8,-441.8,-520.5,-520.5,-520.5,-388.6,-388.6,-388.6
207,-421.9,-421.9,-421.9,-498,-498,-498,-586.9,-586.9,-586.9,-507.4,-507.4,-507.4,-528.9,-528.9,-528.9,-430.5,-430.5,-430.5
208,-522.8,-522.8,-522.8,-491.1,-491.1,-491.1,-552.2,-552.2,-552.2,-370.1,-370.1,-370.1,-483.4,-483.4,-483.4,-429.7,-429.7,-429.7
209,-543.3,-543.3,-543.3,-537.2,-537.2,-537.2,-514.8,-514.8,-514.8,-467.6,-467.6,-467.6,-481.5,-481.5,-481.5,-356.8,-356.8,-356.8
210,-341,-341,-341,-496.4,-496.4,-496.4,-516.4,-516.4,-516.4,-484.7,-484.7,-484.7,-546.5,-546.5,-546.5,-419.1,-419.1,-419.1
211,-528.4,-528.4,-528.4,-540.6,-540.6,-540.6,-503.6,-503.6,-503.6,-462.2,-462.2,-462.2,-553.9,-553.9,-553.9,-353.5,-353.5,-353.5
212,-480.2,-480.2,-480.2,-526,-526,-526,-571.6,-571.6,-571.6,-527.8,-527.8,-527.8,-554.5,-554.5,-554.5,-365,-365,-365
213,-452.8,-452.8,-452.8,-514.5,-514.5,-514.5,-520.4,-520.4,-520.4,-513.7,-513.7,-513.7,-544.5,-544.5,-544.5,-370.7,-370.7,-370.7
214,-428.4,-428.4,-428.4,-602,-602,-602,-511.5,-511.5,-511.5,-455.6,-455.6,-455.6,-512.4,-512.4,-512.4,-375,-375,-375
215,-455,-455,-455,-477.3,-477.3,-477.3,-558.4,-558.4,-558.4,-481.1,-481.1,-481.1,-499.9,-499.9,-499.9,-361.6,-361.6,-361.6
216,-440.3,-440.3,-440.3,-506.8,-506.8,-506.8,-485.3,-485.3,-485.3,-513.2,-513.2,-513.2,-553,-553,-553,-416.5,-416.5,-416.5
217,-473,-473,-473,-573.5,-573.5,-573.5,-507.1,-507.1,-507.1,-422.9,-422.9,-422.9,-512.3,-512.3,-512.3,-322.5,-322.5,-322.5
218,-459.1,-459.1,-459.1,-553.7,-553.7,-553.7,-596.4,-596.4,-596.4,-435.3,-435.3,-435.3,-576,-576,-576,-386,-386,-386
219,-380.8,-380.8,-380.8,-459.9,-459.9,-459.9,-539.9,-539.9,-539.9,-481.1,-481.1,-481.1,-586,-586,-586,-432.6,-432.6,-432.6
220,-396.8,-396.8,-396.8,-483.7,-483.7,-483.7,-491,-491,-491,-394.6,-394.6,-394.6,-542,-542,-542,-437.6,-437.6,-437.6
221,-454.9,-454.9,-454.9,-498.6,-498.6,-498.6,-453.1,-453.1,-453.1,-502.4,-502.4,-502.4,-521.1,-521.1,-521.1,-380.8,-380.8,-380.8
222,-396.7,-396.7,-396.7,-525.6,-525.6,-525.6,-469.9,-469.9,-469.9,-393.5,-393.5,-393.5,-492.7,-492.7,-492.7,-389.1,-389.1,-389.1
223,-520.7,-520.7,-520.7,-572.8,-572.8,-572.8,-572.2,-572.2,-572.2,-421.7,-421.7,-421.7,-480.4,-480.4,-480.4,-400.4,-400.4,-400.4
224,-429.1,-429.1,-429.1,-548.7,-548.7,-548.7,-497.1,-497.1,-497.1,-451.6,-451.6,-451.6,-523.4,-523.4,-523.4,-355.9,-355.9,-355.9
225,-402.3,-402.3,-402.3,-517.6,-517.6,-517.6,-562.8,-562.8,-562.8,-392.4,-392.4,-392.4,-533.6,-533.6,-533.6,-360,-360,-360
226,-461.4,-461.4,-461.4,-580.6,-580.6,-580.6,-547.8,-547.8,-547.8,-467.5,-467.5,-467.5,-501.2,-501.2,-501.2,-396.6,-396.6,-396.6
227,-369.3,-369.3,-369.3,-591.2,-591.2,-591.2,-539.1,-539.1,-539.1,-476.4,-476.4,-476.4,-525.9,-525.9,-525.9,-305.1,-305.1,-305.1
228,-405.6,-405.6,-405.6,-551.1,-551.1,-551.1,-458,-458,-458,-482.6,-482.6,-482.6,-511.3,-511.3,-511.3,-414,-414,-414
229,-481.3,-481.3,-481.3,-463.3,-463.3,-463.3,-473.2,-473.2,-473.2,-518.8,-518.8,-518.8,-534.9,-534.9,-534.9,-360.2,-360.2,-360.2
230,-445.8,-445.8,-445.8,-555.8,-555.8,-555.8,-500,-500,-500,-457,-457,-457,-491.5,-491.5,-491.5,-397.9,-397.9,-397.9
231,-455.8,-455.8,-455.8,-543,-543,-543,-487.6,-487.6,-487.6,-460.1,-460.1,-460.1,-548.2,-548.2,-548.2,-409.1,-409.1,-409.1
232,-442.5,-442.5,-442.5,-575.9,-575.9,-575.9,-465.1,-465.1,-465.1,-462.2,-462.2,-462.2,-455.3,-455.3,-455.3,-382.6,-382.6,-382.6
233,-455,-455,-455,-533.4,-533.4,-533.4,-426.1,-426.1,-426.1,-384.5,-384.5,-384.5,-589.2,-589.2,-589.2,-343.7,-343.7,-343.7
234,-500.1,-500.1,-500.1,-466.4,-466.4,-466.4,-552.5,-552.5,-552.5,-468.8,-468.8,-468.8,-512.1,-512.1,-512.1,-351.1,-351.1,-351.1
235,-472.5,-472.5,-472.5,-493.6,-493.6,-493.6,-510.9,-510.9,-510.9,-354,-354,-354,-536.4,-536.4,-536.4,-319.1,-319.1,-319.1
236,-448.1,-448.1,-448.1,-490.8,-490.8,-490.8,-578.9,-578.9,-578.9,-407.5,-407.5,-407.5,-559.6,-559.6,-559.6,-468.1,-468.1,-468.1
237,-419.9,-419.9,-419.9,-513.1,-513.1,-513.1,-570.9,-570.9,-570.9,-461.1,-461.1,-461.1,-485.4,-485.4,-485.4,-428.6,-428.6,-428.6
238,-488.3,-488.3,-488.3,-548.1,-548.1,-548.1,-509.7,-509.7,-509.7,-483.4,-483.4,-483.4,-579.8,-579.8,-579.8,-375.9,-375.9,-375.9
239,-486.8,-486.8,-486.8,-576.7,-576.7,-576.7,-469.5,-469.5,-469.5,-501.3,-501.3,-501.3,-575.6,-575.6,-575.6,-362.4,-362.4,-362.4
240,-453.5,-453.5,-453.5,-497,-497,-497,-538.8,-538.8,-538.8,-463.1,-463.1,-463.1,-515.4,-515.4,-515.4,-399,-399,-399
241,-477.7,-477.7,-477.7,-533.6,-533.6,-533.6,-501.1,-501.1,-501.1,-479.8,-479.8,-479.8,-572.2,-572.2,-572.2,-355.1,-355.1,-355.1
242,-431.4,-431.4,-431.4,-525,-525,-525,-508.6,-508.6,-508.6,-434.7,-434.7,-434.7,-565.7,-565.7,-565.7,-407.3,-407.3,-407.3
243,-400.7,-400.7,-400.7,-564.3,-564.3,-564.3,-509.2,-509.2,-509.2,-447.2,-447.2,-447.2,-500.8,-500.8,-500.8,-378.9,-378.9,-378.9
244,-399.8,-399.8,-399.8,-502.9,-502.9,-502.9,-555.4,-555.4,-555.4,-389.2,-389.2,-389.2,-520.1,-520.1,-520.1,-412.8,-412.8,-412.8
245,-445.2,-445.2,-445.2,-515.2,-515.2,-515.2,-468.4,-468.4,-468.4,-410.4,-410.4,-410.4,-530.4,-530.4,-530.4,-367.3,-367.3,-367.3
246,-447.7,-447.7,-447.7,-556.1,-556.1,-556.1,-529.4,-529.4,-529.4,-411,-411,-411,-499.7,-499.7,-499.7,-351.2,-351.2,-351.2
247,-410,-410,-410,-572.5,-572.5,-572.5,-534.8,-534.8,-534.8,-417.2,-417.2,-417.2,-478.2,-478.2,-478.2,-412.3,-412.3,-412.3
248,-389.4,-389.4,-389.4,-591.5,-591.5,-591.5,-506.5,-506.5,-506.5,-453.7,-453.7,-453.7,-518.1,-518.1,-518.1,-397,-397,-397
249,-467.6,-467.6,-467.6,-553.1,-553.1,-553.1,-472.4,-472.4,-472.4,-438.5,-438.5,-438.5,-510.5,-510.5,-510.5,-384.8,-384.8,-384.8
250,-428.3,-428.3,-428.3,-531.9,-531.9,-531.9,-562.9,-562.9,-562.9,-368.6,-368.6,-368.6,-588.1,-588.1,-588.1,-406.5,-406.5,-406.5
251,-462.5,-462.5,-462.5,-525.5,-525.5,-525.5,-518.5,-518.5,-518.5,-427.5,-427.5,-427.5,-590.2,-590.2,-590.2,-351.9,-351.9,-351.9
252,-432,-432,-432,-551.5,-551.5,-551.5,-577.8,-577.8,-577.8,-425.7,-425.7,-425.7,-496,-496,-496,-379.2,-379.2,-379.2
253,-400.9,-400.9,-400.9,-572.7,-572.7,-572.7,-573.5,-573.5,-573.5,-456.4,-456.4,-456.4,-504.4,-504.4,-504.4,-360.1,-360.1,-360.1
254,-457.2,-457.2,-457.2,-479.9,-479.9,-479.9,-502.4,-502.4,-502.4,-436.4,-436.4,-436.4,-478.6,-478.6,-478.6,-385,-385,-385
255,-473.3,-473.3,-473.3,-484.1,-484.1,-484.1,-493.6,-493.6,-493.6,-405.8,-405.8,-405.8,-510.5,-510.5,-510.5,-384.7,-384.7,-384.7
256,-430,-430,-430,-545.4,-545.4,-545.4,-521.1,-521.1,-521.1,-434.2,-434.2,-434.2,-531.9,-531.9,-531.9,-345.9,-345.9,-345.9
257,-486.8,-486.8,-486.8,-556.5,-556.5,-556.5,-564.7,-564.7,-564.7,-475.3,-475.3,-475.3,-475.1,-475.1,-475.1,-367.2,-367.2,-367.2
258,-469.8,-469.8,-469.8,-447.1,-447.1,-447.1,-509,-509,-509,-355.8,-355.8,-355.8,-545.7,-545.7,-545.7,-344.7,-344.7,-344.7
259,-471.3,-471.3,-471.3,-537.9,-537.9,-537.9,-465.5,-465.5,-465.5,-428.7,-428.7,-428.7,-504,-504,-504,-412.2,-412.2,-412.2
260,-355.6,-355.6,-355.6,-557.9,-557.9,-557.9,-547.5,-547.5,-547.5,-464.8,-464.8,-464.8,-586.7,-586.7,-586.7,-354.5,-354.5,-354.5
261,-442.9,-442.9,-442.9,-559.1,-559.1,-559.1,-469.8,-469.8,-469.8,-438.2,-438.2,-438.2,-514.3,-514.3,-514.3,-360.9,-360.9,-360.9
262,-393.9,-393.9,-393.9,-548.7,-548.7,-548.7,-511.1,-511.1,-511.1,-442.8,-442.8,-442.8,-451.2,-451.2,-451.2,-386,-386,-386
